atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula,,
Abariringa,5000,100,,,40,100,3000,,,,,,,,,,P,,,,,,,,,,4,,,,,100,P,P,,110,1000,,
Abemama,P,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Addu,P,,,,P,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,
Ahe,10-99,100-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-99,,
Ahunui,837,288,,,260,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,313,,
Ailinginae,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,P,P,,
Ailuk,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,P,P,,,P,,,,,,
Aldabra,3500,,,,750,,,,,,25,,160,150,,5060,3758,,,,,,,,,,,,,,,7000,6000,,,,12000,,
Anaa,100-999,,,,100-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant,P,7500,,,P,200,,,,,,,P,P,,,2,,,,,,,,,,,,,,,,8,,,2,150,,
Anuanuraro,10-99,10-99,,,10-99,,,,,,,,,,,,1-9,,,,,,,,,,,,,,,,,,,1-9,,,
Anuanurunga,P,P,,,P,,,,,,,,,,,,100-999,,,,,,,,,,,,,,,10-99,,,,,P,,
Apataki,100-999,P,,P,10-99,1000-9000,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Aranuka,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
Aratika,100-999,P,,100-999,100-999,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,10-99,100-999,,
Arno,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
Arutua,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astove,,,,,,P,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Atafu,20000,30000,,,10000,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,10,1000,,
Aur,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
Bangaram,,,,,,,,,,,,,,200,150,,,,,,,,,,,,,,,,,,,,,,,,
Beautemps-Beaupre,4,P,,,P,P,,,P,,,,,20,,,,,,,,,,P,,,,,10,,,2,20,,,8,P,,
Bellona,27000,4800,,,,15000,,,,,,,20,108,,,,,,,,,,,,,,,37000,,,800,,76,,2,720,,
Bikar,P,P,,P,P,37000,P,P,,,,,P,P,,P,P,,,,,,,,,,,,P,,,,P,P,,P,P,,
Bikini,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,P,,,,P,,,P,P,,
Birnie,4000,,,,27,P,600,,,,,,,,,,8,,,,,,,,,,,,,,,20,,220,,20,6,,
Bitra_Par,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Bokaak,P,P,,P,P,20000,P,,,,,,P,P,,P,P,,,,,,,,,,,P,P,P,,,6300,P,,P,4000,,
Butaritari,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,P,P,,,P,P,,
Byramgore,250,,,,,650,,,,,,,,50,500,,,,,,,,,,,,,,,,,,,,,,,,
Caroline,2982,16784,,10,7914,376400,3000,,,,,,,,,,106,,,,,,,,,,,,,,,112,4854,378,,30,4442,,
Cherbaniani,1700,,,,,5000,,,,,,,,1900,760,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,10230,37540,,,,16000,,,82,,,12,136,32,,,P,,,,,,,,,,,,71400,,,240,372,196,,5410,6410,,
Clipperton,3374,1374,,,10,200,,,,,,,,,,,6,,,,,,,,,,,,4,,,,642,,4239,15300,293,,
Cocos,1500,,P,,2000,P,,,,,,,,,,100,3,,,,,,,,,,,,100,,,3000,3000,50,,200,60000,,
Conflict,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmoledo,95,,,,15,2330000,,P,,,,,40,72,,1,55,,,,,,,,,,,,,,,30,150,1000,,50,15000,,
Diego_Garcia,1392,,150,,450,P,,16,,10,,P,12,28,,12,10,,,,,,,,,,,,36,,4,P,P,,,6,19938,,
Dongsha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducie,400,,,30,10000,P,,,,,,,,,,,1440,,,,,,60000,10,500000,,,,,6000,,,80,180,,,100,,
Egmont,128,,P,,94,,,,,,,,140,140,,4,,,,,,,,,,,,,,,,,,,,,248,,
Egum,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enderbury,4000,10000,,,100,400000,1000,,,,,,,,,,200,,,,,,,,,,,,94,4,100,4000,600,2000,,2000,1000,,
Eniwetok,4600,3400,,P,1400,16000,P,,,,,,408,2,,8,17,,,,,,,,,,,,,,,,200,,,100,400,,
Erikub,P,P,,,P,,,,,,,,P,P,,P,P,,,,,,,,,,,,,,,P,P,,,P,P,,
Etal,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa,,,,,,3000000,,,,,30,,,,,2000,9000,,,,,,,,,,,,,,100,4000,3000,,,,9000,,
Faaite,50,1000,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakahina,>10000,10-99,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakaofo,P,P,,,P,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,600,,
Fakarava,91,141,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,146,143,,
Fangatau,,10-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangataufa,100,70,,,200,50,,,,,,,,,,,120,,,,,,2,,100,,,,,,,,50,50,,,100,,
Farquhar,38278,,60,,200,561200,,,,,,134,224,100,,,,,,,,,,,,,,,,,,,,,,,17552,,
French_Frigate_Shoals,10182,11000,,6,3700,250000,1789,,,,,,,,,,444,1550,8518,,,544,,,,750,,518,13000,50,,,1413,1190,,130,757,,
Funafuti,P,P,,,P,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Glorioso,600,,,,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao,100-999,P,,1-9,100-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-99,,
Haraiki,333,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen,,3500,,,50,80000,,,,,,,350,7000,,,,,,,,,,,,,,,,,,100,,,,750,2500,,
Hereheretui,P,10-99,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huon,4246,,,,,P,,41,P,,,,145,118,,,5,,,,,,,,,,,,22,,,,,244,,1500,,,
Jaluit,P,P,,,P,P,,,,,,,P,P,,P,,,,,,,,,,,,,P,,,P,P,,,P,P,,
Jemo,P,P,,,P,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,P,P,,
Johnston,24000,600,,,840,500000,750,,,,,,,,,4,6500,,,,,,,,,,,90,4000,120,,,300,84,,1100,2480,,
Kademat,6600,,,,,9560,,,,,,,,150,50,,,,,,,,,,,,,,,,,,,,,,,,
Kapingamarangi,P,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,P,P,,
Kauehi,P,P,,,P,107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,
Kaukura,10-99,100-999,,,10-99,,,,,,,,,,,,,,,,,,,,,,,,,,,10-99,,,,10-99,100-999,,
Kavaratti,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilinailau,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Kiritimati,22000,100000,,570,2500,500000,850,,,,,,,350,,6,960,,,,350,,,,,,3050,,6250,5500,3600,100,800,25,,25,36000,,
Kure,1350,2000,,,10,38087,75,,,,,,,,,,2100,7800,4040,P,,20,,,,2250,,P,5794,238,,,7700,112,,100,500,,
Kuria,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,
Kwajalein,P,P,,,P,P,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,P,P,,
Lae,P,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Laysan,30000,5000,,,1500,2000000,26000,,,,,,,,,,4000,281720,42012,,,1400,,,,200000,,15000,300000,8000,,,6500,1500,,150,2500,,
Likiep,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,
Losap,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukunor,P,P,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,P,,,,P,,
Maiana,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,P,P,,,,,,
Majuro,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,P,P,,
Malden,1000,200,,40,50,500000,14000,,,,,,,,,,100,,,,,,,,,,,,,,,30000,6000,20000,,400,2000,,
Manihi,100-999,100-999,,,100-999,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Manihiki,1000-9999,1000-9999,,,10-99,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,1-9,P,,
Manra,50,1000,,,200,4000,1200,,,,,,,,,,20,,,,,,,,,,,,,,,200,,200,,,100,,
Manuhangi,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marakei,P,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Maria,72,31,,,265,,,,,,,,,,,,442,,,,,,,,,,,,,,,,220,7,,88,397,,
Maria_Est,P,P,,P,P,,,,,,,,,,,,10-99,,,,,,P,,1-9,,,,,,,P,100-999,10-99,,,P,,
Marutea_Sud,P,P,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,
Mataiva,100-999,10-99,,,100-999,,,,,,,,,P,,,1-9,,,,,,,,,,,,,,,P,10-99,,,1-9,100-999,,
Matureivavao,P,P,,,P,,,,,,,,,,,,P,,,,,,,P,P,,,,,,,,P,P,,,P,,
Maupihaa,562,6,,,138,546002,,,,,,,,94,,,48,,,,,,,,,,,,,,,228,139,15,,96,263,,
McKean,6000,1000,,,100,500,1600,,,,,,,,,,170,,,,20,,,,,,,,4,,120,85000,800,2400,,150,100,,
Midway,2000,8000,,,40000,200000,2000,,,,,,,,,10,15000,816260,43658,2,,100,,,,300000,,20,10000,400,,,140,10,,4,950,,
Mili,P,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,P,,,P,P,,
Mokil,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morane,900,26,,,1260,,,,,,,,,,,,33,,,,,,25,,100-999,,,,,,,,173,190,,,316,,
Moruroa,100-999,P,,,100-999,,,,,,,,,P,,,P,,,,,,,,1-9,,,,,P,,,10-99,,,P,10-99,,
Motu_One,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-999,,,1-9,10-99,,
Namoluk,P,P,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,P,,,P,,,
Namu,P,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,P,,
Napuka,10-99,,,,10-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nengonengo,P,P,,,P,,,,,,,,,,,,,,,,,,1-9,,,,,,,,,100-999,,1-9,,,P,,
Ngcheangel,P,,,,P,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Niau,100-999,1000-9999,,,>1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikumaroro,40,1000,,,400,9,,,,,,,,,,10,100,,,,,,,,,,,,,,,120,2,8,,,400,,
Ninigo,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,P,,,
Niutao,P,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Nonouti,P,P,,,P,P,P,,,,,,P,P,,,,,,,,,,,,,,,,,,P,,,,P,,,
Nuguria,P,P,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,P,P,,,P,P,,
Nukapu,P,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,P,,,,,,
Nukulaelae,P,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,
Nukumanu,P,P,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,P,P,,,P,P,,
Nukunonu,20000,10000,,,10000,3200,,,,,,,100,,,10,20,,,,,,,,,,,,,,,P,,,,100,1500,,
Nukuoro,P,P,,,,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,P,,
Nukutepipi,P,P,,,10-99,,,,,,,,,,,,100-999,,,,,,,,,,,,,,,,10-99,,,,10-99,,
Numa_Miombilou,300,500,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nupani,300,500,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,200,10,,,100,200,,
Oeno,1600,200,,,2000,P,,,,,,,,,,,1440,,,,,,200,,25000,,15,,,100,,,200,550,,,500,,
Onotoa,P,P,,,P,P,,,,,,,P,P,,,P,,,,,,,,,,,,,,,P,P,,,,P,,
Ontong_Java,P,P,,,P,P,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,P,,
