atoll,region,species,nbirds
Ahunui,Polynesia,Anous_stolidus,837.0
Aldabra,Indian_Ocean,Anous_stolidus,3500.0
Atafu,Polynesia,Anous_stolidus,20000.0
Bellona,Melanesia,Anous_stolidus,27000.0
Byramgore,Indian_Ocean,Anous_stolidus,250.0
Caroline,Polynesia,Anous_stolidus,2982.0
Cherbaniani,Indian_Ocean,Anous_stolidus,1700.0
Clipperton,Polynesia,Anous_stolidus,3374.0
Enderbury,Polynesia,Anous_stolidus,4000.0
Faaite,Polynesia,Anous_stolidus,50.0
Fakarava,Polynesia,Anous_stolidus,91.0
Fangataufa,Polynesia,Anous_stolidus,100.0
Farquhar,Indian_Ocean,Anous_stolidus,38278.0
French_Frigate_Shoals,Polynesia,Anous_stolidus,10182.0
Glorioso,Indian_Ocean,Anous_stolidus,600.0
Haraiki,Polynesia,Anous_stolidus,333.0
Johnston,Polynesia,Anous_stolidus,24000.0
Kademat,Indian_Ocean,Anous_stolidus,6600.0
Kiritimati,Polynesia,Anous_stolidus,22000.0
Laysan,Polynesia,Anous_stolidus,30000.0
Malden,Polynesia,Anous_stolidus,1000.0
Manra,Polynesia,Anous_stolidus,50.0
Maria,Polynesia,Anous_stolidus,72.0
Maupihaa,Polynesia,Anous_stolidus,562.0
McKean,Polynesia,Anous_stolidus,6000.0
Midway,Polynesia,Anous_stolidus,2000.0
Nikumaroro,Polynesia,Anous_stolidus,40.0
Nupani,Melanesia,Anous_stolidus,300.0
Orona,Polynesia,Anous_stolidus,20.0
Pearl_and_Hermes,Polynesia,Anous_stolidus,8395.0
Peros_Banhos,Indian_Ocean,Anous_stolidus,1582.0
Rawaki,Polynesia,Anous_stolidus,6000.0
Reitoru,Polynesia,Anous_stolidus,660.0
Suheli_Par,Indian_Ocean,Anous_stolidus,150.0
Surprise,Melanesia,Anous_stolidus,737.0
Suwarrow,Polynesia,Anous_stolidus,544.0
Swains,Polynesia,Anous_stolidus,474.0
Tahanea,Polynesia,Anous_stolidus,860.0
Tekokota,Polynesia,Anous_stolidus,1068.0
Temoe,Polynesia,Anous_stolidus,200.0
Toau,Polynesia,Anous_stolidus,300.0
Tubbataha,Micronesia,Anous_stolidus,1702.0
Vahanga,Polynesia,Anous_stolidus,20.0
Wake,Micronesia,Anous_stolidus,1000.0
Ahunui,Polynesia,Anous_minutus,288.0
Atafu,Polynesia,Anous_minutus,30000.0
Bellona,Melanesia,Anous_minutus,4800.0
Caroline,Polynesia,Anous_minutus,16784.0
Clipperton,Polynesia,Anous_minutus,1374.0
Enderbury,Polynesia,Anous_minutus,10000.0
Faaite,Polynesia,Anous_minutus,1000.0
Fakarava,Polynesia,Anous_minutus,141.0
Fangataufa,Polynesia,Anous_minutus,70.0
French_Frigate_Shoals,Polynesia,Anous_minutus,11000.0
Haraiki,Polynesia,Anous_minutus,100.0
Helen,Micronesia,Anous_minutus,3500.0
Johnston,Polynesia,Anous_minutus,600.0
Kiritimati,Polynesia,Anous_minutus,100000.0
Laysan,Polynesia,Anous_minutus,5000.0
Malden,Polynesia,Anous_minutus,200.0
Manra,Polynesia,Anous_minutus,1000.0
Maria,Polynesia,Anous_minutus,31.0
Maupihaa,Polynesia,Anous_minutus,6.0
McKean,Polynesia,Anous_minutus,1000.0
Midway,Polynesia,Anous_minutus,8000.0
Nikumaroro,Polynesia,Anous_minutus,1000.0
Nupani,Melanesia,Anous_minutus,500.0
Orona,Polynesia,Anous_minutus,4000.0
Pearl_and_Hermes,Polynesia,Anous_minutus,4300.0
Rawaki,Polynesia,Anous_minutus,20.0
Surprise,Melanesia,Anous_minutus,6200.0
Suwarrow,Polynesia,Anous_minutus,140.0
Swains,Polynesia,Anous_minutus,7092.0
Tahanea,Polynesia,Anous_minutus,540.0
Tekokota,Polynesia,Anous_minutus,11.0
Temoe,Polynesia,Anous_minutus,10.0
Toau,Polynesia,Anous_minutus,1300.0
Tubbataha,Micronesia,Anous_minutus,2876.0
Vahanga,Polynesia,Anous_minutus,10.0
Wake,Micronesia,Anous_minutus,2000.0
Farquhar,Indian_Ocean,Anous_tenuirostris,60.0
Peros_Banhos,Indian_Ocean,Anous_tenuirostris,41700.0
Caroline,Polynesia,Anous_ceruleus,10.0
French_Frigate_Shoals,Polynesia,Anous_ceruleus,6.0
Kiritimati,Polynesia,Anous_ceruleus,570.0
Malden,Polynesia,Anous_ceruleus,40.0
Rawaki,Polynesia,Anous_ceruleus,5000.0
Ahunui,Polynesia,Gygis_alba,260.0
Aldabra,Indian_Ocean,Gygis_alba,750.0
Atafu,Polynesia,Gygis_alba,10000.0
Caroline,Polynesia,Gygis_alba,7914.0
Clipperton,Polynesia,Gygis_alba,10.0
Enderbury,Polynesia,Gygis_alba,100.0
Faaite,Polynesia,Gygis_alba,50.0
Fakarava,Polynesia,Gygis_alba,289.0
Fangataufa,Polynesia,Gygis_alba,200.0
Farquhar,Indian_Ocean,Gygis_alba,200.0
French_Frigate_Shoals,Polynesia,Gygis_alba,3700.0
Haraiki,Polynesia,Gygis_alba,100.0
Helen,Micronesia,Gygis_alba,50.0
Johnston,Polynesia,Gygis_alba,840.0
Kiritimati,Polynesia,Gygis_alba,2500.0
Laysan,Polynesia,Gygis_alba,1500.0
Malden,Polynesia,Gygis_alba,50.0
Manra,Polynesia,Gygis_alba,200.0
Manuhangi,Polynesia,Gygis_alba,193.0
Maria,Polynesia,Gygis_alba,265.0
Maupihaa,Polynesia,Gygis_alba,138.0
McKean,Polynesia,Gygis_alba,100.0
Midway,Polynesia,Gygis_alba,40000.0
Nikumaroro,Polynesia,Gygis_alba,400.0
Nupani,Melanesia,Gygis_alba,7.0
Orona,Polynesia,Gygis_alba,600.0
Paraoa,Polynesia,Gygis_alba,494.0
Pearl_and_Hermes,Polynesia,Gygis_alba,10.0
Peros_Banhos,Indian_Ocean,Gygis_alba,616.0
Rawaki,Polynesia,Gygis_alba,1800.0
Reitoru,Polynesia,Gygis_alba,1184.0
Swains,Polynesia,Gygis_alba,4413.0
Tahanea,Polynesia,Gygis_alba,560.0
Tekokota,Polynesia,Gygis_alba,505.0
Temoe,Polynesia,Gygis_alba,500.0
Toau,Polynesia,Gygis_alba,300.0
Vahanga,Polynesia,Gygis_alba,100.0
Wake,Micronesia,Gygis_alba,400.0
Bellona,Melanesia,Onychoprion_fuscatus,15000.0
Byramgore,Indian_Ocean,Onychoprion_fuscatus,650.0
Caroline,Polynesia,Onychoprion_fuscatus,376400.0
Cherbaniani,Indian_Ocean,Onychoprion_fuscatus,5000.0
Clipperton,Polynesia,Onychoprion_fuscatus,200.0
Enderbury,Polynesia,Onychoprion_fuscatus,400000.0
Europa,Indian_Ocean,Onychoprion_fuscatus,3.0e6
Fangataufa,Polynesia,Onychoprion_fuscatus,50.0
Farquhar,Indian_Ocean,Onychoprion_fuscatus,561200.0
French_Frigate_Shoals,Polynesia,Onychoprion_fuscatus,250000.0
Glorioso,Indian_Ocean,Onychoprion_fuscatus,520000.0
Helen,Micronesia,Onychoprion_fuscatus,80000.0
Johnston,Polynesia,Onychoprion_fuscatus,500000.0
Kademat,Indian_Ocean,Onychoprion_fuscatus,9560.0
Kavaratti,Indian_Ocean,Onychoprion_fuscatus,2.0
Kiritimati,Polynesia,Onychoprion_fuscatus,500000.0
Laysan,Polynesia,Onychoprion_fuscatus,2.0e6
Malden,Polynesia,Onychoprion_fuscatus,500000.0
Manra,Polynesia,Onychoprion_fuscatus,4000.0
Maupihaa,Polynesia,Onychoprion_fuscatus,546002.0
McKean,Polynesia,Onychoprion_fuscatus,500.0
Midway,Polynesia,Onychoprion_fuscatus,200000.0
Nikumaroro,Polynesia,Onychoprion_fuscatus,9.0
Orona,Polynesia,Onychoprion_fuscatus,120000.0
Pearl_and_Hermes,Polynesia,Onychoprion_fuscatus,80000.0
Peros_Banhos,Indian_Ocean,Onychoprion_fuscatus,290000.0
Rawaki,Polynesia,Onychoprion_fuscatus,2.0e6
Surprise,Melanesia,Onychoprion_fuscatus,26774.0
Suwarrow,Polynesia,Onychoprion_fuscatus,176088.0
Swains,Polynesia,Onychoprion_fuscatus,27.0
Tekokota,Polynesia,Onychoprion_fuscatus,754.0
Tubbataha,Micronesia,Onychoprion_fuscatus,6000.0
Wake,Micronesia,Onychoprion_fuscatus,200000.0
Caroline,Polynesia,Onychoprion_lunatus,3000.0
Enderbury,Polynesia,Onychoprion_lunatus,1000.0
French_Frigate_Shoals,Polynesia,Onychoprion_lunatus,1789.0
Johnston,Polynesia,Onychoprion_lunatus,750.0
Kiritimati,Polynesia,Onychoprion_lunatus,850.0
