species,birdlife_min,birdlife_max,HBW,Callaghan
Anous_stolidus,800000,14000000,1000000,
Anous_minutus,1300000,,1000000,
Anous_tenuirostris,1200000,,1200000,
Anous_ceruleus,,,200000,
Gygis_alba,50000,99999,200000,
Onychoprion_fuscatus,23000000,,40000000,
Onychoprion_lunatus,,,140000,
Onychoprion_anaethetus,400000,1000000,1000000,
Sternula_nereis,2500,9999,,
Sternula_saundersi,,,9000,
Hydroprogne_caspia,250000,470000,330000,
Sterna_dougallii,200000,220000,200000,
Sterna_sumatrana,,,,325245
Thalasseus_bergii,150000,1100000,2000000,
Thalasseus_bengalensis,,,450000,
Phaethon_lepturus,400000,,400000,
Phaethon_rubricauda,70000,,35000,
Phoebastria_immutabilis,1600000,,1181000,
Phoebastria_nigripes,139800,,109000,
Phoebastria_albatrus,1734,,1600,
Nesofregetta_fuliginosa,250,999,999,
Hydrobates_tristrami,20000,,,
Pterodroma_neglecta,150000,200000,200000,
Pterodroma_heraldica,150000,,150000,
Pterodroma_ultima,800000,1000000,1000000,
Pterodroma_hypoleuca,1000000,,,
Pterodroma_alba,20000,30000,,
Bulweria_bulwerii,500000,1000000,1000000,
Ardenna_pacifica,5200000,,5200000,
Puffinus_nativitatis,150000,,,
Puffinus_bailloni,,,,652058
Fregata_ariel,100000,499999,,
Fregata_minor,120000,,750000,
Sula_dactylatra,,,,2316700
Sula_granti,20000,49999,,
Sula_leucogaster,200000,,550800,
Sula_sula,1400000,,1000000,
