atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abariringa,5000.00,100.00,,,40.00,100.00,3000.00,,,,,,,,,,-1.00,,,,,,,,,,4.00,,,,,100.00,-1.00,-1.00,,110.00,1000.00
Abemama,-1.00,-1.00,,,-1.00,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Addu,-1.00,,,,-1.00,,,,,,,,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,
Ahe,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36434.00
Ahunui,837.00,288.00,,,260.00,,,,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,,313.00
Ailinginae,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,-1.00
Ailuk,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,-1.00,-1.00,,,-1.00,,,,
Aldabra,3500.00,,,,750.00,,,,,,25.00,,160.00,150.00,,5060.00,3758.00,,,,,,,,,,,,,,,7000.00,6000.00,,,,12000.00
Anaa,-1.00,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant,-1.00,7500.00,,,-1.00,200.00,,,,,,,-1.00,-1.00,,,2.00,,,,,,,,,,,,,,,,8.00,,,2.00,150.00
Anuanuraro,36434.00,36434.00,,,36434.00,,,,,,,,,,,,45170.00,,,,,,,,,,,,,,,,,,,45170.00,
Anuanurunga,-1.00,-1.00,,,-1.00,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,36434.00,,,,,-1.00
Apataki,-1.00,-1.00,,-1.00,36434.00,-1.00,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Aranuka,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Aratika,-1.00,-1.00,,-1.00,-1.00,,,,,,,,,50.00,,,,,,,,,,,,,,,,,,,,,,36434.00,-1.00
Arno,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Arutua,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astove,,,,,,-1.00,,,,,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Atafu,20000.00,30000.00,,,10000.00,,,,,,,,60.00,,,,,,,,,,,,,,,,,,,,,,,10.00,1000.00
Aur,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Bangaram,,,,,,,,,,,,,,200.00,150.00,,,,,,,,,,,,,,,,,,,,,,
Beautemps-Beaupre,4.00,-1.00,,,-1.00,-1.00,,,-1.00,,,,,20.00,,,,,,,,,,-1.00,,,,,10.00,,,2.00,20.00,,,8.00,-1.00
Bellona,27000.00,4800.00,,,,15000.00,,,,,,,20.00,108.00,,,,,,,,,,,,,,,37000.00,,,800.00,,76.00,,2.00,720.00
Bikar,-1.00,-1.00,,-1.00,-1.00,37000.00,-1.00,-1.00,,,,,-1.00,-1.00,,-1.00,-1.00,,,,,,,,,,,,-1.00,,,,-1.00,-1.00,,-1.00,-1.00
Bikini,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,-1.00,,,,-1.00,,,-1.00,-1.00
Birnie,4000.00,,,,27.00,-1.00,600.00,,,,,,,,,,8.00,,,,,,,,,,,,,,,20.00,,220.00,,20.00,6.00
Bitra_Par,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,
Bokaak,-1.00,-1.00,,-1.00,-1.00,20000.00,-1.00,,,,,,-1.00,-1.00,,-1.00,-1.00,,,,,,,,,,,-1.00,-1.00,-1.00,,,6300.00,-1.00,,-1.00,4000.00
Butaritari,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,-1.00,-1.00,,,-1.00,-1.00
Byramgore,250.00,,,,,650.00,,,,,,,,50.00,500.00,,,,,,,,,,,,,,,,,,,,,,
Caroline,2982.00,16784.00,,10.00,7914.00,376400.00,3000.00,,,,,,,,,,106.00,,,,,,,,,,,,,,,112.00,4854.00,378.00,,30.00,4442.00
Cherbaniani,1700.00,,,,,5000.00,,,,,,,,1900.00,760.00,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,10230.00,37540.00,,,,16000.00,,,82.00,,,12.00,136.00,32.00,,,-1.00,,,,,,,,,,,,71400.00,,,240.00,372.00,196.00,,5410.00,6410.00
Clipperton,3374.00,1374.00,,,10.00,200.00,,,,,,,,,,,6.00,,,,,,,,,,,,4.00,,,,642.00,,4239.00,15300.00,293.00
Cocos,1500.00,,-1.00,,2000.00,-1.00,,,,,,,,,,100.00,3.00,,,,,,,,,,,,100.00,,,3000.00,3000.00,50.00,,200.00,60000.00
Conflict,,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,
Cosmoledo,95.00,,,,15.00,2330000.00,,-1.00,,,,,40.00,72.00,,1.00,55.00,,,,,,,,,,,,,,,30.00,150.00,1000.00,,50.00,15000.00
Diego_Garcia,1392.00,,150.00,,450.00,-1.00,,16.00,,10.00,,-1.00,12.00,28.00,,12.00,10.00,,,,,,,,,,,,36.00,,4.00,-1.00,-1.00,,,6.00,19938.00
Dongsha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducie,400.00,,,30.00,10000.00,-1.00,,,,,,,,,,,1440.00,,,,,,60000.00,10.00,500000.00,,,,,6000.00,,,80.00,180.00,,,100.00
Egmont,128.00,,-1.00,,94.00,,,,,,,,140.00,140.00,,4.00,,,,,,,,,,,,,,,,,,,,,248.00
Egum,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enderbury,4000.00,10000.00,,,100.00,400000.00,1000.00,,,,,,,,,,200.00,,,,,,,,,,,,94.00,4.00,100.00,4000.00,600.00,2000.00,,2000.00,1000.00
