atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abariringa,4000,100,,5,20,100,4000,,,,,,,,,,100,,,,,,,,,,20,,,,,100,20,20,,230,1000
Abemama,-1,-1,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Addu,-1,,,,-1,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,
Ahe,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Ahunui,837,288,,,260,,,,,,,,,,,,13,,,,,,,,,,,,,,,-1,,,,,313
Ailinginae,450,95,,,350,7000,,,,,,,14,38,,,,,,,,,,,,,,,,,,,-1,,,-1,
Ailuk,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,-1,-1,,,-1,,,,
Aldabra,3500,,,,750,,,,,,25,,220,160,,5060,3758,,,,,,,,,,,,,,,13200,8800,,,,12000
Alphonse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,
Anaa,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant,-1,15000,,,-1,200,,,,,,,18,15,,,2,,,,,,,,,,,,,,,,75,,,10,150
Anuanuraro,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,
Anuanurunga,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,-1
Apataki,-1,-1,,-1,-1,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Aranuka,400,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
Aratika,-1,-1,,-1,-1,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,-1,-1
Arno,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
Arutua,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astove,,,,,,-1,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Atafu,20000,30000,,,10000,,,,,,,,60,,,,-1,,,,,,,,,,,,,,,,,,,10,1000
Aur,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
Bangaram,,,,,,,,,,,,,,200,246,,,,,,,,,,,,,,,,,,,,,,
Beautemps-Beaupre,4,-1,,,-1,-1,,,-1,,,,,27,,,,,,,,,,-1,,,,,10,,,2,20,,,8,-1
Bellona,27000,4800,,,,20000,,,,,,,57,108,,,,,,,,,,,,,,,50460,,,800,,198,,300,720
Bikar,1000,400,,20,700,52000,-1,,,,,,21,76,,45,110,,,,,,,,,,,,-1,,,,950,302,,-1,1000
Bikini,2760,6000,,,2604,-1,,,,,,,110,70,,,,,,,,,,,,,,,,,,,-1,,,730,340
Birnie,4000,,,,27,-1,600,,,,,,,,,,8,,,,,,,,,,,,,,,20,,218,,18,6
Bitra_Par,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Bokaak,300,125,,10,600,17500,-1,,,,,,25,125,,-1,525,,,,,,,,,,,-1,10000,-1,,,6800,450,,150,4500
Butaritari,-1,4100,,,200,-1,,,,,,,60,24,,,,,,,,,,,,,,,,,,7,60,,,-1,-1
Byramgore,250,,,,,650,,,,,,,,50,500,,,,,,,,,,,,,,,,,,,,,,
Caroline,3000,17000,,9,7914,1000000,3000,,,,,,,,,,300,,,,,,,,,,,,,,,1000,4854,400,,50,7000
Cherbaniani,1700,,,,,5000,,,,,,,,1900,760,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,39486,129228,,,,249154,,,82,,,12,310,588,,,-1,,,,,,,,,,,,172068,,,6492,2636,1298,,10132,17510
Clipperton,3374,1374,,,10,200,,,,,,,,,,,6,,,,,,,,,,,,4,,,,642,61339,150,25500,293
Cocos,15000,,-1,,2000,70,,,,,,,,,,90,3,,,,,,,,,,,,100,,,3000,3000,60,,195,60000
Conflict,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
Cosmoledo,95,,,,15,2331000,,-1,,,,,150,468,,,55,,,,,,,,,,,,,,,30,150,1706,,100,29234
Diego_Garcia,1392,,150,,450,,,16,,10,,,12,28,,12,10,,,,,,,,,,,,36,,4,,,,,6,19938
Ducie,400,,,30,10000,200,,,,,,,,,,,1500,,,,,,60000,100000,500000,,,,,6000,,,80,180,,,100
Egmont,128,,,,94,,,,,,,,140,140,,4,,,,,,,,,,,,,,,,,,,,,248
Egum,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enderbury,4000,10000,,,100,400000,1000,,,,,,,,,,1000,,,,,,,,,,,,94,4,100,8000,600,1000,,200,1000
Eniwetok,4600,3400,,,1400,16000,,,,,,,408,2,,8,17,,,,,,,,,,,,,,,,200,,,100,400
Erikub,500,1130,,,4130,,,,,,,,25,10,,6,-1,,,,,,,,,,,,,,,-1,80,,,200,50
Etal,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa,,,,,,3000000,,,,,30,,,,,2250,9000,,,,,,,,,,,,,,100,4000,3000,,,,9000
Faadhippolhu,,,,,,,,,,,,,-1,,,500,,,,,,,,,,,,,,,,,,,,,
Faaite,50,1250,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakahina,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakaofo,-1,-1,,,-1,,,,,,,,40,,,,-1,,,,,,,,,,,,,,,,,,,,600
Fakarava,91,141,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,146,143
Fangatau,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangataufa,100,70,,,200,50,,,,,,,,,,,120,,,,,,2,,100,,,,,,,,50,50,,,100
Farquhar,38278,,60,,200,561200,,,,,,134,224,16,,,,,,,,,,,,,,,,,,,,,,,17552
French_Frigate_Shoals,20000,4000,,30,100,300000,2000,,,,,,,,,,1500,6200,10000,,,500,,,,750,,200,6000,100,,,1400,1400,,100,6000
Funafuti,1479,2000,,,664,-1,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
Glorioso,600,,,,,540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great_Chagos_Bank,2268,,55470,,450,104000,,64,,,,,44,202,,2,,,,,,,,,,,,,7446,,3240,130,1200,280,,1826,17538
Hao,-1,-1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Haraiki,333,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen,,3500,,,35,80000,,,,,,,350,6000,,,,,,,,,,,,,,,,,,100,25,,,750,2500
Hereheretui,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huon,4246,,,,,-1,,41,-1,,,,145,118,,,5,,,,,,,,,,,,22,,,,,244,,1500,
Jaluit,53,1000,,,1020,-1,,,,,,,20,12,,-1,,,,,,,,,,,,,-1,,,-1,50,,,20,1500
Jemo,1000,2000,,,600,-1,,,,,,,,,,3,,,,,,,,,,,,,,,,,15,,,-1,2000
Johnston,35000,600,,,900,330000,1200,,,,,,,,,4,"7,800",,,,,,,,,,,120,4700,110,,,250,110,,950,2800
Kademat,6600,,,,,9560,,,,,,,,150,50,,,,,,,,,,,,,,,,,,,,,,
Kapingamarangi,-1,-1,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Kauehi,-1,-1,,,-1,106514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
Kaukura,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,-1
Kavaratti,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilinailau,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Kiritimati,46000,200000,,570,2500,1000000,1700,,,,,,,200,,,1920,,,,700,,,,,,6100,,12500,11000,7200,100,800,50,,50,5200
Kure,2000,100,,,300,20000,50,,,,,,,,,,2300,50000,7000,2,,80,,,,1200,,20,15000,480,,,450,140,,110,3000
Kuria,750,1200,,,500,-1,,,,,,,11,29,,,,,,,,,,,,,,,,,,,,,,,
Kwajalein,132,2678,,,160,,,,,,,,91,43,,,,,,,,,,,,,,,,,,,8,,,-1,2
Lae,-1,-1,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Laysan,25000,4000,,,2000,850000,15000,,,,,,,,,,4000,280000,46000,,,4000,,,,140000,,3000,300000,3500,,,7000,850,,70,550
Likiep,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Lisianski,20000,1500,,,150,1000000,35000,,,,,,,,,,2200,53000,4200,,,,,,,400000,,150,40000,1000,,,1600,650,,40,600
Losap,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukunor,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,,-1
Maiana,-1,-1,,,-1,,,,,,,,-1,15,,,,,,,,,,,,,,,,,,-1,,,,,
Majuro,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,-1,-1
Malden,1000,200,,40,,500000,14000,,,,,,,,,,100,,,,,,,,,,,,,,,30000,6000,20000,,400,2000
Manihi,-1,-1,,,-1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Manihiki,-1,-1,,,-1,,,,,,,,-1,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,-1
Manra,50,1000,,,200,8000,1200,,,,,,,,,,20,,,,,,,,,,,,,,,200,,200,,,100
Manuhangi,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marakei,-1,-1,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Maria,72,31,,,265,,,,,,,,,,,,442,,,,,,,,,,,,,,,,220,,,88,397
Maria_Est,-1,-1,,-1,-1,,,,,,,,,,,,-1,,,,,,-1,,-1,,,,,,,-1,-1,-1,,,-1
Marutea_Sud,-1,-1,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Mataiva,-1,-1,,,-1,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,-1,-1,,,-1,-1
Matureivavao,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,,,-1,-1,,,-1
Maupihaa,562,6,,,138,546022,,,,,,,,94,,,48,,,,,,,,,,,,,,,228,139,15,,96,263
McKean,3260,12,,,200,500,800,,,,,,,,,,68,,,,20,,,,,,,,2,,120,85000,800,800,,150,120
Midway,2000,8000,,,40000,200000,2000,,,,,,,,,10,15000,1200000,56000,2,,100,,,,300000,,20,10000,400,,,140,10,,4,950
Mili,-1,-1,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,-1,,,-1,-1
Mokil,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morane,900,26,,,1260,,,,,,,,,,,,33,,,,,,25,,-1,,,,,,,,173,190,,,316
Moruroa,-1,-1,,,-1,,,,,,,,,-1,,,-1,,,,,,,,-1,,,,,-1,,,-1,,,-1,-1
Motu_One,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Namoluk,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,-1,
Namu,-1,-1,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,-1
