atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abariringa,5000,100,,,40,100,3000,,,,,,,,,,-1,,,,,,,,,,4,,,,,100,-1,-1,,110,1000
Abemama,-1,-1,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Addu,-1,,,,-1,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,
Ahe,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Ahunui,837,288,,,260,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,313
Ailinginae,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Ailuk,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,-1,-1,,,-1,,,,
Aldabra,3500,,,,750,,,,,,25,,160,150,,5060,3758,,,,,,,,,,,,,,,7000,6000,,,,12000
Anaa,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant,-1,7500,,,-1,200,,,,,,,-1,-1,,,2,,,,,,,,,,,,,,,,8,,,2,150
Anuanuraro,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,
Anuanurunga,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,-1
Apataki,-1,-1,,-1,-1,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Aranuka,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
