atoll,region,species,nbirds
2.0,3.0,3.0,25.406170965564073
3.0,1.0,3.0,25.343557198954038
4.0,4.0,3.0,21.55983995282382
8.0,3.0,3.0,27.938944304749263
11.0,4.0,3.0,24.28691337243086
13.0,3.0,3.0,12.664995818030528
14.0,4.0,3.0,21.82730784375611
15.0,4.0,3.0,21.18730374283342
16.0,4.0,3.0,23.16034982387135
18.0,4.0,3.0,21.8657501271165
20.0,3.0,3.0,24.270565706173734
21.0,4.0,3.0,22.95251240934131
24.0,3.0,3.0,25.43954708504642
35.0,3.0,3.0,25.773659820535713
47.0,3.0,3.0,16.21690004398964
50.0,4.0,3.0,23.457601374740662
51.0,4.0,3.0,20.910973048512837
58.0,4.0,3.0,24.27793764774259
59.0,4.0,3.0,25.060839174549102
69.0,3.0,3.0,22.096709973353995
71.0,4.0,3.0,22.008008422223952
72.0,4.0,3.0,22.75201310349437
79.0,3.0,3.0,24.18547397457848
83.0,3.0,3.0,27.376513011299423
86.0,3.0,3.0,18.664115170474695
87.0,3.0,3.0,17.46888044371942
89.0,3.0,3.0,25.116459909473328
90.0,3.0,3.0,24.07994234931261
96.0,4.0,3.0,22.96504415417821
97.0,4.0,3.0,21.90007819490142
99.0,3.0,3.0,24.589029108753074
100.0,4.0,3.0,19.55049679828324
103.0,4.0,3.0,24.19067615409029
104.0,4.0,3.0,21.956271824176582
105.0,4.0,3.0,19.619472684562417
108.0,3.0,3.0,24.82561573494251
110.0,3.0,3.0,20.123292593036993
112.0,4.0,3.0,24.08638555669266
113.0,4.0,3.0,21.661824702167436
116.0,3.0,3.0,19.521338531170535
119.0,3.0,3.0,26.907045181720584
122.0,4.0,3.0,23.22583326982931
123.0,4.0,3.0,23.603627357421992
124.0,3.0,3.0,17.025158647665613
126.0,4.0,3.0,21.150353729638013
129.0,2.0,3.0,20.471859335098458
130.0,4.0,3.0,21.903061368568466
132.0,3.0,3.0,26.433998829306873
133.0,2.0,3.0,21.214610680345082
135.0,2.0,3.0,14.16496450901198
137.0,4.0,3.0,23.476571556884274
138.0,2.0,3.0,21.88778073436325
139.0,3.0,3.0,21.41727837129737
140.0,4.0,3.0,21.1981678447696
143.0,3.0,3.0,25.9828198385379
144.0,2.0,3.0,22.434201902231578
145.0,3.0,3.0,22.36931697904798
146.0,3.0,3.0,14.230799177372385
147.0,4.0,3.0,26.302751666051925
148.0,4.0,3.0,21.9029906471548
149.0,4.0,3.0,21.51885011457702
150.0,3.0,3.0,19.75021039837013
153.0,4.0,3.0,21.04075011838582
154.0,4.0,3.0,22.60182953696603
158.0,2.0,3.0,20.842750046583213
159.0,4.0,3.0,20.462433254742237
160.0,4.0,3.0,21.51121695044912
162.0,4.0,3.0,23.17333167087549
165.0,4.0,3.0,22.691423762653983
170.0,3.0,3.0,26.10275138779223
175.0,3.0,3.0,19.120919049037806
176.0,3.0,3.0,18.770748750588226
179.0,1.0,3.0,23.03863016190776
181.0,3.0,3.0,27.56057748099788
184.0,4.0,3.0,20.66173143696637
185.0,4.0,3.0,21.399040698865377
186.0,4.0,3.0,22.801005188226824
189.0,3.0,3.0,23.8472801614177
190.0,4.0,3.0,25.004816089468854
192.0,4.0,3.0,26.680318622457243
196.0,4.0,3.0,25.780732201455514
199.0,4.0,3.0,21.2197883615329
200.0,4.0,3.0,25.476251162413675
202.0,4.0,3.0,17.185062871162597
203.0,4.0,3.0,23.37370518475926
204.0,3.0,3.0,25.63575673387124
205.0,3.0,3.0,25.371966093937296
206.0,3.0,3.0,25.091493184103058
209.0,4.0,3.0,24.044387693057686
210.0,4.0,3.0,19.867550426814063
211.0,4.0,3.0,21.513031337227034
212.0,2.0,3.0,22.179834068111035
215.0,3.0,3.0,25.81171382980031
216.0,3.0,3.0,26.688928867276623
2.0,3.0,2.0,25.873589813610337
4.0,4.0,2.0,23.01706893429678
8.0,3.0,2.0,25.917005064068768
14.0,4.0,2.0,22.672785851439116
15.0,4.0,2.0,22.067970364586138
16.0,4.0,2.0,23.776468490202063
17.0,3.0,2.0,25.398101013225272
18.0,4.0,2.0,23.649868293772286
20.0,3.0,2.0,23.387081524190094
21.0,4.0,2.0,23.734481704008324
24.0,3.0,2.0,24.279396073802403
27.0,2.0,2.0,21.640002772605765
44.0,2.0,2.0,20.88720477253273
47.0,3.0,2.0,18.542502651010512
50.0,4.0,2.0,25.226039161969226
51.0,4.0,2.0,23.605024343662855
52.0,4.0,2.0,25.248256665642685
58.0,4.0,2.0,24.324670837724092
59.0,4.0,2.0,25.45982132910867
69.0,3.0,2.0,24.968251959975866
71.0,4.0,2.0,23.305316787366323
72.0,4.0,2.0,23.61154292755333
79.0,3.0,2.0,24.15853758196768
86.0,3.0,2.0,20.842441046831752
87.0,3.0,2.0,18.911044620327278
89.0,3.0,2.0,25.879132251148334
90.0,3.0,2.0,23.41848146714748
96.0,4.0,2.0,23.726560119616117
97.0,4.0,2.0,23.612073195827357
99.0,3.0,2.0,25.566947693300563
100.0,4.0,2.0,22.156919070614208
103.0,4.0,2.0,24.41870923304033
104.0,4.0,2.0,24.13817847028023
105.0,4.0,2.0,21.145653784461082
108.0,3.0,2.0,24.520454894842615
110.0,3.0,2.0,22.385704074814292
112.0,4.0,2.0,23.57902742036874
116.0,3.0,2.0,21.456064573230627
119.0,3.0,2.0,25.456181575418967
123.0,4.0,2.0,24.517948761502275
126.0,4.0,2.0,23.47699175821836
129.0,2.0,2.0,22.072235238351652
130.0,4.0,2.0,25.407242235839874
132.0,3.0,2.0,26.5654958509867
133.0,2.0,2.0,20.494468396468974
135.0,2.0,2.0,17.606930137981394
137.0,4.0,2.0,25.104219242842312
138.0,2.0,2.0,23.034518816855126
139.0,3.0,2.0,23.275596968043565
140.0,4.0,2.0,22.448504251759267
143.0,3.0,2.0,26.904121114159956
144.0,2.0,2.0,23.05918242651076
145.0,3.0,2.0,22.71695083727191
146.0,3.0,2.0,18.533048778428615
148.0,4.0,2.0,23.669942670988014
149.0,4.0,2.0,23.640094739400922
150.0,3.0,2.0,22.294756398274245
153.0,4.0,2.0,23.986374343429112
154.0,4.0,2.0,24.173320045563564
159.0,4.0,2.0,23.452667858654706
160.0,4.0,2.0,22.5290944848528
162.0,4.0,2.0,23.96860561874759
165.0,4.0,2.0,24.242696282177562
167.0,4.0,2.0,23.14341785399639
170.0,3.0,2.0,24.83700550428155
171.0,3.0,2.0,24.183984451774002
175.0,3.0,2.0,21.64753616826649
176.0,3.0,2.0,19.289719304420565
181.0,3.0,2.0,27.232352819458114
184.0,4.0,2.0,23.64436912614911
185.0,4.0,2.0,22.459647501094317
187.0,4.0,2.0,22.721105042467016
189.0,3.0,2.0,24.107227184239676
190.0,4.0,2.0,26.337714479910474
196.0,4.0,2.0,27.507381319691646
197.0,4.0,2.0,22.290537642993975
199.0,4.0,2.0,22.325872240062118
200.0,4.0,2.0,27.63520077640247
204.0,3.0,2.0,24.215419889969667
205.0,3.0,2.0,25.395883743731304
206.0,3.0,2.0,22.07524859113809
209.0,4.0,2.0,24.76948468570899
210.0,4.0,2.0,24.21077719713628
212.0,2.0,2.0,21.985549838985
215.0,3.0,2.0,25.34795948789931
216.0,3.0,2.0,23.770157936856435
38.0,1.0,4.0,23.91212007088906
16.0,4.0,1.0,24.367490740612766
18.0,4.0,1.0,24.179594438585006
58.0,4.0,1.0,24.052854544810998
100.0,4.0,1.0,25.215752459756423
160.0,4.0,1.0,23.209297546975925
162.0,4.0,1.0,23.69162412044721
177.0,4.0,1.0,23.3672090720288
182.0,4.0,1.0,25.164516939585567
196.0,4.0,1.0,24.335775028771856
199.0,4.0,1.0,23.7992966130901
200.0,4.0,1.0,23.039541360177935
2.0,3.0,9.0,23.862098775240007
3.0,1.0,9.0,24.003372317572918
8.0,3.0,9.0,25.150295996056656
11.0,4.0,9.0,26.220051117292826
13.0,3.0,9.0,18.69909611166602
14.0,4.0,9.0,25.234683532221666
15.0,4.0,9.0,24.97261492314584
16.0,4.0,9.0,24.966366103473312
17.0,3.0,9.0,23.709493892852763
18.0,4.0,9.0,24.90590974482165
20.0,3.0,9.0,22.72612978870449
24.0,3.0,9.0,23.5779586190015
27.0,2.0,9.0,21.670603668425557
50.0,4.0,9.0,27.039931255675853
51.0,4.0,9.0,24.095840167552375
58.0,4.0,9.0,27.53664563781245
59.0,4.0,9.0,26.073398639071414
69.0,3.0,9.0,23.013301754695142
71.0,4.0,9.0,25.213818369754414
72.0,4.0,9.0,24.85614838039674
79.0,3.0,9.0,23.10434276173371
83.0,3.0,9.0,24.896436449638003
87.0,3.0,9.0,20.1451359796758
89.0,3.0,9.0,23.483310619569018
90.0,3.0,9.0,22.479430850520934
96.0,4.0,9.0,25.222535144846574
97.0,4.0,9.0,25.04445635520618
99.0,3.0,9.0,23.292030665741876
100.0,4.0,9.0,25.82894147603639
103.0,4.0,9.0,27.06098308976553
104.0,4.0,9.0,24.79017847467459
105.0,4.0,9.0,25.22425198585804
108.0,3.0,9.0,23.16135493071142
110.0,3.0,9.0,21.311703369756927
