mpa,lat,long
Pitcairn,-20.797,-131.934814
Pitcairn,-21.063997,-132.110596
Pitcairn,-25.700938,-132.989502
Pitcairn,-26.568877,-133.406982
Pitcairn,-27.488781,-132.659912
Pitcairn,-28.207609,-131.451416
Pitcairn,-28.439714,-130.023193
Pitcairn,-28.188244,-128.682861
Pitcairn,-27.722436,-127.8479
Pitcairn,-27.469287,-126.815186
Pitcairn,-27.994401,-125.2771
Pitcairn,-27.80021,-123.453369
Pitcairn,-27.039557,-122.178955
Pitcairn,-25.363882,-121.212158
Pitcairn,-23.463246,-121.387939
Pitcairn,-22.167058,-122.420654
Pitcairn,-21.412162,-123.87085
Pitcairn,-21.371244,-125.321045
Pitcairn,-21.596151,-126.177979
Pitcairn,-21.105,-127.254639
Pitcairn,-20.96144,-128.221436
Pitcairn,-21.063997,-128.946533
Pitcairn,-20.61222,-130.111084
Pitcairn,-20.61222,-131.231689
Marae_Moana,-15.559544,-160.477295
Marae_Moana,-14.370834,-159.77417
Marae_Moana,-13.603278,-159.686279
Marae_Moana,-13.047372,-158.763428
Marae_Moana,-12.533115,-158.192139
Marae_Moana,-12.189704,-156.566162
Marae_Moana,-11.372339,-155.423584
Marae_Moana,-8.515836,-154.89624
Marae_Moana,-5.769036,-159.202881
Marae_Moana,-6.686431,-160.565186
Marae_Moana,-6.599131,-161.575928
Marae_Moana,-7.122696,-162.806396
Marae_Moana,-8.080985,-163.905029
Marae_Moana,-7.427837,-165.706787
Marae_Moana,-7.645665,-166.948365
Marae_Moana,-8.21149,-167.947998
Marae_Moana,-9.860628,-168.563232
Marae_Moana,-11.759815,-168.563232
Marae_Moana,-14.072645,-165.662842
Marae_Moana,-15.644197,-165.223389
Marae_Moana,-17.497389,-166.585693
Marae_Moana,-19.78738,-166.278076
Marae_Moana,-20.94092,-165.047607
Marae_Moana,-21.432617,-163.421631
Marae_Moana,-23.301901,-162.630615
Marae_Moana,-24.467151,-161.004639
Marae_Moana,-24.627045,-160.125732
Marae_Moana,-25.264568,-158.543701
Marae_Moana,-25.264568,-157.137451
Marae_Moana,-24.906368,-156.126709
Marae_Moana,-21.514407,-156.346436
Marae_Moana,-19.331878,-154.720459
Marae_Moana,-18.20848,-156.346436
Marae_Moana,-16.657244,-157.752686
Marae_Moana,-15.855674,-158.236084
Marae_Moana,-15.517205,-159.290771
Niue_Moana_Mahu,-19.394068,-170.233154
Niue_Moana_Mahu,-22.492257,-169.310303
