atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abaiang,0.839,0.8715,0.054,0.0285,0.992,0.2395,0.199,0.1815,0.01,0.001,0.002,0.0025,0.342,0.6,0.0035,0.1255,0.5275,0.0065,0.014,0.0085,0.077,0.0005,0.0005,0.004,0.002,0.0,0.0105,0.005,0.0885,0.0095,0.016,0.6445,0.367,0.0,0.0,0.362,0.3715
Ailinglaplap,0.758,0.773,0.0015,0.011,0.8565,0.0945,0.0815,0.005,0.0015,0.0005,0.0005,0.0015,0.1945,0.5495,0.001,0.0315,0.1295,0.002,0.0045,0.002,0.004,0.0005,0.0005,0.0055,0.0005,0.0005,0.0005,0.002,0.036,0.0035,0.0005,0.064,0.2395,0.016,0.0,0.3875,0.18
Alphonse,0.8895,0.0045,0.548,0.0055,0.7925,0.4615,0.0015,0.3525,0.0095,0.0575,0.194,0.4275,0.6265,0.7605,0.096,0.664,0.1625,0.002,0.0025,0.0095,0.01,0.004,0.0185,0.004,0.051,0.008,0.005,0.005,0.058,0.0055,0.171,0.426,0.5505,0.034,0.0005,0.1215,0.506
Amanu,0.935,0.915,0.001,0.145,0.8455,0.771,0.406,0.003,0.003,0.0085,0.002,0.0025,0.1475,0.181,0.0045,0.2395,0.1995,0.017,0.0015,0.007,0.01,0.01,0.0055,0.0055,0.008,0.0125,0.0515,0.023,0.0405,0.0645,0.018,0.476,0.3885,0.799,0.1265,0.7655,0.8725
Analtin,0.1805,0.1435,0.0055,0.001,0.457,0.013,0.003,0.0395,0.013,0.0015,0.0005,0.003,0.055,0.12,0.0105,0.0205,0.065,0.0025,0.002,0.0035,0.002,0.0,0.0,0.0865,0.0,0.0005,0.002,0.0,0.0235,0.0,0.0025,0.168,0.0715,0.028,0.0025,0.345,0.095
Ari,0.8085,0.008,0.2825,0.005,0.495,0.232,0.0085,0.1815,0.003,0.0285,0.082,0.159,0.278,0.469,0.193,0.2535,0.124,0.001,0.0025,0.0035,0.005,0.005,0.003,0.0045,0.0195,0.002,0.0075,0.0065,0.0455,0.002,0.0705,0.212,0.2795,0.0195,0.0005,0.145,0.2735
Awin,0.23,0.14,0.003,0.0,0.467,0.007,0.0005,0.042,0.0205,0.001,0.0,0.0075,0.059,0.142,0.0095,0.033,0.0695,0.0005,0.003,0.003,0.0025,0.002,0.0005,0.0785,0.0005,0.0,0.0015,0.001,0.034,0.0,0.0035,0.1855,0.091,0.0215,0.0005,0.329,0.0915
Baa,0.8595,0.0045,0.321,0.006,0.5815,0.2625,0.0045,0.2025,0.003,0.032,0.0975,0.243,0.3965,0.5825,0.1305,0.3965,0.1205,0.0005,0.0015,0.003,0.006,0.003,0.0035,0.007,0.019,0.0035,0.003,0.005,0.0415,0.0015,0.069,0.223,0.3675,0.023,0.0,0.1115,0.3105
Beru,0.982,0.9825,0.0665,0.1965,0.999,0.745,0.2395,0.2135,0.0295,0.0045,0.019,0.0185,0.844,0.821,0.0025,0.582,0.3975,0.0225,0.029,0.012,0.107,0.0085,0.0055,0.0025,0.007,0.0075,0.023,0.0455,0.4245,0.094,0.024,0.7475,0.843,0.006,0.0,0.5065,0.8285
Bramble_Haven,0.527,0.3295,0.0045,0.0015,0.5075,0.0345,0.001,0.046,0.0225,0.0045,0.0015,0.0295,0.216,0.2765,0.009,0.1305,0.065,0.004,0.006,0.0025,0.003,0.002,0.0015,0.053,0.0015,0.002,0.0025,0.0025,0.0765,0.0,0.0025,0.1855,0.28,0.0865,0.0075,0.3915,0.262
Budibudi,0.373,0.2445,0.005,0.0015,0.477,0.018,0.001,0.0455,0.02,0.0025,0.0,0.0115,0.1215,0.19,0.008,0.0625,0.076,0.002,0.0055,0.002,0.002,0.002,0.0005,0.067,0.001,0.003,0.0025,0.001,0.0435,0.0,0.0015,0.1995,0.164,0.0165,0.001,0.343,0.1215
Chetlat,0.9425,0.009,0.3805,0.016,0.6485,0.448,0.001,0.273,0.0035,0.059,0.315,0.5855,0.7635,0.84,0.08,0.7395,0.189,0.002,0.0075,0.007,0.004,0.014,0.0395,0.005,0.06,0.0115,0.002,0.0295,0.1175,0.0045,0.092,0.282,0.6895,0.0225,0.001,0.1005,0.4725
Dhaalu,0.902,0.006,0.335,0.0065,0.595,0.3245,0.004,0.202,0.003,0.0335,0.1445,0.324,0.507,0.6355,0.1155,0.505,0.1175,0.0005,0.0055,0.003,0.0035,0.008,0.012,0.0085,0.035,0.0065,0.004,0.0145,0.06,0.003,0.081,0.2345,0.4735,0.0215,0.0015,0.1145,0.368
Eauripik,0.927,0.9105,0.001,0.049,0.7535,0.1895,0.009,0.0055,0.0,0.002,0.006,0.0065,0.6805,0.824,0.0015,0.21,0.1275,0.0055,0.019,0.0015,0.0015,0.003,0.0045,0.004,0.0015,0.0035,0.0,0.007,0.1235,0.0095,0.0005,0.0345,0.624,0.1355,0.013,0.311,0.326
Ebon,0.8805,0.7985,0.0035,0.0115,0.9165,0.12,0.0585,0.0085,0.001,0.0005,0.001,0.0,0.334,0.589,0.002,0.074,0.1325,0.0025,0.006,0.0,0.006,0.0005,0.0015,0.006,0.0005,0.0,0.001,0.0025,0.0395,0.007,0.001,0.101,0.3305,0.015,0.0,0.3115,0.239
Elato,0.848,0.7365,0.0005,0.0065,0.687,0.097,0.012,0.004,0.0005,0.001,0.0005,0.0025,0.395,0.725,0.003,0.0915,0.0925,0.0035,0.0055,0.0015,0.0005,0.001,0.001,0.0055,0.0015,0.0005,0.0005,0.001,0.037,0.004,0.0,0.026,0.407,0.241,0.015,0.3035,0.165
Faadhippolhu,0.9285,0.005,0.288,0.008,0.549,0.3115,0.001,0.183,0.002,0.0455,0.204,0.3865,0.5745,0.6565,0.109,0.5535,0.1105,0.0005,0.0025,0.006,0.005,0.0135,0.009,0.0095,0.0435,0.006,0.0045,0.026,0.059,0.005,0.067,0.2025,0.544,0.032,0.004,0.0885,0.361
