"","longitude","latitude","precip_anom","atoll","lat","long"
"1",338.75,6.25,-0.799999982118607,"Ant",6.7819444,157.9166667
"2",353.75,1.25,-0.88999998010695,"Abaiang",1.8569,172.9472
"3",8.75,-3.75,-0.219999995082617,"Abariringa",-2.816761,-171.674099
"4",353.75,1.25,-0.88999998010695,"Abemama",0.3927,173.8657
"5",253.75,-1.25,1.84999995864928,"Addu",-0.64009,73.157791
"6",33.75,-13.75,-0.489999989047647,"Ahe",-14.4784,-146.3037
"7",38.75,-18.75,-0.449999989941716,"Ahunui",-19.6342,-140.4093
"8",346.25,11.25,0.0799999982118607,"Ailinginae",11.144382,166.378242
"9",348.75,6.25,-0.0599999986588955,"Ailinglaplap",7.394,168.7634
"10",348.75,11.25,0.0799999982118607,"Ailuk",10.3410084,169.9418605
"11",226.25,-8.75,0.939999978989363,"Aldabra",-9.416548,46.343366
"12",233.75,-6.25,0.34999999217689,"Alphonse",-7.0206,52.7374
"13",38.75,-18.75,-0.449999989941716,"Amanu",-17.8076,-140.7621
"14",33.75,-16.25,-1.13999997451901,"Anaa",-17.41667,-145.5
"15",323.75,-1.25,-1.32999997027218,"Analtin",-1.1263,144.3952
"16",36.25,-21.25,-1.17999997362494,"Anuanuraro",-20.436,-143.5355
"17",36.25,-21.25,-1.17999997362494,"Anuanurunga",-20.6135,-143.287
"18",33.75,-16.25,-1.13999997451901,"Apataki",-15.4527,-146.3248
"19",353.75,1.25,-0.88999998010695,"Aranuka",0.1659,173.6088
"20",33.75,-16.25,-1.13999997451901,"Aratika",-15.5392,-145.5294
"21",253.75,3.75,3.62999991886318,"Ari",3.83,72.85
"22",351.25,6.25,-0.209999995306134,"Arno",7.081172,171.6562687
"23",33.75,-16.25,-1.13999997451901,"Arutua",-15.3217,-146.742
"24",228.75,-11.25,0.639999985694885,"Astove",-10.087218,47.745384
"25",8.75,-8.75,-0.0399999991059303,"Atafu",-8.5602,-172.4929
"26",351.25,8.75,0.0699999984353781,"Aur",8.255,171.0935
"27",323.75,-1.25,-1.32999997027218,"Awin",-1.649,144.0179
"28",253.75,3.75,3.62999991886318,"Baa",4.8529,72.9244
"29",251.25,11.25,-1.27999997138977,"Bangaram",10.9128,72.2279
"30",346.25,-21.25,0.0499999988824129,"Beautemps-Beaupre",-20.3455,166.1691
"31",338.75,-21.25,0,"Bellona",-21.156,158.9917
"32",356.25,-1.25,-0.399999991059303,"Beru",-1.3215,175.9784
"33",351.25,11.25,-0.149999996647239,"Bikar",12.25111,170.10303
"34",346.25,11.25,0.0799999982118607,"Bikini",11.5391494,165.2716261
"35",8.75,-3.75,-0.219999995082617,"Birnie",-3.5847,-171.5169
"36",251.25,11.25,-1.27999997138977,"Bitra_Par",11.5482,72.1636
"37",348.75,13.75,-0.369999991729856,"Bokaak",14.6559,168.9733
"38",331.25,-11.25,-0.149999996647239,"Bramble_Haven",-11.2299,152.0092
"39",333.75,-8.75,-0.289999993517995,"Budibudi",-9.2862,153.6736
"40",353.75,3.75,-0.61999998614192,"Butaritari",3.152,172.8311
"41",251.25,11.25,-1.27999997138977,"Byramgore",11.8942,71.8011
"42",28.75,-8.75,0.409999990835786,"Caroline",-9.9594389,-150.2053785
"43",251.25,11.25,-1.27999997138977,"Cherbaniani",12.3498,71.9068
"44",338.75,-18.75,0,"Chesterfield",-19.2865,158.6077
"45",253.75,11.25,-1.28999997116625,"Chetlat",11.6935,72.7078
"46",71.25,11.25,-0.859999980777502,"Clipperton",10.3036471,-109.2163215
"47",276.25,-11.25,-0.0599999986588955,"Cocos",-12.141876,96.8677068
"48",331.25,-11.25,-0.149999996647239,"Conflict",-10.7804,151.798
"49",228.75,-8.75,0.589999986812472,"Cosmoledo",-9.71667,47.58333
"50",253.75,3.75,3.62999991886318,"Dhaalu",2.8372,72.934
"51",251.25,-6.25,0.00999999977648258,"Diego_Garcia",-7.3383584,72.4718155
"52",56.25,-23.75,0.0199999995529652,"Ducie",-24.67406,-124.77733
"53",323.75,6.25,-1.46999996714294,"Eauripik",6.6899,143.0416
"54",348.75,3.75,-1.46999996714294,"Ebon",4.634,168.7192
"55",251.25,-6.25,0.00999999977648258,"Egmont",-6.6586,71.3523
"56",331.25,-8.75,-0.429999990388751,"Egum",-9.41,151.94
"57",326.25,6.25,-1.52999996580184,"Elato",7.4406,146.1477
"58",8.75,-3.75,-0.219999995082617,"Enderbury",-3.1263,-171.0865
"59",341.25,11.25,-0.249999994412065,"Eniwetok",11.4205556,162.3405556
"60",351.25,8.75,0.0699999984353781,"Erikub",9.142,170.0205
"61",333.75,6.25,-1.12999997474253,"Etal",5.5680556,153.5861111
"62",221.25,-21.25,0.61999998614192,"Europa",-22.3698,40.3699
"63",253.75,6.25,3.60999991931021,"Faadhippolhu",5.3905,73.52
"64",253.75,3.75,3.62999991886318,"Faafu",3.1951,72.9295
"65",33.75,-16.25,-1.13999997451901,"Faaite",-16.7506,-145.2421
"66",38.75,-16.25,-0.219999995082617,"Fakahina",-15.9851,-140.1331
"67",8.75,-8.75,-0.0399999991059303,"Fakaofo",-9.3736,-171.2162
"68",33.75,-16.25,-1.13999997451901,"Fakarava",-16.2928,-145.6084
"69",38.75,-16.25,-0.219999995082617,"Fangatau",-15.8262,-140.8618
"70",41.25,-21.25,-0.329999992623925,"Fangataufa",-22.2356,-138.7401
"71",323.75,8.75,-0.0699999984353781,"Faraulep",8.591,144.5096
"72",231.25,-11.25,0.329999992623925,"Farquhar",-10.1825534,51.165114
"73",253.75,3.75,3.62999991886318,"Felidhu",3.4608,73.466
"74",13.75,23.75,0,"French_Frigate_Shoals",23.7551,-166.2096
"75",358.75,-8.75,-0.0299999993294477,"Funafuti",-8.5155,179.113
"76",253.75,3.75,3.62999991886318,"Gaafaru",4.7477,73.4346
"77",226.25,-11.25,1.00999997742474,"Glorioso",-11.5468,47.3258
"78",253.75,1.25,2.72999993897974,"Haddhunmathi",1.9212,73.4046
"79",38.75,-18.75,-0.449999989941716,"Hao",-18.2471,-140.8738
