,Abaiang,Abariringa,Abemama,Addu,Ahe,Ahunui,Ailinginae,Ailinglaplap,Ailuk,Aldabra,Alphonse,Amanu,Anaa,Analtin,Ant,Anuanuraro,Anuanurunga,Apataki,Aranuka,Aratika,Ari,Arno,Arutua,Astove,Atafu,Aur,Awin,Baa,Bangaram,Beautemps-Beaupre,Bellona,Beru,Bikar,Bikini,Birnie,Bitra_Par,Bokaak,Bramble_Haven,Budibudi,Butaritari,Byramgore,Caroline,Cherbaniani,Chesterfield,Chetlat,Clipperton,Cocos,Conflict,Cosmoledo,Dhaalu,Diego_Garcia,Ducie,Eauripik,Ebon,Egmont,Egum,Elato,Enderbury,Eniwetok,Erikub,Etal,Europa,Faadhippolhu,Faafu,Faaite,Fakahina,Fakaofo,Fakarava,Fangatau,Fangataufa,Faraulep,Farquhar,Felidhu,French_Frigate_Shoals,Funafuti,Gaafaru,Glorioso,Haddhunmathi,Hao,Haraiki,Helen,Hereheretui,Hikueru,Hiti,Huon,Huvadhu,Ifalik,Ihavandhippolu,Jaluit,Jemo,Johnston,Kademat,Kalpeni,Kapingamarangi,Katiu,Kauehi,Kaukura,Kavaratti,Kilinailau,Kiltan,Kiritimati,Kolhumadulu,Kuop,Kure,Kuria,Kwajalein,Lae,Lamotrek,Laualau,Laysan,Lib,Likiep,Liot,Long_Reef,Losap,Lukunor,Maalhosmadulu,Maiana,Majuro,Makemo,Makunudhoo,Malden,Male,Maloelap,Malum,Manihi,Manihiki,Manra,Manuae,Manuhangi,Marakei,Maria,Maria_Est,Marokau,Marutea_Nord,Marutea_Sud,Mataiva,Matureivavao,Maupihaa,McKean,Meemu,Midway,Miladhunmadulu,Mili,Minicoy,Mokil,Morane,Moruroa,Motu_One,Motutunga,Murilo,Namoluk,Namonuito,Namorik,Namu,Nanumanga,Nanumea,Napuka,Nengonengo,Ngcheangel,Ngulu,Niau,Nihiru,Nikumaroro,Nikunau,Ninigo,Niutao,Nomwin,Nonouti,Nuguria,Nui,Nukapu,Nukufetau,Nukulaelae,Nukumanu,Nukunonu,Nukuoro,Nukutepipi,Numa_Miombilou,Nupani,Oeno,Olimarao,Onotoa,Ontong_Java,Oroluk,Orona,Ouvea,Pakin,Palmerston,Palmyra,Paraoa,Pearl_and_Hermes,Peremul_Par,Peros_Banhos,Pinaki,Pingelap,Pinipel,Pukapuka,Puka-Puka,Pukarua,Pulap,Pulusuk,Puluwat,Qelelevu,Rakahanga,Rangiroa,Raraka,Raroia,Rasdhoo,Ravahere,Rawaki,Reao,Redlick,Reitoru,Rekareka,Ringgold,Rongelap,Rongerik,Rose,Rowa,Saloman,Sama,Samasuma,Sapwuahfik,Satawan,Scilly,Sorol,St_Francois,St_Joseph,Starbuck,Suheli_Par,Surprise,Suwarrow,Swains,Tabiteuea,Tabuaeran,Taenga,Tahanea,Taiaro,Taka,Takapoto,Takaroa,Takume,Takuu,Tarawa,Tatakoto,Tauere,Tekokota,Temitangi,Temoe,Tenararo,Tenaruga,Tepoto,Teraina,Tetiaroa,Thiladhunmathi,Tikehau,Toau,Tongareva,Tuanake,Tubbataha,Tupai,Tureia,Ujae,Ujelang,Ulithi,Utirik,Vahanga,Vahitahi,Vairaatea,Vaitupu,Vanavana,Wailagilala,Wake,West_Fayu,Woleai,Wotho,Wotje
Abaiang,0,1788,191,11110,4841,5621,1258,768,995,14069,13381,5520,5032,3195,1755,5348,5379,4874,201,4958,11126,595,4827,13909,1984,737,3243,11112,11150,2565,2965,487,1192,1366,1830,11152,1481,2733,2467,144,11188,4288,11173,2816,11091,8649,8548,2728,13930,11121,11201,7325,3361,561,11324,2642,3036,1860,1578,868,2189,14427,11043,11120,5032,5524,2151,4978,5444,5883,3237,13535,11059,3304,1336,11056,13940,11073,5525,5238,4580,5186,5326,5146,2468,11093,3217,11101,613,985,2527,11088,11001,2026,5109,5008,4848,11108,2085,11061,3301,11104,2402,3082,187,1056,1080,3018,3184,3114,944,989,3186,2770,2315,2172,11105,102,604,5183,11138,3633,11050,790,2127,4875,3191,1892,3861,5523,40,4385,6123,5379,5252,6168,4616,6084,4181,1560,11057,3096,11071,486,11079,1558,6074,5854,4078,5133,2416,2246,2648,679,860,976,902,5355,5450,4292,3999,4898,5272,1570,527,3210,1007,2460,318,2111,1108,1527,1245,1460,1665,2082,2014,5405,1529,1544,6721,3071,506,1711,2057,1798,2581,1776,3422,2809,5575,3117,11166,11267,5785,1443,2206,2738,5625,5915,2685,2678,2704,2163,3163,4739,5046,5293,11109,5397,1920,5987,2662,5290,5369,2218,1227,1213,2762,1814,11223,3233,3238,1798,2192,4098,3673,13379,13319,3564,11149,2487,3125,2273,420,3092,5230,5083,5056,1092,4962,4977,5305,1921,46,5744,5430,5321,5679,6337,6043,6065,5131,2981,4612,11092,4671,4922,3442,5132,5921,4361,5850,1139,1595,3796,1096,6053,5749,5729,1194,5789,2238,2048,2988,3282,1171,899
Abariringa,1788,0,1648,12813,3071,3875,2879,2449,2504,15606,14983,3759,3284,4891,3542,3623,3655,3111,1671,3193,12867,2151,3064,15437,642,2271,4930,12861,12929,3090,3770,1384,2615,3006,87,12933,2879,4114,3900,1846,12971,2501,12956,3711,12873,7071,10111,4129,15466,12855,12824,5578,5141,2331,12955,4090,4820,74,3280,2424,3972,15563,12796,12857,3276,3749,727,3220,3670,4156,5024,15073,12798,2999,1199,12804,15433,12799,3767,3483,6323,3462,3569,3387,3249,12807,5000,12863,2319,2525,2175,12869,12778,3760,3347,3245,3089,12886,3664,12842,1673,12834,4189,3529,1693,2716,2775,4803,4880,3163,2631,2555,4876,4160,4102,3955,12859,1755,2178,3421,12896,1866,12796,2305,3761,3103,1450,187,2287,3775,1757,2790,4384,3624,3492,4422,2856,4340,2480,285,12793,3490,12827,2073,12847,3344,4349,4123,2366,3377,4203,4030,4435,2433,2537,1386,1393,3573,3700,6072,5782,3141,3508,377,1331,4903,1272,4247,1574,3740,1331,2591,1242,1187,3219,706,3787,3681,2575,2624,4982,4856,1423,3232,3845,196,3083,3563,1924,1437,3825,3425,12946,12916,4030,3229,3804,1100,3843,4149,4472,4462,4491,1690,1415,2977,3284,3523,12853,3644,146,4221,4050,3537,3604,1757,2832,2793,1353,2582,12872,4924,4928,3585,3975,2401,5456,14980,14949,1781,12925,3245,1487,913,1505,1561,3464,3327,3290,2584,3190,3203,3534,3489,1771,3974,3668,3561,3954,4604,4299,4320,3373,1505,2881,12852,2910,3161,1663,3372,7697,2634,4107,2843,3344,5583,2576,4309,3990,3976,1178,4048,1745,3409,4774,5065,2837,2441
Abemama,191,1648,0,11211,4685,5457,1449,959,1183,14138,13461,5360,4869,3285,1907,5179,5210,4715,38,4799,11239,779,4668,13977,1808,922,3330,11228,11282,2443,2881,302,1376,1556,1685,11285,1667,2738,2481,326,11323,4141,11309,2742,11225,8578,8613,2737,13999,11232,11282,7159,3493,740,11407,2661,3173,1719,1764,1057,2325,14439,11161,11232,4870,5368,1975,4817,5288,5715,3379,13603,11172,3363,1144,11172,14001,11181,5363,5076,4690,5018,5165,4986,2373,11197,3352,11223,803,1174,2565,11221,11131,2128,4948,4849,4688,11239,2132,11194,3204,11214,2544,3211,53,1247,1268,3156,3274,3206,1133,1179,3274,2778,2458,2308,11224,113,790,5023,11258,3506,11165,974,2191,4719,3030,1741,3681,5358,190,4205,5956,5216,5091,6002,4456,5918,4011,1407,11169,3220,11190,670,11204,1714,5904,5686,3909,4971,2568,2383,2798,861,1051,788,714,5202,5286,4425,4135,4736,5112,1408,346,3299,816,2610,128,2173,918,1448,1054,1268,1699,1905,2139,5237,1447,1468,6553,3209,315,1736,2208,1644,2456,1930,3239,2741,5411,3233,11299,11355,5622,1598,2259,2568,5472,5756,2827,2815,2845,1974,3003,4579,4885,5135,11223,5234,1775,5827,2668,5128,5210,2030,1419,1405,2578,1701,11311,3321,3326,1941,2328,3928,3808,13459,13405,3429,11279,2390,2952,2092,228,3007,5070,4921,4898,1279,4806,4821,5148,1963,151,5586,5270,5160,5511,6169,5878,5899,4970,2903,4446,11213,4511,4761,3291,4971,6050,4195,5684,1327,1772,3938,1283,5888,5587,5566,1003,5623,2049,2235,3129,3417,1361,1087
Addu,11110,12813,11211,0,15375,15732,10384,10646,10774,3125,2374,15790,15346,7929,9448,15400,15415,15339,11182,15417,495,10966,15301,3001,12685,10903,7887,608,1282,10307,9558,11444,10789,10263,12827,1352,10662,8787,8965,11098,1394,15091,1443,9515,1365,18905,2911,8763,3005,385,745,16610,7804,10641,695,8775,8151,12877,9943,10784,8965,4288,668,425,15399,15935,12817,15380,15871,15737,7978,2653,455,13144,11764,597,3099,285,15758,15546,6536,15293,15622,15513,9967,125,7962,848,10725,10728,12942,1312,1189,9086,15500,15441,15290,1240,9151,1340,14411,334,8787,11856,11161,10460,10367,8170,7940,12551,10494,10682,7942,8740,8870,8982,688,11116,10936,15558,771,14664,561,10897,9052,15415,13917,12853,13934,15676,11147,14272,15970,15634,15594,16055,15119,15986,14516,12538,403,11952,731,10998,988,9651,15818,15748,14486,15471,8827,8916,8597,10575,10581,11467,11445,15903,15645,6898,7202,15310,15639,12489,11496,7916,11581,8776,11263,9073,11555,10322,11686,11838,9596,12749,9111,15432,10343,10288,16271,8122,11397,9588,9158,12749,10332,9436,13535,13874,15731,12108,1309,541,15904,9754,9010,13384,16117,16115,8513,8495,8486,11873,13913,15226,15456,15706,546,15637,12916,16163,8845,15565,15723,11848,10440,10500,13079,10473,528,7894,7890,9371,8960,14449,7523,2376,2266,14542,1189,9990,13640,12814,11320,14191,15623,15440,15499,10737,15485,15513,15738,9327,11114,16038,15739,15638,15602,16023,15966,15981,15491,14069,14953,814,15166,15353,14268,15505,5292,14752,15837,10299,9786,7451,10756,15973,15924,15857,11723,15786,11884,10405,8217,7899,10357,10783
Ahe,4841,3071,4685,15375,0,848,5940,5519,5554,17022,16844,698,336,7757,6591,722,751,108,4702,144,15581,5218,105,16884,2929,5333,7782,15607,15836,5075,5820,4396,5643,6067,3018,15855,5885,6687,6548,4911,15899,656,15895,5871,15798,4926,12469,6718,16928,15537,15115,2520,8142,5395,15259,6732,7840,2997,6348,5484,6995,15864,15561,15550,276,684,2770,214,604,1173,8051,16675,15503,4752,3826,15550,16764,15454,714,450,9227,614,524,344,5429,15410,8012,15673,5389,5581,4293,15784,15669,6714,300,198,148,15786,6473,15763,2182,15502,7222,5867,4725,5784,5845,7824,7746,5236,5701,5614,7736,6734,7137,6978,15628,4796,5246,367,15685,1494,15532,5364,6614,39,1658,2951,1447,751,4814,1203,1356,586,440,1379,259,1303,860,3282,15483,5792,15608,5142,15692,6398,1362,1131,896,357,7252,7055,7482,5500,5607,4186,4228,548,674,9066,8788,185,445,3277,4346,7764,4082,7294,4592,6588,4070,5199,3918,3727,6048,2843,6790,771,5175,5232,1941,7878,4416,6033,6893,3043,5048,6614,1843,2846,790,5666,15859,15281,978,6282,6619,2159,807,1079,7503,7483,7519,3543,1682,152,241,453,15583,608,2931,1150,6636,509,537,3559,5891,5848,2355,4980,15244,7783,7784,6622,6996,928,8467,16835,16930,1433,15813,5403,1823,2715,4508,2486,398,311,228,5629,123,144,464,6303,4819,904,606,508,998,1585,1263,1283,338,2628,450,15654,210,161,1408,329,10662,624,1083,5913,6414,8611,5618,1273,929,927,3906,1031,3523,6368,7803,8077,5904,5499
Ahunui,5621,3875,5457,15732,848,0,6753,6321,6373,16708,16729,206,591,8423,7359,339,320,780,5471,708,16018,6026,825,16599,3666,6145,8443,16064,16404,5566,6288,5162,6469,6880,3816,16434,6716,7271,7159,5700,16483,1502,16488,6366,16382,4760,12835,7307,16643,15956,15345,1705,8869,6180,15488,7337,8581,3801,7153,6297,7742,15357,16033,15976,603,405,3502,663,424,336,8796,16474,15939,5557,4528,16009,16454,15860,161,401,9894,478,325,506,5949,15789,8747,16172,6186,6397,5131,16359,16228,7430,549,653,793,16349,7137,16345,3017,15914,7975,6701,5494,6591,6647,8565,8413,6059,6503,6428,8400,7318,7890,7725,16099,5569,6053,482,16167,2338,15985,6178,7291,826,2433,3742,1946,100,5596,1508,512,262,409,547,1024,466,1466,4068,15910,6625,16089,5946,16215,7170,517,291,1555,503,8016,7804,8243,6290,6410,4904,4952,611,177,9783,9514,738,415,4051,5113,8429,4807,8056,5357,7265,4780,5836,4624,4420,6727,3574,7529,301,5811,5869,1108,8619,5176,6704,7658,3830,5536,7383,2402,3688,62,6495,16430,15538,184,7053,7283,2895,559,386,8253,8227,8267,4130,2464,908,610,447,16030,240,3732,443,7226,343,349,4134,6706,6664,3004,5575,15506,8446,8447,7382,7743,1549,9198,16718,16856,2281,16366,5919,2525,3421,5269,3323,464,554,621,6450,751,751,464,6972,5596,331,275,344,228,739,425,446,514,3466,1013,16147,971,724,2227,521,11349,1264,236,6715,7208,9353,6440,435,192,129,4621,184,4097,7207,8549,8811,6711,6314
Ailinginae,1258,2879,1449,10384,5940,6753,0,491,400,13475,12740,6633,6163,2786,1048,6501,6533,5986,1454,6066,10321,734,5939,13332,3197,608,2851,10291,10231,3483,3663,1741,424,128,2941,10224,480,2941,2661,1135,10255,5342,10233,3472,10162,9197,8103,2912,13345,10333,10598,8455,2612,765,10705,2779,2259,2953,442,456,1537,14174,10214,10326,6154,6612,3362,6096,6533,7035,2415,12962,10262,3220,2591,10237,13396,10302,6643,6360,3925,6340,6445,6262,3257,10347,2448,10244,648,364,2673,10167,10098,1700,6222,6119,5965,10195,2139,10136,4132,10325,1651,2489,1436,209,245,2240,2776,2814,332,327,2790,2962,1577,1522,10272,1346,709,6296,10292,4603,10237,576,2057,5971,4328,3020,5078,6654,1266,5600,7263,6501,6367,7300,5732,7219,5349,2706,10268,2540,10232,826,10202,880,7228,7002,5239,6254,1575,1567,1797,641,401,2220,2148,6424,6578,3490,3186,6018,6381,2746,1775,2807,2262,1627,1575,2058,2356,2349,2499,2716,1899,3297,1497,6560,2364,2349,7861,2284,1764,1984,1283,2939,3508,1044,4651,3520,6703,2623,10244,10625,6907,829,2191,3921,6692,7018,1903,1941,1934,3403,4294,5852,6158,6392,10296,6521,3024,7090,2876,6415,6476,3454,56,119,3995,2742,10581,2831,2839,1165,1545,5268,2869,12741,12646,4575,10243,3289,4314,3499,1676,3867,6336,6204,6163,354,6057,6068,6401,2044,1298,6842,6542,6436,6833,7484,7178,7199,6249,3732,5759,10240,5786,6037,4532,6247,5094,5512,6987,243,615,2932,373,7188,6865,6853,2451,6928,3476,902,2184,2508,134,441
Ailinglaplap,768,2449,959,10646,5519,6321,491,0,351,13698,12978,6208,5730,2865,1200,6059,6091,5560,963,5642,10615,321,5513,13548,2727,274,2925,10592,10572,3081,3334,1253,557,598,2505,10568,804,2772,2491,651,10601,4937,10582,3154,10507,9004,8244,2752,13563,10621,10812,8025,2843,305,10926,2633,2496,2523,834,238,1691,14268,10518,10616,5724,6196,2893,5668,6117,6594,2677,13174,10553,3227,2101,10537,13599,10582,6216,5931,4128,5898,6017,5835,2893,10617,2685,10559,157,309,2575,10508,10432,1704,5796,5694,5537,10533,2003,10479,3804,10609,1860,2694,945,288,327,2477,2855,2901,183,282,2864,2800,1776,1674,10578,856,291,5870,10603,4227,10534,292,1968,5551,3888,2579,4609,6221,779,5132,6827,6072,5940,6868,5304,6785,4900,2256,10556,2730,10540,378,10525,998,6786,6563,4792,5825,1828,1736,2061,210,93,1730,1658,6016,6147,3755,3453,5589,5957,2287,1290,2885,1771,1877,1085,1962,1866,1957,2009,2226,1681,2826,1580,6117,1969,1962,7426,2526,1274,1756,1489,2493,3104,1211,4176,3228,6272,2788,10586,10855,6478,901,2085,3463,6285,6598,2135,2151,2161,2914,3857,5425,5732,5972,10594,6091,2590,6669,2704,5984,6053,2966,465,461,3518,2328,10811,2909,2915,1285,1697,4818,3128,12977,12896,4183,10578,2921,3855,3025,1186,3557,5913,5775,5739,426,5638,5651,5982,1876,808,6423,6117,6010,6391,7046,6745,6766,5821,3429,5319,10553,5358,5610,4111,5820,5380,5070,6552,394,903,3221,441,6755,6439,6423,1961,6492,2988,1337,2433,2749,405,265
Ailuk,995,2504,1183,10774,5554,6373,400,351,0,13857,13126,6249,5783,3101,1381,6126,6158,5602,1196,5682,10717,407,5556,13712,2856,263,3163,10687,10631,3419,3684,1453,212,527,2568,10624,489,3103,2821,857,10654,4951,10633,3505,10562,8825,8454,3080,13726,10728,10976,8072,2988,645,11085,2957,2636,2577,840,133,1878,14509,10611,10721,5772,6224,3018,5714,6145,6658,2799,13340,10657,2933,2320,10634,13773,10695,6260,5978,4295,5966,6063,5879,3240,10739,2825,10642,465,54,2329,10566,10497,1968,5838,5735,5583,10595,2322,10536,3732,10719,2015,2346,1182,332,436,2616,3091,2578,360,103,3102,3129,1936,1862,10669,1094,393,5912,10690,4206,10633,215,2271,5585,3954,2651,4730,6273,993,5250,6883,6119,5983,6919,5350,6838,4981,2344,10663,2384,10629,515,10601,1192,6852,6625,4869,5872,1953,1915,2180,560,325,1970,1897,6033,6197,3877,3573,5636,5997,2393,1480,3122,1995,2005,1310,2268,2101,2300,2233,2442,2019,2955,1805,6185,2311,2306,7480,2662,1489,2096,1642,2574,3441,1383,4313,3122,6322,2446,10644,11007,6524,1116,2395,3562,6301,6632,2276,2307,2306,3157,3919,5469,5775,6006,10693,6139,2649,6703,3035,6033,6091,3212,346,295,3662,2664,10964,3146,3153,1486,1886,4900,3254,13126,13035,4181,10643,3268,3956,3164,1409,3468,5951,5822,5778,96,5670,5681,6014,2203,1041,6454,6157,6053,6457,7105,6797,6818,5866,3333,5384,10638,5404,5654,4148,5864,5487,5138,6607,495,990,3324,102,6807,6481,6470,2176,6548,3232,1053,2564,2887,419,100
Aldabra,14069,15606,14138,3125,17022,16708,13475,13698,13857,0,753,16895,16768,10882,12500,16532,16522,16926,14105,16955,3285,14011,16918,171,15289,13963,10831,3345,3643,12667,11932,14328,13888,13358,15595,3680,13777,11496,11721,14081,3673,17198,3713,11955,3737,17355,5527,11484,140,3246,2886,16113,10870,13654,2773,11532,11222,15657,13038,13855,12007,1569,3431,3262,16846,17107,15378,16876,17104,16460,11061,536,3329,16224,14434,3389,259,3252,16845,16845,9570,16540,16862,16897,12425,3179,11033,3463,13760,13810,16066,3710,3715,12060,16917,16938,16877,3655,12011,3748,17278,3242,11848,14913,14086,13535,13438,11241,10893,15623,13557,13762,10889,11452,11929,12024,3386,14056,13981,16924,3394,17239,3379,13963,11948,17047,16286,15590,15803,16733,14108,15864,16516,16824,16902,16576,16856,16574,16354,15320,3310,15008,3435,14030,3550,12700,16381,16501,16401,16847,11905,11963,11679,13603,13640,14220,14217,17267,16765,9987,10291,16855,16948,15240,14378,10865,14334,11853,14167,11965,14277,13014,14377,14476,12451,15324,12128,16520,13031,12982,16302,11195,14268,12425,12221,15491,12683,12492,15578,16878,16755,15165,3644,2850,16771,12797,11881,15815,17265,16915,11582,11555,11553,14264,16304,16895,16920,17026,3322,16809,15674,16900,11562,16818,16964,14217,13532,13594,15386,13052,2894,10842,10837,12413,12001,16328,10606,750,889,17052,3593,12437,15916,15308,14205,17134,16972,16855,16975,13828,17062,17090,17062,12183,14065,17000,16920,16892,16482,16379,16589,16587,16880,17039,16603,3455,16872,16895,16647,16900,8403,16541,16617,13372,12868,10550,13848,16587,16836,16765,14434,16611,14247,13530,11294,10971,13438,13858
