atoll,Anous_ceruleus,Bulweria_bulwerii,Pterodroma_heraldica,Sula_sula,Anous_stolidus,Thalasseus_bergii,Nesofregetta_fuliginosa,Fregata_ariel,Sula_dactylatra,Gygis_alba,Sternula_saundersi,Pterodroma_neglecta,Phoebastria_immutabilis,Puffinus_bailloni,Phaethon_rubricauda,Phoebastria_nigripes,Sula_leucogaster,Puffinus_nativitatis,Pterodroma_hypoleuca,Sterna_sumatrana,Thalasseus_bengalensis,Sterna_dougallii,Pterodroma_alba,Phaethon_lepturus,Sula_granti,Hydrobates_tristrami,Phoebastria_albatrus,Anous_minutus,Onychoprion_fuscatus,Fregata_minor,Ardenna_pacifica,Sternula_nereis,Onychoprion_lunatus,Anous_tenuirostris,Hydroprogne_caspia,Onychoprion_anaethetus,Pterodroma_ultima
Abaiang,0.7629,0.011875,0.29343125,0.008675,0.832825,0.00240625,0.01148125,0.0104375,0.02680625,0.00555,0.07786875,0.00788125,0.01603125,0.00169375,0.0055125,0.10988125,0.0051875,0.5575625,6.25e-5,0.00148125,0.024175,0.24863125,0.97884375,0.0023875,0.005275,0.03694375,0.00069375,0.861475,0.01690625,0.00053125,0.17390625,0.00366875,0.03100625,0.09989375,0.5662375,0.00653125,7.5e-5
Ailinglaplap,0.85088125,0.0037,0.12941875,0.00255625,0.91418125,0.004675,0.013075,0.00133125,0.003025,0.00375625,0.0016375,0.02106875,0.00894375,0.00034375,0.0031625,0.06044375,0.00215,0.116025,0.00120625,0.000625,0.0237875,0.13144375,0.4896375,0.00195,0.0058375,0.015125,0.0003875,0.90533125,0.0060625,0.0004625,0.1595125,0.00059375,0.00340625,0.04653125,0.38796875,0.005375,0.00281875
Alphonse,0.02074375,0.01318125,0.90121875,0.52518125,0.0292875,0.86585,0.2288875,0.00445625,0.9704875,0.61864375,0.725075,0.0057375,0.01498125,0.02024375,0.07175,0.58373125,0.38811875,0.00683125,0.00631875,0.0050375,0.64494375,0.92180625,0.96671875,0.0003875,0.63996875,0.637575,0.227475,0.0059125,0.00274375,0.3441,0.7096375,0.20305625,0.93786875,0.00575625,0.96821875,0.3692875,0.133425
Amanu,0.96379375,0.25285625,0.00858125,0.00254375,0.00225625,0.83298125,0.002925,0.21436875,0.1767875,0.00139375,0.0075125,0.0153,0.00650625,0.00854375,0.32225,0.00635625,0.17983125,0.021375,0.08444375,0.0455375,0.42616875,0.01323125,0.00571875,0.1428625,0.51456875,0.00265,0.00636875,0.9022,0.1381,0.00294375,0.95458125,0.067525,0.0010375,0.32975,0.00185,0.08039375,0.0951125
Analtin,0.81115625,0.1427125,9.375e-5,0.0363375,0.66744375,0.0028375,0.23939375,0.11154375,0.017025,0.01606875,6.25e-5,0.00016875,3.125e-5,0.0001125,0.1528375,0.2877875,0.01319375,0.00181875,0.00026875,0.07495,0.18686875,0.2280125,0.00056875,0.3567625,0.0002375,0.2155875,0.0002875,0.0499,0.00540625,0.14261875,0.39996875,0.00273125,0.00310625,0.00331875,0.0018875,0.01220625,0.01401875
Ari,0.04536875,0.01691875,0.7413,0.4461625,0.04746875,0.919575,0.295675,0.0066875,0.94044375,0.32508125,0.35335,0.00230625,0.00406875,0.01520625,0.01089375,0.3362,0.18375,0.0047375,0.0044375,0.0058875,0.82059375,0.59824375,0.71249375,0.0004875,0.5622875,0.6151125,0.07096875,0.0143625,0.01745625,0.142175,0.66871875,0.12025,0.82996875,0.01956875,0.893375,0.53205625,0.120225
Awin,0.77731875,0.17054375,0.0001875,0.03931875,0.62615625,0.00248125,0.2078,0.11255625,0.0191875,0.0174125,0.0001,0.0001125,6.875e-5,0.000275,0.1653875,0.3155,0.017525,0.0019375,0.00025625,0.0780375,0.19651875,0.2698125,0.00071875,0.35783125,0.00015,0.21131875,0.0003375,0.0439625,0.0053875,0.1301875,0.3675125,0.00285,0.0049125,0.00234375,0.00204375,0.01158125,0.009475
Baa,0.02909375,0.0124625,0.8221125,0.50004375,0.04085625,0.905375,0.21630625,0.00295,0.949275,0.40324375,0.44724375,0.00249375,0.005125,0.01100625,0.0214,0.41658125,0.22526875,0.00345625,0.0038375,0.00326875,0.7583,0.7757375,0.845125,0.00058125,0.62105,0.62855,0.095475,0.010075,0.004475,0.1862,0.7291625,0.1045875,0.9113375,0.00791875,0.92914375,0.42959375,0.100925
Beru,0.78511875,0.01555625,0.85378125,0.01019375,0.88365625,0.00425,0.01291875,0.0215125,0.01226875,0.01386875,0.11299375,0.03783125,0.19469375,0.0318375,0.04489375,0.3730625,0.025225,0.6664875,0.0006625,0.0207125,0.0251125,0.7140625,0.99391875,0.00236875,0.01125,0.04116875,0.01326875,0.86904375,0.00505,0.00193125,0.21715625,0.04858125,0.037375,0.11715625,0.70005625,0.00306875,0.00074375
Bramble_Haven,0.7603375,0.23804375,0.000775,0.036025,0.57980625,0.002575,0.284175,0.19511875,0.0165375,0.05080625,9.375e-5,0.00036875,0.00043125,0.00128125,0.42179375,0.61385625,0.0619,0.0021625,0.000775,0.25428125,0.20145625,0.62898125,0.00095625,0.267125,0.00025,0.21991875,0.0023125,0.03215,0.00390625,0.25525,0.30535625,0.01536875,0.0048375,0.00223125,0.003075,0.00880625,0.0454875
Budibudi,0.7500625,0.28130625,0.00030625,0.0465,0.5682875,0.00261875,0.21021875,0.1462,0.0228125,0.02951875,7.5e-5,0.0001375,0.00015625,0.00046875,0.28315,0.42615625,0.0413875,0.002425,0.00020625,0.1386,0.26109375,0.4202,0.0007875,0.31996875,0.00020625,0.2021875,0.00078125,0.0364125,0.00489375,0.141175,0.3047,0.00518125,0.0071125,0.00168125,0.0023375,0.01071875,0.00923125
Chetlat,0.0173,0.0430875,0.917125,0.61971875,0.0199625,0.8600875,0.195025,0.00423125,0.97043125,0.70326875,0.55506875,0.005275,0.05091875,0.03895,0.17335625,0.65390625,0.67621875,0.00535625,0.0038125,0.00855,0.81085,0.95215625,0.889225,0.000425,0.61529375,0.5490875,0.438375,0.00425,0.0021625,0.27705,0.558225,0.18701875,0.95720625,0.00235,0.94656875,0.3195375,0.07503125
Dhaalu,0.0266375,0.01743125,0.87715625,0.5324625,0.03555,0.90300625,0.21100625,0.00351875,0.9494875,0.46145625,0.4743875,0.00295,0.00955625,0.02003125,0.03140625,0.48311875,0.31733125,0.0039125,0.0042625,0.0048375,0.783075,0.84491875,0.8505875,0.0006125,0.62038125,0.62776875,0.15748125,0.00836875,0.00363125,0.19895625,0.695525,0.14504375,0.93031875,0.00746875,0.93190625,0.39993125,0.10468125
Eauripik,0.738425,0.01405,0.36534375,0.0069625,0.82186875,0.00314375,0.00959375,0.0009125,0.0029,0.02211875,0.0014125,0.06083125,0.13391875,0.00285625,0.03511875,0.24946875,0.0225875,0.0977,0.00284375,0.00155,0.03839375,0.50529375,0.35620625,0.00200625,0.00555625,0.01083125,0.0100625,0.7879875,0.00163125,0.0008375,0.06921875,0.00131875,0.016575,0.00815,0.41240625,0.00259375,0.00716875
Ebon,0.8036,0.004525,0.212625,0.0029875,0.90265,0.0033875,0.0066875,0.001325,0.00340625,0.00360625,0.0038625,0.01769375,0.0160375,0.00086875,0.00450625,0.08583125,0.00313125,0.164625,0.00085625,0.00059375,0.02165625,0.21613125,0.66941875,0.00245625,0.00585625,0.01489375,0.00075,0.8807625,0.00298125,0.00039375,0.159725,0.0009625,0.00706875,0.029025,0.3729125,0.00360625,0.0014
Elato,0.7378125,0.0043625,0.162125,0.00319375,0.83823125,0.00236875,0.01028125,0.00043125,0.00205,0.0133375,0.0009375,0.0574625,0.03905625,0.00065625,0.0094375,0.1372875,0.00595625,0.0672875,0.003925,0.00043125,0.01951875,0.2830875,0.24074375,0.00175,0.0039125,0.01004375,0.00226875,0.80016875,0.00165,0.00074375,0.07739375,0.00038125,0.0089875,0.008375,0.360425,0.00325625,0.01194375
Faadhippolhu,0.01935625,0.0204875,0.8887625,0.517725,0.02444375,0.86684375,0.18738125,0.0032625,0.94355625,0.493125,0.42710625,0.00361875,0.01731875,0.036375,0.0305875,0.5302375,0.396075,0.00411875,0.00564375,0.0050875,0.776975,0.86314375,0.79114375,0.00045625,0.53426875,0.5984625,0.22326875,0.0065875,0.00405,0.1862625,0.59434375,0.15154375,0.949075,0.00530625,0.9137625,0.37695,0.1207875
Faafu,0.0222,0.01968125,0.88680625,0.560775,0.03181875,0.8905875,0.1863125,0.00283125,0.9541625,0.500775,0.5036375,0.00325625,0.01316875,0.02110625,0.04373125,0.5184875,0.3761,0.00411875,0.00388125,0.0045,0.778275,0.8811625,0.86973125,0.000475,0.61961875,0.6085625,0.19563125,0.0074375,0.00276875,0.20969375,0.6814875,0.13771875,0.94383125,0.0048125,0.93184375,0.36723125,0.08613125
Faraulep,0.8017375,0.00791875,0.27663125,0.00443125,0.8869125,0.00350625,0.0109375,0.0008875,0.002575,0.01470625,0.0018875,0.059525,0.06386875,0.00148125,0.0239375,0.17565,0.0102,0.1034625,0.00311875,0.00114375,0.02806875,0.39300625,0.42726875,0.0024,0.006875,0.010525,0.004025,0.84649375,0.00174375,0.0009125,0.11238125,0.0010375,0.00715625,0.01365625,0.42154375,0.003,0.00786875
Felidhu,0.01850625,0.02611875,0.89156875,0.5557375,0.023525,0.865925,0.17271875,0.00319375,0.95586875,0.52724375,0.47263125,0.00325,0.0199125,0.03171875,0.04835625,0.54194375,0.4589875,0.00429375,0.00348125,0.0051,0.7914875,0.89001875,0.82995,0.0005375,0.561325,0.58188125,0.2515375,0.00580625,0.00334375,0.19349375,0.596675,0.14279375,0.9526875,0.004325,0.9190625,0.36130625,0.078125
Gaafaru,0.01554375,0.02255,0.89804375,0.574525,0.022975,0.84825625,0.15645625,0.00245625,0.9597,0.5628875,0.52245625,0.0038875,0.02569375,0.03023125,0.06444375,0.57555625,0.48305,0.0041875,0.0040625,0.004475,0.75278125,0.91598125,0.8711,0.00056875,0.579525,0.57325,0.29263125,0.00524375,0.0016375,0.228375,0.61566875,0.13385,0.95895,0.00280625,0.9256375,0.3228375,0.07853125
Haddhunmathi,0.0346125,0.01435625,0.8178,0.4930625,0.04436875,0.9145375,0.2287,0.00309375,0.92745,0.3663625,0.35406875,0.0028125,0.0062375,0.017875,0.0151625,0.4055625,0.22099375,0.00319375,0.00500625,0.0043,0.8005375,0.7304625,0.72923125,0.00064375,0.59915625,0.62529375,0.103925,0.01185625,0.00599375,0.15988125,0.703225,0.1169625,0.899725,0.01048125,0.89644375,0.4417,0.1319375
Hikueru,0.92901875,0.35,0.0073375,0.00206875,0.000875,0.7037,0.00130625,0.1625375,0.28445625,0.00124375,0.01161875,0.0088375,0.00874375,0.0069375,0.450075,0.00614375,0.30655625,0.02430625,0.032975,0.0260875,0.3860375,0.01965,0.00761875,0.1429375,0.41875,0.001475,0.007825,0.82275625,0.0858,0.00194375,0.9253375,0.04294375,0.0016375,0.1413,0.0014875,0.06084375,0.02415
Hiti,0.91345625,0.30884375,0.0027375,0.0017125,0.00083125,0.621525,0.00090625,0.13153125,0.37565,0.00115,0.0115,0.00539375,0.00371875,0.00295625,0.2954125,0.00350625,0.2075,0.02493125,0.01606875,0.0099375,0.32519375,0.009875,0.00804375,0.1414625,0.3398125,0.0012875,0.00385,0.79705,0.11168125,0.001475,0.9137,0.0176875,0.0017625,0.1234,0.001475,0.0728,0.010725
Huvadhu,0.20000625,0.01194375,0.43855,0.40260625,0.187575,0.9721625,0.51490625,0.01535,0.8744625,0.18648125,0.2245625,0.00445625,0.00195,0.0134125,0.00259375,0.1747875,0.04274375,0.0059875,0.01089375,0.01260625,0.87733125,0.2199,0.4760875,0.00073125,0.6580625,0.6192875,0.025575,0.0656875,0.0877375,0.14361875,0.79471875,0.1136875,0.49705625,0.1194375,0.7787125,0.71410625,0.2268875
Ifalik,0.75648125,0.01069375,0.214825,0.00515625,0.827325,0.0029,0.0128125,0.000775,0.00303125,0.0206,0.00128125,0.06273125,0.07438125,0.00093125,0.02675625,0.184325,0.01344375,0.09026875,0.00319375,0.0009,0.03151875,0.38420625,0.31175625,0.00199375,0.00539375,0.00973125,0.0049125,0.79438125,0.00231875,0.0008875,0.071375,0.0007625,0.0098,0.00949375,0.4236375,0.0035625,0.0090375
Ihavandhippolu,0.017325,0.02576875,0.92395625,0.5726625,0.023475,0.86181875,0.175175,0.0028625,0.9490875,0.5955875,0.47241875,0.00495,0.032625,0.0458,0.06765625,0.613025,0.52338125,0.00381875,0.0057875,0.00636875,0.77805625,0.92773125,0.83478125,0.00053125,0.57505625,0.5912125,0.34325625,0.00509375,0.0023625,0.23529375,0.588425,0.17845625,0.96124375,0.00315,0.9286375,0.327975,0.12099375
Kalpeni,0.01623125,0.03670625,0.911325,0.6104,0.02116875,0.85721875,0.16575,0.00275625,0.95996875,0.62044375,0.48205,0.0046,0.0410375,0.04100625,0.1043375,0.61461875,0.60719375,0.0040875,0.00355,0.0065375,0.8122,0.93505625,0.8347125,0.00051875,0.5881,0.551125,0.382575,0.00475625,0.0019625,0.2293375,0.56601875,0.154575,0.9601,0.00235,0.9212875,0.31525,0.07200625
Katiu,0.93184375,0.28896875,0.0017125,0.00156875,0.0009625,0.67060625,0.00125625,0.1416375,0.3667125,0.00088125,0.008525,0.0046375,0.00250625,0.00168125,0.23106875,0.0026625,0.1501125,0.02251875,0.01428125,0.00898125,0.35258125,0.00596875,0.00623125,0.14023125,0.35554375,0.00128125,0.00236875,0.83304375,0.152225,0.00118125,0.92438125,0.01416875,0.001075,0.16668125,0.00141875,0.0857,0.0101
Kiltan,0.01564375,0.03775,0.924,0.59961875,0.01918125,0.84554375,0.18173125,0.00369375,0.9685,0.6712125,0.5575875,0.0050875,0.04888125,0.04538125,0.1311625,0.64844375,0.64814375,0.00516875,0.00395625,0.0079625,0.7897375,0.94759375,0.88860625,0.00045625,0.5837625,0.55938125,0.423525,0.00404375,0.00215625,0.26519375,0.54871875,0.1885625,0.96121875,0.0024875,0.94241875,0.31799375,0.07889375
Kolhumadulu,0.031275,0.017025,0.85079375,0.49324375,0.0383625,0.910925,0.24498125,0.00423125,0.93880625,0.4170875,0.40396875,0.00279375,0.0069875,0.0215625,0.0201625,0.44170625,0.263875,0.0040875,0.00533125,0.0056625,0.79538125,0.77408125,0.78450625,0.0005625,0.59536875,0.6308625,0.1271375,0.010525,0.00700625,0.1779875,0.6817625,0.146525,0.905775,0.0108125,0.91695625,0.444475,0.13685
Kuop,0.72045,0.00180625,0.0611,0.00195625,0.82999375,0.001625,0.01065625,0.0001375,0.0014625,0.00909375,0.0005,0.0552125,0.01245625,0.0002125,0.00253125,0.07894375,0.00173125,0.0423,0.00570625,7.5e-5,0.01215625,0.13310625,0.11948125,0.0017625,0.003,0.010275,0.00049375,0.79475625,0.00205,0.0007,0.078375,0.00014375,0.00745625,0.00731875,0.2863625,0.00414375,0.01805
Lamotrek,0.72006875,0.0057375,0.26906875,0.0032125,0.82046875,0.0020625,0.01110625,0.000625,0.00254375,0.01771875,0.001525,0.071175,0.07105625,0.00135625,0.0147125,0.19859375,0.010125,0.08958125,0.0049125,0.0006375,0.01878125,0.3966,0.36375,0.00154375,0.0041375,0.01035,0.00420625,0.782275,0.0021,0.001125,0.0690875,0.00090625,0.01030625,0.00973125,0.44025625,0.00301875,0.01430625
Laualau,0.79805625,0.14180625,0.00011875,0.03465,0.65546875,0.0028875,0.2324125,0.1067,0.01633125,0.01655,4.375e-5,0.00011875,8.125e-5,0.00021875,0.15431875,0.299775,0.01433125,0.00164375,0.00028125,0.073375,0.17965625,0.2436875,0.00055625,0.3576625,0.00020625,0.2132375,0.000225,0.0481375,0.00489375,0.144925,0.39150625,0.0027,0.00350625,0.002475,0.0017375,0.01176875,0.0140625
Lib,0.764625,0.0078375,0.3699875,0.0036125,0.85545625,0.00288125,0.01115,0.0017875,0.0041375,0.01753125,0.0043625,0.0624625,0.0878375,0.00208125,0.02965,0.22489375,0.0134125,0.1710375,0.0032375,0.00186875,0.0207875,0.48478125,0.67799375,0.0017875,0.00588125,0.0117875,0.00545625,0.8139625,0.0025125,0.001225,0.09443125,0.0023375,0.0088375,0.017675,0.55264375,0.00293125,0.0071125
Liot,0.7823375,0.15664375,0.00010625,0.037325,0.63090625,0.002525,0.217125,0.10505,0.01829375,0.0172125,4.375e-5,0.00013125,5.625e-5,0.00025,0.1565,0.3080375,0.01604375,0.00179375,0.00024375,0.07016875,0.1866875,0.25626875,0.000625,0.3539375,0.0002125,0.21009375,0.000325,0.04400625,0.005075,0.1368375,0.3714125,0.00261875,0.0043625,0.00240625,0.00198125,0.0119375,0.01135625
Long_Reef,0.759675,0.27853125,0.00093125,0.03459375,0.552,0.00284375,0.3095,0.2347,0.01794375,0.0538375,8.75e-5,0.00034375,0.0003375,0.00135,0.398625,0.6079875,0.0694125,0.00195,0.000925,0.2881,0.23164375,0.6131,0.00089375,0.23463125,0.000175,0.2255875,0.0023625,0.03185625,0.00595,0.23735625,0.2741,0.017325,0.00536875,0.00231875,0.00326875,0.00949375,0.04656875
Maalhosmadulu,0.031675,0.0141875,0.8284375,0.45968125,0.03884375,0.90544375,0.252025,0.00424375,0.93483125,0.38765,0.384475,0.00311875,0.0062125,0.020225,0.0142375,0.4182,0.226475,0.003925,0.00633125,0.0051875,0.7787875,0.727075,0.761075,0.00051875,0.56334375,0.63001875,0.107,0.01105,0.00863125,0.171025,0.66831875,0.1384625,0.895925,0.012525,0.910775,0.4626375,0.15505
Makemo,0.97499375,0.288925,0.0007,0.00228125,0.0033875,0.85539375,0.00300625,0.27778125,0.37441875,0.00054375,0.0070125,0.0035,0.00054375,0.00078125,0.1038,0.0010625,0.0494625,0.02441875,0.010075,0.015475,0.54148125,0.00145625,0.00598125,0.1556,0.4771125,0.002125,0.0006,0.93348125,0.46683125,0.00099375,0.9584125,0.01179375,0.0006875,0.52914375,0.00151875,0.1810875,0.00845
