atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abaiang,0.826,0.845,0.095,0.061,0.931,0.262,0.232,0.139,0.079,0.029,0.019,0.025,0.431,0.658,0.081,0.102,0.499,0.049,0.074,0.075,0.112,0.027,0.024,0.038,0.038,0.025,0.084,0.039,0.119,0.027,0.096,0.309,0.436,0.024,0.013,0.431,0.374
Ailinglaplap,0.907,0.881,0.032,0.067,0.868,0.286,0.174,0.06,0.042,0.041,0.041,0.043,0.571,0.726,0.086,0.155,0.148,0.052,0.03,0.044,0.042,0.046,0.025,0.072,0.04,0.033,0.04,0.049,0.113,0.054,0.05,0.189,0.554,0.051,0.025,0.469,0.429
Alphonse,0.672,0.061,0.348,0.064,0.538,0.385,0.044,0.222,0.073,0.124,0.181,0.26,0.425,0.526,0.126,0.458,0.201,0.07,0.07,0.113,0.086,0.066,0.129,0.057,0.147,0.094,0.103,0.064,0.058,0.058,0.172,0.315,0.385,0.208,0.176,0.152,0.379
Amanu,0.937,0.828,0.035,0.198,0.888,0.504,0.26,0.023,0.052,0.053,0.059,0.054,0.147,0.285,0.089,0.241,0.228,0.063,0.027,0.055,0.066,0.092,0.04,0.041,0.058,0.1,0.05,0.141,0.086,0.136,0.06,0.34,0.506,0.599,0.186,0.666,0.78
Analtin,0.362,0.146,0.1,0.01,0.488,0.057,0.063,0.131,0.144,0.088,0.028,0.045,0.226,0.207,0.068,0.142,0.184,0.07,0.026,0.093,0.09,0.035,0.018,0.107,0.044,0.039,0.031,0.042,0.029,0.025,0.082,0.405,0.158,0.267,0.138,0.359,0.195
Ari,0.753,0.141,0.348,0.16,0.524,0.416,0.083,0.219,0.072,0.109,0.217,0.306,0.473,0.52,0.331,0.463,0.113,0.054,0.055,0.074,0.106,0.094,0.05,0.139,0.177,0.088,0.098,0.085,0.156,0.06,0.171,0.31,0.41,0.055,0.031,0.217,0.388
Awin,0.446,0.184,0.089,0.005,0.488,0.1,0.043,0.146,0.189,0.079,0.05,0.054,0.279,0.205,0.05,0.182,0.217,0.069,0.064,0.114,0.1,0.033,0.035,0.11,0.054,0.029,0.046,0.037,0.043,0.033,0.089,0.398,0.199,0.231,0.092,0.333,0.233
Baa,0.731,0.092,0.371,0.086,0.515,0.387,0.069,0.234,0.089,0.102,0.229,0.301,0.476,0.536,0.296,0.485,0.118,0.083,0.034,0.079,0.1,0.092,0.054,0.153,0.169,0.094,0.065,0.094,0.094,0.07,0.189,0.313,0.379,0.108,0.075,0.201,0.391
Beru,0.957,0.965,0.157,0.246,0.953,0.63,0.268,0.182,0.14,0.061,0.095,0.089,0.784,0.805,0.062,0.403,0.47,0.1,0.207,0.098,0.159,0.094,0.118,0.118,0.088,0.081,0.215,0.117,0.354,0.169,0.16,0.467,0.737,0.05,0.019,0.508,0.727
Bramble_Haven,0.493,0.489,0.067,0.05,0.472,0.143,0.048,0.111,0.137,0.066,0.045,0.083,0.353,0.234,0.07,0.244,0.207,0.082,0.108,0.115,0.07,0.057,0.072,0.065,0.054,0.032,0.067,0.06,0.15,0.042,0.066,0.345,0.238,0.197,0.113,0.405,0.314
Budibudi,0.427,0.389,0.08,0.031,0.499,0.087,0.062,0.139,0.151,0.072,0.041,0.063,0.279,0.231,0.089,0.171,0.257,0.07,0.12,0.118,0.095,0.034,0.039,0.123,0.047,0.043,0.076,0.038,0.103,0.029,0.098,0.416,0.17,0.101,0.036,0.402,0.234
Chetlat,0.812,0.354,0.342,0.348,0.551,0.616,0.05,0.227,0.095,0.105,0.331,0.449,0.64,0.578,0.145,0.651,0.181,0.062,0.221,0.09,0.079,0.135,0.244,0.112,0.163,0.152,0.195,0.141,0.333,0.129,0.173,0.324,0.541,0.046,0.028,0.168,0.61
