atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abaiang,0.2336,0.3988,0.858,0.39,0.8304,0.3172,0.7724,0.8292,0.658,0.166,0.2036,0.1888,0.1764,0.3352,0.5928,0.2024,0.8032,0.3924,0.5544,0.5972,0.8556,0.2368,0.2072,0.3496,0.2712,0.1868,0.706,0.2356,0.3992,0.3184,0.8372,0.8544,0.2008,0.0108,0.0032,0.4012,0.3144
Ailinglaplap,0.3044,0.3412,0.43,0.3608,0.4168,0.3172,0.5956,0.4452,0.372,0.2988,0.3268,0.3196,0.3052,0.3792,0.696,0.2828,0.4352,0.492,0.364,0.4072,0.4356,0.3212,0.2592,0.5752,0.364,0.318,0.3332,0.3208,0.3596,0.324,0.4236,0.4432,0.3364,0.1344,0.132,0.4908,0.3164
Amanu,0.6848,0.6124,0.572,0.5936,0.5992,0.6592,0.738,0.5904,0.542,0.682,0.5988,0.6108,0.594,0.5012,0.6888,0.572,0.3824,0.722,0.2252,0.5468,0.5756,0.6884,0.4664,0.6268,0.632,0.6064,0.4792,0.6752,0.5996,0.6568,0.5944,0.558,0.6284,0.9548,0.9684,0.6656,0.656
Analtin,0.0352,0.0272,0.1792,0.0324,0.1816,0.0152,0.1756,0.1824,0.176,0.2504,0.02,0.0176,0.0088,0.1248,0.4056,0.0168,0.414,0.1988,0.134,0.1936,0.184,0.038,0.0744,0.23,0.08,0.022,0.0624,0.0356,0.0184,0.0196,0.1832,0.1656,0.0224,0.2852,0.2544,0.242,0.0136
Ari,0.4904,0.5344,0.5816,0.5184,0.5672,0.564,0.6436,0.5596,0.428,0.2388,0.5924,0.5892,0.5672,0.3776,0.6328,0.5432,0.3636,0.4944,0.3672,0.3944,0.5836,0.4936,0.2272,0.6016,0.524,0.5944,0.4676,0.514,0.5144,0.5652,0.5612,0.5888,0.5956,0.0332,0.0164,0.4128,0.5712
Awin,0.0516,0.036,0.2084,0.042,0.2276,0.0272,0.1332,0.2244,0.2348,0.26,0.0424,0.0296,0.0304,0.1772,0.294,0.0368,0.4844,0.1672,0.2988,0.2056,0.21,0.0512,0.1336,0.28,0.114,0.0488,0.0956,0.0468,0.0404,0.0284,0.2128,0.2072,0.0368,0.176,0.1488,0.216,0.0276
Baa,0.3804,0.386,0.5344,0.3584,0.5036,0.406,0.5464,0.5196,0.3744,0.274,0.476,0.4096,0.4152,0.2936,0.5672,0.4028,0.3428,0.4276,0.2572,0.3092,0.5292,0.4048,0.18,0.5832,0.4232,0.4696,0.3564,0.3872,0.3648,0.4068,0.5132,0.5284,0.474,0.0884,0.0568,0.3296,0.3932
Beru,0.6616,0.7848,0.916,0.792,0.9152,0.7616,0.802,0.9188,0.822,0.4004,0.6444,0.6508,0.6524,0.5508,0.5096,0.6992,0.7932,0.4956,0.7876,0.686,0.9184,0.638,0.6252,0.6532,0.6248,0.616,0.8828,0.628,0.8104,0.7752,0.92,0.932,0.6276,0.0612,0.016,0.5112,0.7716
Bramble_Haven,0.1984,0.1628,0.2008,0.1852,0.2008,0.1528,0.1796,0.1792,0.2776,0.33,0.2164,0.1872,0.19,0.422,0.3376,0.1948,0.4924,0.3196,0.5052,0.3788,0.184,0.1976,0.3468,0.1776,0.2404,0.2148,0.2552,0.1828,0.166,0.1648,0.1788,0.1864,0.206,0.2692,0.3468,0.3464,0.1476
Budibudi,0.0688,0.11,0.2584,0.0996,0.252,0.0604,0.2396,0.26,0.2864,0.2112,0.0708,0.0632,0.0524,0.2724,0.4576,0.0676,0.5416,0.2376,0.4664,0.2656,0.2656,0.08,0.1904,0.3528,0.1264,0.0752,0.1688,0.0716,0.092,0.0628,0.2536,0.2756,0.08,0.0468,0.034,0.306,0.062
Chetlat,0.748,0.752,0.5916,0.754,0.5652,0.8076,0.3908,0.5408,0.5932,0.3976,0.8504,0.8828,0.8892,0.654,0.304,0.8896,0.5348,0.4304,0.8548,0.5412,0.5984,0.738,0.7032,0.4988,0.7028,0.8764,0.7552,0.762,0.7716,0.8176,0.5552,0.5904,0.874,0.0348,0.024,0.3692,0.8
Dhaalu,0.4772,0.4544,0.5212,0.4476,0.5152,0.5264,0.524,0.5124,0.3896,0.2748,0.606,0.5576,0.5712,0.344,0.5236,0.5328,0.2956,0.4524,0.324,0.3304,0.5444,0.4768,0.2108,0.5696,0.5096,0.6084,0.408,0.4704,0.4528,0.5376,0.496,0.5572,0.6016,0.0704,0.0508,0.3112,0.5272
