atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abaiang,0.8408,0.905,0.0502,0.0314,0.9814,0.2038,0.2106,0.1432,0.0128,0.0008,0.002,0.0022,0.328,0.642,0.0044,0.0824,0.4674,0.0056,0.0144,0.011,0.0672,0.0034,0.001,0.004,0.001,0.0014,0.0122,0.0054,0.0636,0.0068,0.02,0.5668,0.331,0.0006,0.0,0.391,0.3148
Ailinglaplap,0.9344,0.9228,0.0046,0.025,0.928,0.2394,0.1056,0.0208,0.0026,0.0026,0.0022,0.0018,0.4956,0.7084,0.0072,0.114,0.1116,0.006,0.0046,0.002,0.0102,0.0016,0.0012,0.0064,0.0014,0.0008,0.0032,0.0068,0.068,0.0074,0.002,0.18,0.475,0.02,0.0006,0.4658,0.3514
Alphonse,0.6226,0.0052,0.4174,0.002,0.6454,0.2778,0.0012,0.2336,0.0072,0.0476,0.0792,0.181,0.4078,0.531,0.0588,0.4286,0.1212,0.0024,0.0016,0.0074,0.0068,0.0022,0.0228,0.0042,0.0282,0.0028,0.0064,0.0026,0.0144,0.0026,0.1006,0.296,0.2984,0.0596,0.0118,0.0846,0.3018
Amanu,0.9368,0.8244,0.0022,0.1118,0.8384,0.4832,0.2308,0.0016,0.0016,0.0088,0.0034,0.0032,0.1068,0.193,0.012,0.1692,0.2102,0.0266,0.0038,0.0128,0.0136,0.0226,0.0106,0.014,0.014,0.0212,0.0164,0.0274,0.0402,0.0542,0.0206,0.2312,0.4302,0.6442,0.1044,0.7328,0.7654
Analtin,0.1508,0.1114,0.0088,0.0,0.4804,0.01,0.0016,0.0678,0.039,0.0096,0.0004,0.0044,0.0562,0.0926,0.006,0.0262,0.067,0.0014,0.001,0.005,0.0054,0.0004,0.0002,0.028,0.0012,0.0,0.0008,0.0004,0.007,0.0,0.0062,0.2864,0.0352,0.1368,0.013,0.3184,0.0408
Ari,0.7848,0.0292,0.5392,0.0198,0.7014,0.3764,0.0072,0.2844,0.0082,0.0178,0.1362,0.3082,0.5598,0.5186,0.2316,0.545,0.0554,0.0026,0.0022,0.005,0.0144,0.0054,0.0064,0.0182,0.0428,0.003,0.0088,0.0066,0.0674,0.0042,0.1212,0.414,0.4232,0.0052,0.0008,0.1482,0.4008
Awin,0.217,0.1616,0.013,0.0,0.5408,0.0152,0.0004,0.0878,0.0492,0.0068,0.0006,0.0058,0.0894,0.109,0.003,0.0464,0.0824,0.0016,0.001,0.0064,0.0078,0.0002,0.0008,0.0376,0.0006,0.0,0.0006,0.0014,0.012,0.0004,0.0108,0.3318,0.0498,0.098,0.01,0.259,0.0742
Baa,0.6764,0.0114,0.4726,0.0064,0.6582,0.2698,0.0016,0.2404,0.005,0.022,0.083,0.215,0.4264,0.4448,0.1726,0.4106,0.0564,0.0016,0.001,0.0026,0.0086,0.0026,0.0042,0.0182,0.0278,0.0028,0.0044,0.0036,0.023,0.0018,0.1096,0.3266,0.3286,0.01,0.002,0.1114,0.282
Beru,0.9768,0.9874,0.048,0.1616,0.993,0.6828,0.2152,0.1496,0.0278,0.006,0.0134,0.0146,0.8174,0.8306,0.0038,0.4712,0.4108,0.0126,0.0388,0.0124,0.0884,0.0094,0.0072,0.0162,0.009,0.007,0.0348,0.0244,0.3208,0.06,0.0282,0.6374,0.771,0.0038,0.0,0.4802,0.7852
Bramble_Haven,0.5734,0.5676,0.0082,0.0038,0.5164,0.0778,0.0022,0.0672,0.0522,0.0104,0.0028,0.0396,0.375,0.2486,0.0038,0.2132,0.076,0.0008,0.003,0.0104,0.0054,0.0014,0.0046,0.0154,0.0034,0.0014,0.0072,0.001,0.0818,0.0008,0.0054,0.3566,0.2056,0.159,0.0252,0.377,0.3068
