atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Abaiang,0.7126,0.8844,0.0704,0.0242,0.9916,0.1852,0.2128,0.2178,0.007,0.0002,0.001,0.0012,0.2834,0.5764,0.0014,0.0746,0.4712,0.0038,0.008,0.0048,0.0714,0.0002,0.0,0.0022,0.0004,0.0002,0.0072,0.0026,0.0474,0.0052,0.014,0.7266,0.3144,0.0004,0.0,0.361,0.3052
Ailinglaplap,0.8928,0.8904,0.0032,0.0172,0.9018,0.1812,0.0926,0.0142,0.001,0.001,0.0008,0.0004,0.4216,0.6608,0.0018,0.0826,0.1088,0.0022,0.0024,0.0006,0.0028,0.0006,0.0002,0.0072,0.0008,0.0004,0.001,0.0038,0.0434,0.0038,0.0006,0.1448,0.4318,0.007,0.0002,0.4238,0.3156
Alphonse,0.6182,0.0028,0.4918,0.001,0.7144,0.245,0.0002,0.2934,0.0032,0.0518,0.0666,0.199,0.3868,0.508,0.0206,0.419,0.1178,0.0012,0.0008,0.0042,0.0054,0.0012,0.021,0.0022,0.0288,0.0014,0.002,0.0008,0.0088,0.0006,0.1192,0.3246,0.3216,0.0464,0.0054,0.0652,0.3138
Amanu,0.9446,0.8686,0.0042,0.128,0.837,0.615,0.2852,0.0028,0.0014,0.0032,0.003,0.0022,0.1282,0.2066,0.0112,0.1994,0.179,0.026,0.0008,0.0116,0.0096,0.015,0.0018,0.0074,0.0022,0.016,0.0142,0.0464,0.0334,0.0516,0.0138,0.3326,0.439,0.9004,0.4034,0.8026,0.7932
Analtin,0.051,0.0406,0.0028,0.0,0.3936,0.0048,0.0002,0.0496,0.0148,0.0066,0.0002,0.0026,0.026,0.056,0.0026,0.0144,0.0598,0.0,0.0002,0.002,0.0032,0.0002,0.0002,0.025,0.0004,0.0,0.0004,0.0,0.002,0.0,0.0038,0.1768,0.0212,0.0838,0.0064,0.2618,0.024
Ari,0.8,0.0162,0.5894,0.0116,0.7162,0.3134,0.002,0.3144,0.003,0.0128,0.1012,0.3196,0.5248,0.4698,0.112,0.5126,0.0502,0.0006,0.0004,0.0026,0.0092,0.004,0.0066,0.0104,0.0352,0.0012,0.003,0.0074,0.0506,0.002,0.1154,0.4498,0.4218,0.0012,0.0,0.1124,0.3844
Awin,0.092,0.0664,0.0052,0.0,0.4656,0.005,0.0,0.0652,0.024,0.0064,0.0002,0.0042,0.0504,0.074,0.0008,0.0296,0.0664,0.0008,0.0008,0.0012,0.0036,0.0,0.0002,0.0286,0.0002,0.0,0.001,0.0,0.0048,0.0002,0.0054,0.224,0.034,0.0404,0.0016,0.1986,0.0408
Baa,0.704,0.0054,0.5514,0.002,0.7044,0.205,0.001,0.2842,0.0024,0.0158,0.0632,0.1906,0.3756,0.3758,0.068,0.362,0.0472,0.001,0.0002,0.0018,0.005,0.0012,0.007,0.0086,0.023,0.0012,0.001,0.0032,0.0168,0.0008,0.115,0.3768,0.315,0.0028,0.0,0.0904,0.2666
Beru,0.9762,0.9926,0.0918,0.216,0.9976,0.7192,0.2404,0.3142,0.0202,0.0018,0.0072,0.0128,0.8128,0.8096,0.0004,0.4958,0.3958,0.0076,0.0192,0.0088,0.1256,0.0034,0.0034,0.0072,0.0036,0.002,0.0214,0.0278,0.4074,0.0482,0.0294,0.8414,0.778,0.0026,0.0,0.482,0.8298
Bramble_Haven,0.3718,0.3742,0.0032,0.0018,0.3804,0.0526,0.0008,0.039,0.0348,0.0088,0.0018,0.0404,0.327,0.2182,0.001,0.1882,0.065,0.0004,0.001,0.0022,0.0018,0.0,0.0024,0.0124,0.0014,0.0002,0.0042,0.0002,0.0502,0.0,0.002,0.205,0.2128,0.0762,0.0106,0.2956,0.262
Budibudi,0.1652,0.2296,0.0048,0.0008,0.4726,0.0138,0.0,0.0684,0.0296,0.0024,0.0008,0.0104,0.1122,0.1254,0.0014,0.059,0.0906,0.0002,0.001,0.0016,0.003,0.0,0.0012,0.0408,0.0004,0.0002,0.0036,0.0,0.0226,0.0002,0.004,0.2648,0.0614,0.0078,0.0002,0.2554,0.0834
Chetlat,0.9564,0.0708,0.6078,0.0562,0.7368,0.6728,0.0006,0.3516,0.0062,0.0296,0.3686,0.751,0.889,0.7522,0.027,0.879,0.0892,0.0004,0.0066,0.0046,0.007,0.015,0.0604,0.0074,0.0872,0.0104,0.0154,0.0306,0.2228,0.0054,0.1292,0.4862,0.8036,0.0014,0.0,0.0646,0.7532
Dhaalu,0.7864,0.01,0.5428,0.0066,0.6854,0.2696,0.0016,0.2818,0.0022,0.0144,0.0962,0.2996,0.5058,0.4248,0.0646,0.4866,0.0402,0.0002,0.0008,0.0024,0.0088,0.004,0.0048,0.0118,0.0318,0.0012,0.0026,0.009,0.032,0.0016,0.0982,0.3926,0.4236,0.0036,0.0002,0.0758,0.3604
