species,nbirds,birdlife_min,birdlife_max,HBW,Callaghan,ratio
Anous_stolidus,287617.4848357866,800000,14000000,1000000,,0.03886722768051171
Anous_minutus,298274.39620806696,1300000,,1000000,,0.22944184323697459
Anous_tenuirostris,43233.49763493788,1200000,,1200000,,0.036027914695781565
Anous_ceruleus,6521.8972037612575,,,200000,,0.03260948601880629
Gygis_alba,110369.80598781866,50000,99999,200000,,1.4716072238857414
Onychoprion_fuscatus,1.2739461128336541e7,23000000,,40000000,,0.5538896142755018
Onychoprion_lunatus,74953.01037171265,,,140000,,0.5353786455122332
Onychoprion_anaethetus,461.65203242985496,400000,1000000,1000000,,0.0006595029034712214
Hydroprogne_caspia,95.26790685178456,250000,470000,330000,,0.0002646330745882904
Sterna_dougallii,211.98716790287352,200000,220000,200000,,0.0010094627042993977
Sterna_sumatrana,14578.380069464878,,,,325245,0.044822764591200104
Thalasseus_bergii,92346.30619414359,150000,1100000,2000000,,0.14775408991062974
Thalasseus_bengalensis,2534.0,,,450000,,0.005631111111111111
Phaethon_lepturus,8203.707842051977,400000,,400000,,0.020509269605129943
Phaethon_rubricauda,64960.493863735726,70000,,35000,,0.9280070551962246
Phoebastria_immutabilis,1.113352e6,1600000,,1181000,,0.695845
Phoebastria_nigripes,107486.0,139800,,109000,,0.7688555078683834
Phoebastria_albatrus,28.165702850542463,1734,,1600,,0.01624319656894029
Nesofregetta_fuliginosa,697.4353738815649,250,999,999,,1.1167900302346916
Hydrobates_tristrami,9544.0,20000,,,,0.4772
Pterodroma_neglecta,39.998322525385085,150000,200000,200000,,0.00022856184300220047
Pterodroma_ultima,1103.3655493516396,800000,1000000,1000000,,0.0012259617215018219
Pterodroma_hypoleuca,501750.0,1000000,,,,0.50175
Pterodroma_alba,3170.0,20000,30000,,,0.1268
Bulweria_bulwerii,16126.44509569151,500000,1000000,1000000,,0.021501926794255347
Ardenna_pacifica,454954.60189677007,5200000,,5200000,,0.0874912695955327
Puffinus_nativitatis,15614.25754273905,150000,,,,0.104095050284927
Puffinus_bailloni,5540.0,,,,652058,0.008496176720475786
Fregata_ariel,194848.8045909908,100000,499999,,,0.6494970977984657
Fregata_minor,42845.75923534108,120000,,750000,,0.35704799362784234
Sula_dactylatra,40160.702607827865,,,,2316700,0.0173353056536573
Sula_granti,4239.0,20000,49999,,,0.1211160159430849
Sula_leucogaster,36674.98161251893,200000,,550800,,0.18337490806259465
Sula_sula,142738.70073180753,1400000,,1000000,,0.10195621480843395
