"","longitude","latitude","precip_anom"
"1",1.25,88.75,NA
"2",1.25,86.25,NA
"3",1.25,83.75,NA
"4",1.25,81.25,NA
"5",1.25,78.75,NA
"6",1.25,76.25,NA
"7",1.25,73.75,NA
"8",1.25,71.25,NA
"9",1.25,68.75,NA
"10",1.25,66.25,0.359999991953373
"11",1.25,63.75,0.299999993294477
"12",1.25,61.25,0.139999996870756
"13",1.25,58.75,0.119999997317791
"14",1.25,56.25,0.119999997317791
"15",1.25,53.75,0.139999996870756
"16",1.25,51.25,0.209999995306134
"17",1.25,48.75,0.259999994188547
"18",1.25,46.25,0.339999992400408
"19",1.25,43.75,0.209999995306134
"20",1.25,41.25,0.0699999984353781
"21",1.25,38.75,0.0299999993294477
"22",1.25,36.25,0.0599999986588955
"23",1.25,33.75,0.0699999984353781
"24",1.25,31.25,0.00999999977648258
"25",1.25,28.75,-0.00999999977648258
"26",1.25,26.25,0
"27",1.25,23.75,0.0199999995529652
"28",1.25,21.25,0
"29",1.25,18.75,-0.109999997541308
"30",1.25,16.25,-0.179999995976686
"31",1.25,13.75,-0.189999995753169
"32",1.25,11.25,-0.139999996870756
"33",1.25,8.75,-0.199999995529652
"34",1.25,6.25,-0.159999996423721
"35",1.25,3.75,-0.739999983459711
"36",1.25,1.25,-0.739999983459711
"37",1.25,-1.25,-0.489999989047647
"38",1.25,-3.75,-0.229999994859099
"39",1.25,-6.25,-0.0799999982118607
"40",1.25,-8.75,0
"41",1.25,-11.25,0
"42",1.25,-13.75,0.00999999977648258
"43",1.25,-16.25,0
"44",1.25,-18.75,0
"45",1.25,-21.25,-0.00999999977648258
"46",1.25,-23.75,0
"47",1.25,-26.25,0.0199999995529652
"48",1.25,-28.75,0
"49",1.25,-31.25,0.109999997541308
"50",1.25,-33.75,0.229999994859099
"51",1.25,-36.25,0.389999991282821
"52",1.25,-38.75,0.199999995529652
"53",1.25,-41.25,0.229999994859099
"54",1.25,-43.75,0.119999997317791
"55",1.25,-46.25,0.0999999977648258
"56",1.25,-48.75,0.0199999995529652
"57",1.25,-51.25,0.149999996647239
"58",1.25,-53.75,0
"59",1.25,-56.25,-0.0499999988824129
"60",1.25,-58.75,-0.0899999979883432
"61",1.25,-61.25,-0.00999999977648258
"62",1.25,-63.75,-0.0899999979883432
"63",1.25,-66.25,-0.0899999979883432
"64",1.25,-68.75,-0.0699999984353781
"65",1.25,-71.25,0.0299999993294477
"66",1.25,-73.75,0.00999999977648258
"67",1.25,-76.25,0
"68",1.25,-78.75,0
"69",1.25,-81.25,-0.0299999993294477
"70",1.25,-83.75,0
"71",1.25,-86.25,0.00999999977648258
"72",1.25,-88.75,0.0699999984353781
"73",3.75,88.75,NA
"74",3.75,86.25,NA
"75",3.75,83.75,NA
"76",3.75,81.25,NA
"77",3.75,78.75,NA
"78",3.75,76.25,NA
"79",3.75,73.75,NA
"80",3.75,71.25,NA
"81",3.75,68.75,NA
"82",3.75,66.25,0.299999993294477
"83",3.75,63.75,0.249999994412065
"84",3.75,61.25,0.339999992400408
"85",3.75,58.75,0.109999997541308
"86",3.75,56.25,0.139999996870756
"87",3.75,53.75,0
"88",3.75,51.25,0.199999995529652
"89",3.75,48.75,0.229999994859099
"90",3.75,46.25,0.359999991953373
"91",3.75,43.75,0.299999993294477
"92",3.75,41.25,0.159999996423721
"93",3.75,38.75,0.0999999977648258
"94",3.75,36.25,0.129999997094274
"95",3.75,33.75,0.0499999988824129
"96",3.75,31.25,0
"97",3.75,28.75,0
"98",3.75,26.25,0.0199999995529652
"99",3.75,23.75,0.0299999993294477
"100",3.75,21.25,0.00999999977648258
"101",3.75,18.75,-0.0699999984353781
"102",3.75,16.25,-0.169999996200204
"103",3.75,13.75,-0.189999995753169
"104",3.75,11.25,-0.299999993294477
"105",3.75,8.75,-0.26999999396503
"106",3.75,6.25,-0.279999993741512
"107",3.75,3.75,-1.03999997675419
"108",3.75,1.25,-0.869999980553985
"109",3.75,-1.25,-0.489999989047647
"110",3.75,-3.75,-0.239999994635582
"111",3.75,-6.25,-0.0699999984353781
"112",3.75,-8.75,0
"113",3.75,-11.25,0.00999999977648258
"114",3.75,-13.75,0.0199999995529652
"115",3.75,-16.25,0
"116",3.75,-18.75,0
"117",3.75,-21.25,0
"118",3.75,-23.75,0
"119",3.75,-26.25,0
"120",3.75,-28.75,-0.00999999977648258
"121",3.75,-31.25,0.0499999988824129
"122",3.75,-33.75,0.159999996423721
"123",3.75,-36.25,0.34999999217689
"124",3.75,-38.75,0.169999996200204
"125",3.75,-41.25,0.189999995753169
"126",3.75,-43.75,0.149999996647239
"127",3.75,-46.25,0.0899999979883432
"128",3.75,-48.75,0.0799999982118607
"129",3.75,-51.25,0.149999996647239
"130",3.75,-53.75,0.0599999986588955
"131",3.75,-56.25,-0.0499999988824129
"132",3.75,-58.75,-0.0599999986588955
"133",3.75,-61.25,-0.0299999993294477
"134",3.75,-63.75,-0.109999997541308
"135",3.75,-66.25,-0.0999999977648258
"136",3.75,-68.75,-0.0699999984353781
"137",3.75,-71.25,0.0199999995529652
"138",3.75,-73.75,0.00999999977648258
"139",3.75,-76.25,0
"140",3.75,-78.75,0
"141",3.75,-81.25,-0.0299999993294477
"142",3.75,-83.75,0
"143",3.75,-86.25,0
"144",3.75,-88.75,0
"145",6.25,88.75,NA
"146",6.25,86.25,NA
"147",6.25,83.75,NA
"148",6.25,81.25,NA
"149",6.25,78.75,NA
"150",6.25,76.25,NA
"151",6.25,73.75,NA
"152",6.25,71.25,NA
"153",6.25,68.75,NA
"154",6.25,66.25,0.159999996423721
"155",6.25,63.75,0.229999994859099
"156",6.25,61.25,0.239999994635582
"157",6.25,58.75,0.109999997541308
"158",6.25,56.25,0.119999997317791
"159",6.25,53.75,0.0699999984353781
"160",6.25,51.25,0.169999996200204
"161",6.25,48.75,0.209999995306134
"162",6.25,46.25,0.369999991729856
"163",6.25,43.75,0.189999995753169
"164",6.25,41.25,0.119999997317791
"165",6.25,38.75,0.0299999993294477
"166",6.25,36.25,0.0899999979883432
"167",6.25,33.75,0.0499999988824129
"168",6.25,31.25,-0.0199999995529652
"169",6.25,28.75,-0.00999999977648258
"170",6.25,26.25,0.0199999995529652
"171",6.25,23.75,0.0499999988824129
"172",6.25,21.25,0.0199999995529652
"173",6.25,18.75,-0.0499999988824129
"174",6.25,16.25,-0.109999997541308
"175",6.25,13.75,-0.149999996647239
"176",6.25,11.25,-0.289999993517995
"177",6.25,8.75,-0.229999994859099
"178",6.25,6.25,-0.369999991729856
"179",6.25,3.75,-1.5499999653548
"180",6.25,1.25,-1.38999996893108
"181",6.25,-1.25,-0.479999989271164
"182",6.25,-3.75,-0.239999994635582
"183",6.25,-6.25,-0.0199999995529652
"184",6.25,-8.75,-0.0199999995529652
"185",6.25,-11.25,0
"186",6.25,-13.75,0.0199999995529652
"187",6.25,-16.25,0.00999999977648258
"188",6.25,-18.75,0.00999999977648258
"189",6.25,-21.25,0
"190",6.25,-23.75,0
"191",6.25,-26.25,0.0199999995529652
"192",6.25,-28.75,0
"193",6.25,-31.25,0.0699999984353781
"194",6.25,-33.75,0.169999996200204
"195",6.25,-36.25,0.329999992623925
"196",6.25,-38.75,0.249999994412065
"197",6.25,-41.25,0.259999994188547
"198",6.25,-43.75,0.189999995753169
"199",6.25,-46.25,0.0299999993294477
