"","longitude","latitude","precip_anom","atoll","lat","long"
"1",173.75,1.25,5.46999987773597,"Abaiang",1.8569,172.9472
"2",188.75,-3.75,6.07999986410141,"Abariringa",-2.816761,-171.674099
"3",173.75,1.25,5.46999987773597,"Abemama",0.3927,173.8657
"4",73.75,-1.25,1.02999997697771,"Addu",-0.64009,73.157791
"5",213.75,-13.75,0.959999978542328,"Ahe",-14.4784,-146.3037
"6",218.75,-18.75,0.649999985471368,"Ahunui",-19.6342,-140.4093
"7",166.25,11.25,0.879999980330467,"Ailinginae",11.144382,166.378242
"8",168.75,6.25,-1.47999996691942,"Ailinglaplap",7.394,168.7634
"9",168.75,11.25,0.759999983012676,"Ailuk",10.3410084,169.9418605
"10",46.25,-8.75,1.01999997720122,"Aldabra",-9.416548,46.343366
"11",53.75,-6.25,0.96999997831881,"Alphonse",-7.0206,52.7374
"12",218.75,-18.75,0.649999985471368,"Amanu",-17.8076,-140.7621
"13",213.75,-16.25,0.61999998614192,"Anaa",-17.41667,-145.5
"14",143.75,-1.25,-2.62999994121492,"Analtin",-1.1263,144.3952
"15",158.75,6.25,-1.90999995730817,"Ant",6.7819444,157.9166667
"16",216.25,-21.25,0.359999991953373,"Anuanuraro",-20.436,-143.5355
"17",216.25,-21.25,0.359999991953373,"Anuanurunga",-20.6135,-143.287
"18",213.75,-16.25,0.61999998614192,"Apataki",-15.4527,-146.3248
"19",173.75,1.25,5.46999987773597,"Aranuka",0.1659,173.6088
"20",213.75,-16.25,0.61999998614192,"Aratika",-15.5392,-145.5294
"21",73.75,3.75,0.749999983236194,"Ari",3.83,72.85
"22",171.25,6.25,-1.12999997474253,"Arno",7.081172,171.6562687
"23",213.75,-16.25,0.61999998614192,"Arutua",-15.3217,-146.742
"24",48.75,-11.25,0.949999978765845,"Astove",-10.087218,47.745384
"25",188.75,-8.75,2.47999994456768,"Atafu",-8.5602,-172.4929
"26",171.25,8.75,0.169999996200204,"Aur",8.255,171.0935
"27",143.75,-1.25,-2.62999994121492,"Awin",-1.649,144.0179
"28",73.75,3.75,0.749999983236194,"Baa",4.8529,72.9244
"29",71.25,11.25,-0.859999980777502,"Bangaram",10.9128,72.2279
"30",166.25,-21.25,-1.76999996043742,"Beautemps-Beaupre",-20.3455,166.1691
"31",158.75,-21.25,-1.20999997295439,"Bellona",-21.156,158.9917
"32",176.25,-1.25,6.23999986052513,"Beru",-1.3215,175.9784
"33",171.25,11.25,0.519999988377094,"Bikar",12.25111,170.10303
"34",166.25,11.25,0.879999980330467,"Bikini",11.5391494,165.2716261
"35",188.75,-3.75,6.07999986410141,"Birnie",-3.5847,-171.5169
"36",71.25,11.25,-0.859999980777502,"Bitra_Par",11.5482,72.1636
"37",168.75,13.75,0.499999988824129,"Bokaak",14.6559,168.9733
"38",151.25,-11.25,-2.12999995239079,"Bramble_Haven",-11.2299,152.0092
"39",153.75,-8.75,-3.23999992758036,"Budibudi",-9.2862,153.6736
