atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Abaiang,Micronesia,no,1.8569,172.9472,20,2402,16.6,303,0,0,0,0,24,Nauru,715,3631,5872
Abariringa,Polynesia,yes,-2.816761,-171.674099,3,659,9.2,51,0,0,0,0,194,Samoa,1176,4549,61
Abemama,Micronesia,yes,0.3927,173.8657,5,2053,27.4,200,0,0,0,0,38,Nauru,775,3679,3262
Addu,Indian_Ocean,yes,-0.64009,73.157791,29,2270,15,111,0,0,0,0,48,Sri_Lanka,1073,1075,33694
Ahe,Polynesia,yes,-14.4784,-146.3037,77,1683,12,145,0,0,1,2,25,Tahiti,469,6396,552
Ahunui,Polynesia,yes,-19.6342,-140.4093,17,1561,5.4,19,0,0,0,2,60,Mangareva,939,6718,0
Ailinginae,Micronesia,yes,11.144382,166.378242,25,1651,2.8,112,3,1,2,4,27,Kosrae,738,3560,0
Ailinglaplap,Micronesia,no,7.394,168.7634,56,2950,14.7,777,2,1,3,6,67,Kosrae,674,3530,1729
Ailuk,Micronesia,yes,10.3410084,169.9418605,57,1816,5.4,192,2,2,2,3,89,Kosrae,938,3860,339
Aldabra,Indian_Ocean,yes,-9.416548,46.343366,46,673,155.4,191,2,0,0,3,132,Comores,356,650,0
Alphonse,Indian_Ocean,no,-7.0206,52.7374,1,1350,1.7,8,0,0,0,0,6,Mahe,391,1282,82
Amanu,Polynesia,no,-17.8076,-140.7621,101,1369,15.6,212,0,0,2,2,35,Mangareva,840,6738,192
Anaa,Polynesia,yes,-17.41667,-145.5,70,1584,38,112,0,2,2,3,70,Tahiti,386,6394,494
Analtin,Melanesia,no,-1.1263,144.3952,11,3382,5.6,36,0,0,0,0,8.8,Manus,259,1112,0
Ant,Micronesia,yes,6.7819444,157.9166667,12,4750,2.8,74,1,1,3,6,29,Pohnpei,21,2566,0
Anuanuraro,Polynesia,yes,-20.436,-143.5355,6,1693,2.2,9,0,1,2,3,31,Tahiti,653,6366,0
Anuanurunga,Polynesia,yes,-20.6135,-143.287,5,1693,1.17,3,0,1,1,3,24,Tahiti,686,6377,0
Apataki,Polynesia,yes,-15.4527,-146.3248,88,1683,21,692,0,1,1,3,31,Tahiti,394,6353,350
Aranuka,Micronesia,yes,0.1659,173.6088,4,1627,13.2,39,0,0,0,0,32,Nauru,744,3531,1125
Aratika,Polynesia,yes,-15.5392,-145.5294,69,1650,8.3,155,0,0,1,1,44,Tahiti,460,6400,160
Ari,Indian_Ocean,no,3.83,72.85,105,1966,9.26,2102,1,0,0,0,41,Sri_Lanka,834,679,14155
Arno,Micronesia,yes,7.081172,171.6562687,133,3160,13,378,3,0,0,2,32,Kosrae,968,3776,1794
Arutua,Polynesia,yes,-15.3217,-146.742,65,1683,15,528,0,1,1,4,32,Tahiti,372,6321,680
Astove,Indian_Ocean,yes,-10.087218,47.745384,15,848,7.9,9,3,1,2,4,38,Madagascar,263,778,0
Atafu,Polynesia,yes,-8.5602,-172.4929,52,2825,2.5,16,1,0,0,3,92,Samoa,539,4108,541
Aur,Micronesia,yes,8.255,171.0935,42,2669,15,237,4,1,1,4,27,Kosrae,946,3792,499
Awin,Melanesia,no,-1.649,144.0179,2,3382,0.9,5,0,0,0,0,18,Manus,281,1019,0
Baa,Indian_Ocean,no,4.8529,72.9244,75,1779,7.29,78,0,0,0,0,18,Sri_Lanka,787,561,9578
Bangaram,Indian_Ocean,yes,10.9128,72.2279,6,1555,1.2,23,2,1,1,6,58,Sri_Lanka,854,332,40
Beautemps-Beaupre,Melanesia,yes,-20.3455,166.1691,2,1250,0.5,78,13,6,10,30,37,New_Caledonia,105,1467,0
Bellona,Melanesia,yes,-21.156,158.9917,1,1115,0.2,8132,6,3,5,17,130,New_Caledonia,538,813,0
Beru,Micronesia,no,-1.3215,175.9784,1,1485,19.6,20,0,0,0,0,71,Nauru,1007,3590,2051
Bikar,Micronesia,yes,12.25111,170.10303,6,1143,0.5,43,1,1,2,3,105,Kosrae,1088,3967,0
Bikini,Micronesia,yes,11.5391494,165.2716261,23,1544,6,633,4,0,1,6,110,Kosrae,738,3545,0
Birnie,Polynesia,yes,-3.5847,-171.5169,1,659,0.49,0.03,0,0,0,0,67,Samoa,1093,4536,0
Bitra_Par,Indian_Ocean,yes,11.5482,72.1636,2,1510,0.2,33,1,0,3,5,73,Sri_Lanka,873,324,278
Bokaak,Micronesia,yes,14.6559,168.9733,36,1143,3.2,84,1,1,1,4,288,Kosrae,1215,4055,0
Bramble_Haven,Melanesia,no,-11.2299,152.0092,5,3000,0.8,144,3,1,1,2,43,Sudest,129,833,0
Budibudi,Melanesia,no,-9.2862,153.6736,8,3000,3.2,14,3,0,0,0,177,Muyua,74,1102,300
Butaritari,Micronesia,yes,3.152,172.8311,32,3195,13.49,342,0,0,0,0,129,Nauru,768,3651,3224
Byramgore,Indian_Ocean,yes,11.8942,71.8011,1,1510,0.1,73,1,0,1,5,52,Sri_Lanka,930,340,0
Caroline,Polynesia,yes,-9.9594389,-150.2053785,39,1513,6.99,8,0,0,0,0,566,Bora_Bora,740,6196,0
Cherbaniani,Indian_Ocean,yes,12.3498,71.9068,3,1500,0.1,31,3,1,1,7,50,Sri_Lanka,938,320,0
Chesterfield,Melanesia,yes,-19.2865,158.6077,8,1115,0.61,3761,17,10,16,21,77,New_Caledonia,573,885,0
Chetlat,Indian_Ocean,no,11.6935,72.7078,1,1510,1.2,2,4,2,2,3,56,Sri_Lanka,822,260,2400
Clipperton,Polynesia,yes,10.3036471,-109.2163215,1,5020,6,7,4,1,2,9,4223,Galapagos,2273,1089,0
Cocos,Indian_Ocean,yes,-12.141876,96.8677068,25,1994,14.2,104,10,1,3,6,2724,Christmas,963,2087,593
Conflict,Melanesia,yes,-10.7804,151.798,21,3000,4.6,168,2,0,1,1,41,Misima,81,836,30
Cosmoledo,Indian_Ocean,yes,-9.71667,47.58333,23,848,5.13,106,3,1,2,4,38,Madagascar,304,773,0
Dhaalu,Indian_Ocean,no,2.8372,72.934,56,1768,2.6,657,0,0,0,0,22,Sri_Lanka,872,760,4967
Diego_Garcia,Indian_Ocean,yes,-7.3383584,72.4718155,60,2599,30,131,0,0,0,1,134,Sri_Lanka,1713,1788,4239
Ducie,Polynesia,yes,-24.67406,-124.77733,4,1801,0.69,2,0,0,0,0,609,Pitcairn,356,7925,0
Eauripik,Micronesia,no,6.6899,143.0416,3,3062,0.2,8,7,4,9,15,111,Chuuk,942,1927,113
Ebon,Micronesia,no,4.634,168.7192,22,3143,5.8,112,1,0,0,2,124,Kosrae,634,3353,706
Egmont,Indian_Ocean,yes,-6.6586,71.3523,6,3998,4,22,2,0,0,0,129,Sri_Lanka,1711,1757,0
Egum,Melanesia,yes,-9.41,151.94,6,3000,7.32,492,0,0,0,0,149,Muyua,70,939,0
Elato,Micronesia,no,7.4406,146.1477,3,3328,0.5,6,7,2,8,17,11,Kosrae,586,2049,96
Enderbury,Polynesia,yes,-3.1263,-171.0865,1,659,6.38,0.56,0,0,0,0,65,Samoa,1147,4641,0
Eniwetok,Micronesia,yes,11.4205556,162.3405556,40,1523,5.85,949,5,3,3,9,232,Pohnpei,656,3295,296
Erikub,Micronesia,yes,9.142,170.0205,14,1499,1.5,275,4,0,2,2,23,Kosrae,878,3748,0
