atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Ant,Carolines,yes,6.7819444,157.9166667,12,4750,2.8,74,1,1,3,6,29,Pohnpei,21,2566,0
Abaiang,Gilberts,no,1.8569000,172.9472000,20,2402,16.6,303,0,0,0,0,24,Nauru,715,3631,5872
Abariringa,Central_Pacific,yes,-2.8167610,-171.6740990,3,659,9.2,51,0,0,0,0,194,Samoa,1176,4549,61
Abemama,Gilberts,yes,0.3927000,173.8657000,5,2053,27.4,200,0,0,0,0,38,Nauru,775,3679,3262
Addu,Maldives,yes,-0.6400900,73.1577910,29,2270,15,111,0,0,0,0,48,Sri_Lanka,1073,1075,33694
Ahe,Eastern_Polynesia,yes,-14.4784000,-146.3037000,77,1683,12,145,0,0,1,2,25,Tahiti,469,6396,552
Ahunui,Eastern_Polynesia,yes,-19.6342000,-140.4093,17,1561,5.4,19,0,0,0,2,60,Mangareva,939,6718,0
Ailinginae,Marshalls,yes,11.1443820,166.3782420,25,1651,2.8,112,3,1,2,4,27,Kosrae,738,3560,0
Ailinglaplap,Marshalls,no,7.3940000,168.7634000,56,2950,14.7,777,2,1,3,6,67,Kosrae,674,3530,1729
Ailuk,Marshalls,yes,10.3410084,169.9418605,57,1816,5.4,192,2,2,2,3,89,Kosrae,938,3860,339
Aldabra,Western_Indian_Ocean,yes,-9.4165480,46.3433660,46,673,155.4,191,2,0,0,3,132,Comores,356,650,0
Alphonse,Western_Indian_Ocean,no,-7.0206000,52.7374000,1,1350,1.7,8,0,0,0,0,6,Mahe,391,1282,82
Amanu,Eastern_Polynesia,no,-17.8076000,-140.7621,101,1369,15.6,212,0,0,2,2,35,Mangareva,840,6738,192
Anaa,Eastern_Polynesia,yes,-17.4166700,-145.5000000,70,1584,38,112,0,2,2,3,70,Tahiti,386,6394,494
Analtin,East_Papua,no,-1.1263000,144.3952000,11,3382,5.6,36,0,0,0,0,8.8,Manus,259,1112,0
Anuanuraro,Eastern_Polynesia,yes,-20.4360000,-143.5355,6,1693,2.2,9,0,1,2,3,31,Tahiti,653,6366,0
Anuanurunga,Eastern_Polynesia,yes,-20.6135000,-143.287,5,1693,1.17,3,0,1,1,3,24,Tahiti,686,6377,0
Apataki,Eastern_Polynesia,yes,-15.4527000,-146.3248000,88,1683,21,692,0,1,1,3,31,Tahiti,394,6353,350
Aranuka,Gilberts,yes,0.1659000,173.6088000,4,1627,13.2,39,0,0,0,0,32,Nauru,744,3531,1125
Aratika,Eastern_Polynesia,yes,-15.5392000,-145.5294000,69,1650,8.3,155,0,0,1,1,44,Tahiti,460,6400,160
Ari,Maldives,no,3.8300000,72.8500000,105,1966,9.26,2102,1,0,0,0,41,Sri_Lanka,834,679,14155
Arno,Marshalls,yes,7.0811720,171.6562687,133,3160,13,378,3,0,0,2,32,Kosrae,968,3776,1794
Arutua,Eastern_Polynesia,yes,-15.3217000,-146.7420000,65,1683,15,528,0,1,1,4,32,Tahiti,372,6321,680
Astove,Western_Indian_Ocean,yes,-10.0872180,47.7453840,15,848,7.9,9,3,1,2,4,38,Madagascar,263,778,0
Atafu,Central_Pacific,yes,-8.5602000,-172.4929000,52,2825,2.5,16,1,0,0,3,92,Samoa,539,4108,541
Aur,Marshalls,yes,8.2550000,171.0935000,42,2669,15,237,4,1,1,4,27,Kosrae,946,3792,499
Awin,East_Papua,no,-1.6490000,144.0179000,2,3382,0.9,5,0,0,0,0,18,Manus,281,1019,0
Baa,Maldives,no,4.8529000,72.9244000,75,1779,7.29,78,0,0,0,0,18,Sri_Lanka,787,561,9578
Bangaram,Lakshadweep,yes,10.9128000,72.2279000,6,1555,1.2,23,2,1,1,6,58,Sri_Lanka,854,332,40
Beautemps-Beaupre,Coral_Sea,yes,-20.3455000,166.1691000,2,1250,0.5,78,13,6,10,30,37,New_Caledonia,105,1467,0
Bellona,Coral_Sea,yes,-21.1560000,158.9917000,1,1115,0.2,8132,6,3,5,17,130,New_Caledonia,538,813,0
Beru,Gilberts,no,-1.3215000,175.9784000,1,1485,19.6,20,0,0,0,0,71,Nauru,1007,3590,2051
Bikar,Marshalls,yes,12.2511100,170.1030300,6,1143,0.5,43,1,1,2,3,105,Kosrae,1088,3967,0
Bikini,Marshalls,yes,11.5391494,165.2716261,23,1544,6,633,4,0,1,6,110,Kosrae,738,3545,0
Birnie,Central_Pacific,yes,-3.5847000,-171.5169000,1,659,0.49,0.03,0,0,0,0,67,Samoa,1093,4536,0
Bitra_Par,Lakshadweep,yes,11.5482000,72.1636000,2,1510,0.2,33,1,0,3,5,73,Sri_Lanka,873,324,278
Bokaak,Marshalls,yes,14.6559000,168.9733000,36,1143,3.2,84,1,1,1,4,288,Kosrae,1215,4055,0
Bramble_Haven,East_Papua,no,-11.2299000,152.0092000,5,3000,0.8,144,3,1,1,2,43,Sudest,129,833,0
Budibudi,East_Papua,no,-9.2862000,153.6736000,8,3000,3.2,14,3,0,0,0,177,Muyua,74,1102,
Butaritari,Gilberts,yes,3.1520000,172.8311000,32,3195,13.49,342,0,0,0,0,129,Nauru,768,3651,3224
Byramgore,Lakshadweep,yes,11.8942000,71.8011000,1,1510,0.1,73,1,0,1,5,52,Sri_Lanka,930,340,0
Caroline,Central_Pacific,yes,-9.9594389,-150.2053785,39,1513,6.99,8,0,0,0,0,566,Bora_Bora,740,6196,0
Cherbaniani,Lakshadweep,yes,12.3498000,71.9068000,3,1500,0.1,31,3,1,1,7,50,Sri_Lanka,938,320,0
Chesterfield,Coral_Sea,yes,-19.2865000,158.6077000,8,1115,0.61,3761,17,10,16,21,77,New_Caledonia,573,885,0
Chetlat,Lakshadweep,no,11.6935000,72.7078000,1,1510,1.2,2,4,2,2,3,56,Sri_Lanka,822,260,2400
Clipperton,East_Pacific,yes,10.3036471,-109.2163215,1,5020,6,7,4,1,2,9,4223,Galapagos,2273,1089,0
Cocos,Eastern_Indian_Ocean,yes,-12.1418760,96.8677068,25,1994,14.2,104,10,1,3,6,2724,Christmas,963,2087,593
Conflict,East_Papua,yes,-10.7804000,151.7980000,21,3000,4.6,168,2,0,1,1,41,Misima,81,836,30
Cosmoledo,Western_Indian_Ocean,yes,-9.7166700,47.5833300,23,848,5.13,106,3,1,2,4,38,Madagascar,304,773,0
Dhaalu,Maldives,no,2.8372000,72.9340000,56,1768,2.6,657,0,0,0,0,22,Sri_Lanka,872,760,4967
Diego_Garcia,Western_Indian_Ocean,yes,-7.3383584,72.4718155,60,2599,30,131,0,0,0,1,134,Sri_Lanka,1713,1788,4239
Ducie,Eastern_Polynesia,yes,-24.6740600,-124.7773300,4,1801,0.69,2,0,0,0,0,609,Pitcairn,356,7925,0
Eauripik,Carolines,no,6.6899000,143.0416000,3,3062,0.2,8,7,4,9,15,111,Chuuk,942,1927,113
Ebon,Marshalls,no,4.6340000,168.7192000,22,3143,5.8,112,1,0,0,2,124,Kosrae,634,3353,706
Egmont,Western_Indian_Ocean,yes,-6.6586000,71.3523000,6,3998,4,22,2,0,0,0,129,Sri_Lanka,1711,1757,0
Egum,East_Papua,yes,-9.4100000,151.9400000,6,3000,7.32,492,0,0,0,0,149,Muyua,70,939,0
Elato,Carolines,no,7.4406000,146.1477000,3,3328,0.5,6,7,2,8,17,11,Kosrae,586,2049,96
Enderbury,Central_Pacific,yes,-3.1263000,-171.0865000,1,659,6.38,0.56,0,0,0,0,65,Samoa,1147,4641,0
Eniwetok,Marshalls,yes,11.4205556,162.3405556,40,1523,5.85,949,5,3,3,9,232,Pohnpei,656,3295,296
Erikub,Marshalls,yes,9.1420000,170.0205000,14,1499,1.5,275,4,0,2,2,23,Kosrae,878,3748,0
Etal,Carolines,yes,5.5680556,153.5861111,17,3400,1.36,17,2,0,1,4,10,Chuuk,263,2186,0
Europa,Western_Indian_Ocean,yes,-22.3698000,40.3699000,1,137,28,5,17,3,8,22,119,Madagascar,298,495,0
Faadhippolhu,Maldives,no,5.3905000,73.5200000,52,1779,3.4,622,1,0,0,0,37,Sri_Lanka,740,506,9190
Faafu,Maldives,no,3.1951000,72.9295000,23,1966,2,536,0,0,0,0,21,Sri_Lanka,858,728,3765
Faaite,Eastern_Polynesia,yes,-16.7506000,-145.2421000,32,1560,8.9,246,1,0,0,3,28,Tahiti,427,6359,246
Fakahina,Eastern_Polynesia,yes,-15.9851000,-140.1331000,2,1305,11.6,20,0,0,0,2,77,Mangareva,954,6882,155
Fakaofo,Central_Pacific,yes,-9.3736000,-171.2162000,49,2951,3,52,1,0,2,2,64,Samoa,464,4177,483
Fakarava,Eastern_Polynesia,yes,-16.2928000,-145.6084000,104,1656,24.1,1118,1,0,0,3,43,Tahiti,407,6331,837
Fangatau,Eastern_Polynesia,yes,-15.8262000,-140.8618000,16,1305,9.4,9,1,0,0,1,77,Tahiti,906,6820,135
Fangataufa,Eastern_Polynesia,yes,-22.2356000,-138.7401,29,1613,5,39,2,0,1,2,39,Mangareva,395,6748,0
Faraulep,Carolines,no,8.5910000,144.5096000,3,3062,0.4,3,5,3,9,21,148,Chuuk,783,2139,221
Farquhar,Western_Indian_Ocean,yes,-10.1825534,51.1651140,11,1350,8.36,115,6,2,3,6,365,Madagascar,277,1150,0
Felidhu,Maldives,no,3.4608000,73.4660000,19,1966,0.7,974,1,0,0,0,31,Sri_Lanka,790,658,1606
French_Frigate_Shoals,Hawaii,yes,23.7551000,-166.2096000,12,939,0.25,511,2,1,2,6,607,Kauai,679,5389,0
Funafuti,Tuvalu,yes,-8.5155000,179.1130000,33,3391,2.4,223,2,0,1,4,93,Wallis,701,3404,6320
Gaafaru,Maldives,no,4.7477000,73.4346000,2,1966,0.24,73,1,0,0,0,7,Sri_Lanka,747,563,1503
Glorioso,Western_Indian_Ocean,yes,-11.5468000,47.3258000,10,1012,5,25,4,2,3,9,198,Madagascar,197,734,0
Haddhunmathi,Maldives,no,1.9212000,73.4046000,82,2221,10.7,760,0,0,0,0,39,Sri_Lanka,873,803,14313
Hao,Eastern_Polynesia,yes,-18.2471000,-140.8738,142,1369,35,514,0,0,1,2,33,Mangareva,819,6707,1027
Haraiki,Eastern_Polynesia,yes,-17.4651000,-143.4489000,4,1560,4,13,1,0,0,0,46,Tahiti,601,6512,0
Helen,Carolines,yes,2.8932000,131.7843000,1,2915,0.02,113,0,0,0,1,208,Morotai,346,1582,0
Hereheretui,Eastern_Polynesia,yes,-19.8698000,-144.959,13,1633,4,29,1,1,2,3,158,Tahiti,492,6242,56
Hikueru,Eastern_Polynesia,no,-17.5884000,-142.6158,15,1464,8,88,0,0,0,0,51,Tahiti,689,6568,179
Hiti,Eastern_Polynesia,no,-16.7277000,-144.0955000,11,1557,3,17,0,0,0,0,10,Tahiti,546,6460,0
Huon,Coral_Sea,yes,-18.1031000,162.8905000,1,1250,0.26,293,21,9,18,41,21,New_Caledonia,247,1354,0
Huvadhu,Maldives,no,0.4824000,73.2750000,255,2246,38.5,2994,0,0,0,0,87,Sri_Lanka,973,951,19275
Ifalik,Carolines,no,7.2508000,144.4462000,4,3195,1.47,3,9,4,7,15,59,Chuuk,785,1995,561
Ihavandhippolu,Maldives,no,7.0279000,72.9124000,25,1779,5.79,235,2,0,1,1,22,Sri_Lanka,760,451,3081
Jaluit,Marshalls,yes,6.1610085,169.4736579,91,3091,11.34,805,3,3,4,4,163,Kosrae,722,3498,1788
Jemo,Marshalls,yes,10.0793600,169.5249000,1,1778,0.16,0,2,1,1,3,39,Kosrae,889,3768,0
Johnston,Central_Pacific,yes,16.7289120,-169.5338365,4,703,2.67,184,1,4,6,7,860,Kauai,1179,6163,0
Kademat,Lakshadweep,yes,11.2206000,72.7685000,1,1510,3.55,9,4,1,3,4,34,Sri_Lanka,826,277,5389
Kalpeni,Lakshadweep,no,10.1026000,73.6394000,7,1614,2.99,19,4,0,1,7,142,Sri_Lanka,694,261,4526
Kapingamarangi,Carolines,yes,1.0673232,154.7624414,33,3193,1.1,60,0,0,0,0,305,New_Ireland,561,1873,500
Katiu,Eastern_Polynesia,no,-16.4236000,-144.3601000,32,1590,10,240,0,0,0,1,25,Tahiti,526,6454,250
Kauehi,Eastern_Polynesia,yes,-15.8772000,-145.1562000,56,1620,16,313,0,0,0,2,31,Tahiti,472,6395,257
Kaukura,Eastern_Polynesia,yes,-15.7563000,-146.6987000,51,1701,13.5,448,0,1,1,4,35,Tahiti,344,6251,475
Kavaratti,Lakshadweep,yes,10.5590500,72.6365688,1,1600,3.93,4,1,1,1,6,61,Sri_Lanka,821,356,11473
Kilinailau,East_Papua,yes,-4.7600000,155.3899000,7,3000,0.6,258,0,0,0,0,169,Bougainville,85,1554,2600
Kiltan,Lakshadweep,no,11.4803000,73.0017000,1,1510,1.78,1,2,2,2,3,34,Sri_Lanka,804,241,4041
Kiritimati,Central_Pacific,yes,1.8720000,-157.3842085,6,816,388,380,0,0,0,0,295,Hawaii,1885,6126,7380
Kolhumadulu,Maldives,no,2.3764000,73.1045000,66,1966,0.71,1562,0,0,0,0,35,Sri_Lanka,878,784,8493
Kuop,Carolines,no,7.0496000,151.9280000,2,3594,0.5,87,5,1,4,11,85,Chuuk,25,2219,0
Kure,Hawaii,yes,28.4192965,-178.3299095,2,1101,0.86,47,0,1,1,2,90,Kauai,1992,4180,0
Kuria,Gilberts,yes,0.2322690,173.4130160,2,1446,15.47,0,0,0,0,0,38,Nauru,730,3522,1046
Kwajalein,Marshalls,yes,9.3825055,167.0714106,97,2508,16,2222,4,5,6,9,85,Kosrae,650,3539,1000
Lae,Marshalls,yes,8.9367249,166.2321317,20,2286,1.5,18,5,2,4,8,51,Kosrae,528,3399,347
Lamotrek,Carolines,no,7.4921000,146.3187000,3,2641,0.98,35,8,2,7,17,16,Chuuk,578,2057,373
Laualau,East_Papua,no,-1.1265910,144.4933870,6,3382,3.02,7,0,0,0,0,8,Manus,250,1075,0
Laysan,Hawaii,yes,25.7677650,-171.7328000,1,860,4.11,0.7,2,0,1,1,460,Kauai,1278,4858,0
Lib,Marshalls,no,8.3132000,167.3805000,1,2581,0.93,0.1,9,2,4,5,66,Kosrae,581,3463,155
Likiep,Marshalls,yes,9.9230228,169.0972652,65,1778,10.26,417,1,1,1,4,85,Kosrae,847,3717,401
Liot,East_Papua,no,-1.4103000,144.5115000,1,3382,1.27,1,0,0,0,0,21,Manus,236,1049,
