species,filtercondition,nestingtype,group,bodymass,days_at_colony,time_at_colony,prod_per_pair,fledgling_mass
Anous_stolidus,none,vegetation,tern,177.8,122,0.6,0.5,150
Anous_minutus,"Melanesia, Micronesia, Polynesia",vegetation,tern,112.4,122,0.6,0.5,100
Anous_tenuirostris,Indian_Ocean,vegetation,tern,112,122,0.6,0.56,90
Anous_ceruleus,"Melanesia, Micronesia, Polynesia",ground,tern,53,122,0.6,0.5,40
Gygis_alba,none,vegetation,tern,117,122,0.6,0.56,100
Onychoprion_fuscatus,none,ground,tern,185.7,122,0.6,0.5,170
Onychoprion_lunatus,"Melanesia, Micronesia, Polynesia",ground,tern,120,91,0.6,0.5,120
Onychoprion_anaethetus,"Indian_Ocean, Melanesia",ground,tern,119.4,122,0.6,0.81,113
Sternula_nereis,EXCLUDE,ground,tern,72.3,122,0.6,0.2,50
Sternula_saundersi,EXCLUDE,ground,tern,42.5,122,0.6,0.85,40
Hydroprogne_caspia,EXCLUDE,ground,tern,655,122,0.6,0.8,520
Sterna_dougallii,"Indian_Ocean, Melanesia",ground,tern,112,91,0.6,1.49,100
Sterna_sumatrana,"Indian_Ocean, Melanesia, Micronesia",ground,tern,106,122,0.6,0.2,90
Thalasseus_bergii,none,ground,tern,328,122,0.6,0.35,310
Thalasseus_bengalensis,Indian_Ocean,ground,tern,209,122,0.6,0.8,190
Phaethon_lepturus,none,ground,tropicbird,328,243,0.6,0.43,320
Phaethon_rubricauda,none,ground,tropicbird,671.9,183,0.6,0.48,680
Phoebastria_immutabilis,EXCLUDE,ground,albatros,3145.9,274,0.6,0.48,2310
Phoebastria_nigripes,EXCLUDE,ground,albatros,3188.4,274,0.6,0.5,2310
Phoebastria_albatrus,EXCLUDE,ground,albatros,4411,243,0.6,0.51,3710
Nesofregetta_fuliginosa,EXCLUDE,burrow,tubenose,70,160,0.1,0.5,60
Hydrobates_tristrami,EXCLUDE,burrow,tubenose,89.1,122,0.1,0.45,50
Pterodroma_neglecta,EXCLUDE,ground,tubenose,501,122,0.6,0.1,500
Pterodroma_heraldica,EXCLUDE,ground,tubenose,394,90,0.3,0.3,420
Pterodroma_ultima,EXCLUDE,ground,tubenose,360,122,0.6,0.15,450
Pterodroma_hypoleuca,EXCLUDE,burrow,tubenose,176,122,0.3,0.25,180
Pterodroma_alba,EXCLUDE,ground,tubenose,259,122,0.3,0.5,140
Bulweria_bulwerii,EXCLUDE,ground,tubenose,99,150,0.6,0.44,90
Ardenna_pacifica,none,burrow,tubenose,388,122,0.1,0.45,450
Puffinus_nativitatis,"Polynesia, Micronesia",burrow,tubenose,356,122,0.6,0.45,340
Puffinus_bailloni,none,burrow,tubenose,214,122,0.1,0.59,160
Fregata_ariel,none,ground,frigatebird,804.3,213,0.6,0.2,800
Fregata_minor,none,vegetation,frigatebird,1274.7,213,0.6,0.35,1270
Sula_dactylatra,none,ground,booby,1732.1,274,0.6,0.51,2230
Sula_granti,EXCLUDE,ground,booby,1732.1,200,0.6,0.5,1100
Sula_leucogaster,none,ground,booby,1288.8,243,0.6,0.8,1250
Sula_sula,none,vegetation,booby,1031.1,243,0.6,0.4,920
