atoll,species,mean,lower,upper
Abemama,Anous_stolidus,3154.2307192797875,55.004808411386975,12794.420079131327
Addu,Anous_stolidus,3717.238546589146,58.93348092898126,14218.979449309758
Ahe,Anous_stolidus,1822.3699867710945,35.32834634090278,7347.270710465784
Ailuk,Anous_stolidus,4874.1713568928035,89.88340697251688,18951.362250158956
Anaa,Anous_stolidus,3706.76181552534,67.82132997121558,13954.718791753841
Ant,Anous_stolidus,153.79966213298044,1.4882381879222277,564.558458704663
Anuanuraro,Anous_stolidus,1862.7834958337328,39.39277583972207,7545.209289402364
Anuanurunga,Anous_stolidus,1643.995372151323,33.36459329829789,6069.231259812828
Apataki,Anous_stolidus,2518.762819205123,43.26593078338177,9636.626766116948
Aratika,Anous_stolidus,1824.4714996822481,39.93676684146978,7265.25630482565
Arno,Anous_stolidus,1902.6744682332017,31.122930196402557,7467.207297002589
Arutua,Anous_stolidus,2347.791237217295,41.144190665167315,8806.824205892768
Aur,Anous_stolidus,2547.667773797283,47.90927064682518,9336.670101097288
Butaritari,Anous_stolidus,3416.458867559693,51.981351141839326,13119.030551217877
Etal,Anous_stolidus,312.1587273072982,4.243736521694165,1103.1210427125382
Fakahina,Anous_stolidus,3594.708389551153,70.49169789183219,14113.37695237019
Fakaofo,Anous_stolidus,1701.2232625914125,32.838370075231126,6471.956133311763
Hao,Anous_stolidus,4292.462586546194,67.70517677837688,16769.861387447105
Hereheretui,Anous_stolidus,4164.405689743702,87.94433422452936,16735.745768112658
Kapingamarangi,Anous_stolidus,1499.224011741406,24.2742660403109,5745.083126182689
Kauehi,Anous_stolidus,2071.7343342740814,40.8428891108275,8100.87435036117
Kaukura,Anous_stolidus,2051.082585765688,44.37702870309583,8182.303202928328
Lae,Anous_stolidus,1883.0423479255348,39.4863768695015,7582.805035640056
Likiep,Anous_stolidus,4387.722955678641,81.35668977488037,16536.724976865138
Losap,Anous_stolidus,521.9198205229786,8.621680578818367,2028.8091673061813
Lukunor,Anous_stolidus,370.7514776122941,5.508545036126182,1447.3851889352925
Maiana,Anous_stolidus,3148.248190909225,45.397573526269845,11670.264692537845
Majuro,Anous_stolidus,1769.1635000345962,29.004020133503207,6895.590810054524
Manihi,Anous_stolidus,2449.09522067485,45.49594213534273,9574.856817196573
Manihiki,Anous_stolidus,2238.086619291304,36.86821738777892,8437.46472357357
Marakei,Anous_stolidus,2706.629194151499,39.98899392804198,9808.60039168208
Maria_Est,Anous_stolidus,1298.6049626728748,24.35833123973534,5200.306408996351
Marutea_Sud,Anous_stolidus,3274.4004149472194,62.9999234056898,13102.619128700933
Mataiva,Anous_stolidus,2089.6572067243683,38.162982839637316,7601.192675547861
Matureivavao,Anous_stolidus,1106.5732611674403,20.28465786187492,4222.651617038266
Mili,Anous_stolidus,2194.9627504634027,39.0747613053734,8385.937724688276
Mokil,Anous_stolidus,812.5467357521959,14.025782441023393,3160.8229785036847
Moruroa,Anous_stolidus,3317.885858716496,64.71434837706738,12846.923460934791
Motu_One,Anous_stolidus,1627.321712482404,34.78622637764048,6059.828314296303
Namoluk,Anous_stolidus,662.6432683369987,11.004943566664945,2610.445849268607
Namu,Anous_stolidus,3417.9597298575422,63.23200565679253,13437.383044061638
