atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,703.6618469002486,228.18347164575124,2007.5594606706297
Addu,Indian_Ocean,Anous_stolidus,1109.5270900631012,325.58788923654134,3103.5138870726873
Ahe,Polynesia,Anous_stolidus,425.3713487312555,136.25405500531295,1104.6931421272357
Ailuk,Micronesia,Anous_stolidus,1216.0884519889366,449.1571886410267,3785.747060705364
Anaa,Polynesia,Anous_stolidus,790.5069966934708,291.10355962585317,2411.960356266079
Ant,Micronesia,Anous_stolidus,14.300200801749334,4.0482687792429,49.721587103328545
Anuanuraro,Polynesia,Anous_stolidus,513.3122814918632,180.22887743957884,1396.6508725207664
Anuanurunga,Polynesia,Anous_stolidus,436.69407491089294,160.73745333646377,1273.8262506639076
Apataki,Polynesia,Anous_stolidus,523.5649427673885,183.8151813287548,1582.4650462923476
Aratika,Polynesia,Anous_stolidus,471.14810236549636,165.75679269312062,1291.6850073662206
Arno,Micronesia,Anous_stolidus,411.4130082617392,139.64422192648738,1258.0641673485893
Arutua,Polynesia,Anous_stolidus,494.2661537920699,166.45239815864937,1400.6411714057324
Aur,Micronesia,Anous_stolidus,544.7517771673342,178.18302268620496,1484.9597656721303
Butaritari,Micronesia,Anous_stolidus,835.0652629113753,269.01990988760406,2435.588368509723
Etal,Micronesia,Anous_stolidus,46.36085561408587,16.271098326270934,153.79534690349342
Fakahina,Polynesia,Anous_stolidus,1118.4576225448377,421.5638634622094,3350.2903056319797
Fakaofo,Polynesia,Anous_stolidus,480.49804865809915,172.4562460602528,1421.6064095303027
Hao,Polynesia,Anous_stolidus,959.7737802792282,309.07111237309005,2848.9394780323264
Hereheretui,Polynesia,Anous_stolidus,1238.5881101145326,475.1198203540062,3628.548127288474
Kapingamarangi,Micronesia,Anous_stolidus,367.295358430299,113.60781077462198,986.0305075982405
Kauehi,Polynesia,Anous_stolidus,465.4263530866156,173.3772491027867,1433.0137828464085
Kaukura,Polynesia,Anous_stolidus,488.7129624458015,168.6400242646765,1406.6140346041782
Lae,Micronesia,Anous_stolidus,423.57611892092626,147.4889085549541,1165.8902441301034
Likiep,Micronesia,Anous_stolidus,1011.31926412743,334.97225186333975,2847.612074917994
Losap,Micronesia,Anous_stolidus,93.03284885258287,27.14099776668572,252.6829643487622
Lukunor,Micronesia,Anous_stolidus,65.59434990542925,22.902724078330042,222.70029354637
Maiana,Micronesia,Anous_stolidus,626.548691698894,192.6244106634402,1792.0695957758467
Majuro,Micronesia,Anous_stolidus,402.3657319699728,127.77433339111946,1197.0945463105045
Manihi,Polynesia,Anous_stolidus,568.2528701774017,197.75716740845564,1613.7524889404651
Manihiki,Polynesia,Anous_stolidus,648.0773874499572,217.42982136987104,1808.7211866383327
Marakei,Micronesia,Anous_stolidus,596.7944103426369,192.19846299899652,1701.4081159074115
Maria_Est,Polynesia,Anous_stolidus,295.8919454917826,101.42468011651177,825.2332143999192
Marutea_Sud,Polynesia,Anous_stolidus,775.9896380606464,268.45023985469055,2174.6605184166733
Mataiva,Polynesia,Anous_stolidus,457.7887759201692,170.6134220054926,1375.39393028118
Matureivavao,Polynesia,Anous_stolidus,242.9451777984444,79.43134575184153,657.2985400715247
Mili,Micronesia,Anous_stolidus,525.5421589930561,155.65441686134335,1413.8177131891555
Mokil,Micronesia,Anous_stolidus,170.99562393116423,59.33519467295559,521.9201143234707
Moruroa,Polynesia,Anous_stolidus,739.6790947578934,253.85867323260263,2081.0428011730637
Motu_One,Polynesia,Anous_stolidus,411.313599002137,147.3514064176691,1202.4491345972947
Namoluk,Micronesia,Anous_stolidus,127.05895730152412,43.42125512238775,381.68794130209966
Namu,Micronesia,Anous_stolidus,730.1921332514952,229.91896164390917,1959.4863688965781
Napuka,Polynesia,Anous_stolidus,1001.5747911721433,342.7393795495915,2716.8267328312404
Nengonengo,Polynesia,Anous_stolidus,870.5279169009694,307.16240500882316,2398.55207088349
Ngcheangel,Micronesia,Anous_stolidus,34.43556936507812,10.225150432015216,121.53168488754159
Niau,Polynesia,Anous_stolidus,397.52260623033254,141.21049509601912,1097.0807254615409
Ninigo,Melanesia,Anous_stolidus,329.5667440047706,102.17810394715492,1017.9274178838822
Niutao,Polynesia,Anous_stolidus,834.9254371318987,290.06577221691356,2379.0098078236665
Nonouti,Micronesia,Anous_stolidus,967.4645965172813,295.5501608893472,2668.4765050222145
Nuguria,Melanesia,Anous_stolidus,344.9454442304949,112.978458546102,1206.6074385931913
Nukapu,Melanesia,Anous_stolidus,59.11200105846762,20.587081014502836,210.1118080702375
Nukulaelae,Polynesia,Anous_stolidus,822.519867019701,306.8903785686612,2535.845975094742
Nukumanu,Melanesia,Anous_stolidus,540.7408485542767,146.6803578842626,1443.3073900641218
Nukuoro,Micronesia,Anous_stolidus,277.7890782565652,95.22980115559427,863.2387607906587
Nukutepipi,Polynesia,Anous_stolidus,453.8179452700499,166.6779418654838,1321.4576786239331
Onotoa,Micronesia,Anous_stolidus,990.5088035607343,331.8015913383501,2904.342710807684
Ontong_Java,Melanesia,Anous_stolidus,514.1633558231138,152.38823744520454,1522.576258153586
Oroluk,Micronesia,Anous_stolidus,246.25011059388828,91.10934160679899,815.2673741136048
Pakin,Micronesia,Anous_stolidus,25.10534394426372,8.007107406953853,89.1461696604555
Palmerston,Polynesia,Anous_stolidus,1709.2642281306742,569.9456469861092,4867.486629033891
Paraoa,Polynesia,Anous_stolidus,604.8308124883978,195.9468479667576,1500.7490127701694
Pinaki,Polynesia,Anous_stolidus,575.3450156476591,195.79511594445742,1569.3880357525047
Pingelap,Micronesia,Anous_stolidus,163.42058499712644,50.02169073038546,464.1816254079642
Pukapuka,Polynesia,Anous_stolidus,560.8941154330594,184.99505169950984,1518.6356447225644
Pukarua,Polynesia,Anous_stolidus,787.737035623039,288.6726749580724,2396.6390227767233
Qelelevu,Melanesia,Anous_stolidus,218.1159057009669,67.63675237880912,644.3594325090819
Rakahanga,Polynesia,Anous_stolidus,494.0502702261435,180.3028159061785,1421.9486851170593
Rangiroa,Polynesia,Anous_stolidus,313.03930841388984,95.87528414510403,920.8992976141914
Raroia,Polynesia,Anous_stolidus,695.6758271163652,241.19342571589374,2086.6816936791774
Reao,Polynesia,Anous_stolidus,791.7729685477432,290.3578779573102,2524.3896784420635
Rongelap,Micronesia,Anous_stolidus,582.5438159423462,209.06780624507985,1751.6219059082946
Sapwuahfik,Micronesia,Anous_stolidus,123.42743261009535,39.20368592960616,356.9660439458567
Satawan,Micronesia,Anous_stolidus,87.1716142599326,28.482555829514492,280.97409512485194
St_Joseph,Indian_Ocean,Anous_stolidus,495.17758302491126,172.8975128791924,1458.4988262668446
Tabiteuea,Micronesia,Anous_stolidus,1302.2376129917188,415.67927339610765,3788.731807328824
Taiaro,Polynesia,Anous_stolidus,385.55745029436616,135.93836499551793,1066.3027817172892
Takapoto,Polynesia,Anous_stolidus,361.85072638940323,121.48654716962672,1003.6133352012594
Takaroa,Polynesia,Anous_stolidus,588.6920976340225,194.59902305754645,1596.0516403981264
