atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,695.7551786304066,28.60363671440337,17262.980601264684
Addu,Indian_Ocean,Anous_stolidus,1098.5804931310863,39.19731541009074,28449.56388311497
Ahe,Polynesia,Anous_stolidus,418.8271768586143,19.15386340772551,9055.496329041827
Ailuk,Micronesia,Anous_stolidus,1214.5959944792917,55.53150898444475,25896.2500102854
Anaa,Polynesia,Anous_stolidus,785.7070497555807,34.71872878980641,15857.30647552129
Ant,Micronesia,Anous_stolidus,14.506159584552625,0.3588022489798137,536.4476936233641
Anuanuraro,Polynesia,Anous_stolidus,500.56795722083183,25.069871581829464,10293.548391122422
Anuanurunga,Polynesia,Anous_stolidus,435.1688671558703,21.00266951664709,8838.41468087632
Apataki,Polynesia,Anous_stolidus,519.5368920531632,23.668092125147098,12563.609602258852
Aratika,Polynesia,Anous_stolidus,459.7343669804273,21.739516303755458,9726.581257684811
Arno,Micronesia,Anous_stolidus,403.1919042951252,16.504257728881946,9913.429253637207
Arutua,Polynesia,Anous_stolidus,483.8734866126043,22.1890070771264,10837.669816840515
Aur,Micronesia,Anous_stolidus,540.3946935360261,23.74856530262757,11554.965543364015
Butaritari,Micronesia,Anous_stolidus,825.6182332607337,34.049941143201565,20274.10993962034
Etal,Micronesia,Anous_stolidus,46.04840071137536,1.7546749935389965,1258.3680733701042
Fakahina,Polynesia,Anous_stolidus,1109.1498250288182,56.44367026871017,24526.45533669441
Fakaofo,Polynesia,Anous_stolidus,470.25440711976586,21.579389832916817,10435.960681182893
Hao,Polynesia,Anous_stolidus,947.4697359456009,35.79589432105266,22912.374372444963
Hereheretui,Polynesia,Anous_stolidus,1234.9250921229907,62.336510870832775,23810.956146977136
Kapingamarangi,Micronesia,Anous_stolidus,367.42210365162526,16.495475198375253,8891.533234397344
Kauehi,Polynesia,Anous_stolidus,461.20852713068723,20.12526174586372,9814.080081989785
Kaukura,Polynesia,Anous_stolidus,491.1099877199783,21.995223926859445,11053.239441428026
Lae,Micronesia,Anous_stolidus,426.83268571668117,18.70308025320348,8287.291568003146
Likiep,Micronesia,Anous_stolidus,1003.609384579549,41.89366552814548,21609.539308609994
Losap,Micronesia,Anous_stolidus,92.28287964286218,4.000114285861629,2558.1885362249864
Lukunor,Micronesia,Anous_stolidus,65.55238573301914,2.3805671980783574,1868.0023935385607
Maiana,Micronesia,Anous_stolidus,616.4447779721088,22.164833637841287,15361.983206171572
Majuro,Micronesia,Anous_stolidus,399.54329132596183,14.785278549277832,10793.481071060709
Manihi,Polynesia,Anous_stolidus,565.1907107330182,24.80044984971774,11933.9350908577
Manihiki,Polynesia,Anous_stolidus,642.5267028526683,28.236606370733156,13477.743798741732
Marakei,Micronesia,Anous_stolidus,590.1436332222878,22.885584673367,15389.075310770957
Maria_Est,Polynesia,Anous_stolidus,293.9339049686399,14.21462244944704,6824.5923880214505
Marutea_Sud,Polynesia,Anous_stolidus,784.0261319970425,38.59763230392493,18576.24776507241
Mataiva,Polynesia,Anous_stolidus,456.68607195603306,20.87423710403803,8622.556092574838
Matureivavao,Polynesia,Anous_stolidus,241.50268536405383,10.92165703695891,5386.229511929665
Mili,Micronesia,Anous_stolidus,519.0951540628039,21.67474433720464,13210.170373883888
Mokil,Micronesia,Anous_stolidus,171.15750950402642,7.4200984282097915,4076.6494553611983
Moruroa,Polynesia,Anous_stolidus,739.9615387522698,34.389210932863044,15479.716671438697
Motu_One,Polynesia,Anous_stolidus,412.44810664853617,19.739138204173567,9572.58838930574
Namoluk,Micronesia,Anous_stolidus,128.85751645528208,5.104251551269567,3046.5648704498585
Namu,Micronesia,Anous_stolidus,728.7890317461333,31.580838146569118,16711.45252708707
Napuka,Polynesia,Anous_stolidus,996.8537268397678,47.04578072703284,20021.977044848176
Nengonengo,Polynesia,Anous_stolidus,859.4154889354755,40.43659814869178,16447.59739662656
Ngcheangel,Micronesia,Anous_stolidus,34.205951401550216,1.0416786656337491,1375.3368039392738
Niau,Polynesia,Anous_stolidus,393.77154554865047,19.463728430973582,7950.559053398476
Ninigo,Melanesia,Anous_stolidus,323.8257987608044,12.17756043607593,10666.719420623134
Niutao,Polynesia,Anous_stolidus,820.2709310319294,36.11704983951157,17349.926558377923
Nonouti,Micronesia,Anous_stolidus,956.499508330393,42.71659473813376,25769.078671204014
Nuguria,Melanesia,Anous_stolidus,334.0993346486456,10.353338725775478,10249.974358897936
Nukapu,Melanesia,Anous_stolidus,58.65025299129112,1.961614277362985,1730.0671700711841
Nukulaelae,Polynesia,Anous_stolidus,817.0748295260414,33.450850382238436,16448.502846537238
Nukumanu,Melanesia,Anous_stolidus,528.4624736845193,18.37154292309989,14119.883797178149
Nukuoro,Micronesia,Anous_stolidus,276.492312601741,10.71533721326069,7108.641279628354
Nukutepipi,Polynesia,Anous_stolidus,449.03747743849084,22.220489266580913,8872.190133684775
Onotoa,Micronesia,Anous_stolidus,989.084446531606,44.391789290661976,24068.98957984513
Ontong_Java,Melanesia,Anous_stolidus,505.3814563240214,15.831442915479785,14146.714782281098
