atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,655.8110065422239,25.02476875430726,18069.591265100476
Addu,Indian_Ocean,Anous_stolidus,1267.9747744133538,40.791292973573604,37321.22201391194
Ahe,Polynesia,Anous_stolidus,427.4489636406346,19.50969600348213,11349.047137633614
Ailuk,Micronesia,Anous_stolidus,1159.9708774516118,50.213611736006804,30326.667087587186
Anaa,Polynesia,Anous_stolidus,773.6346443771388,32.99772513611394,17666.714060578986
Ant,Micronesia,Anous_stolidus,11.55141642195496,0.22551490248571615,457.7104013405142
Anuanuraro,Polynesia,Anous_stolidus,508.53446912876854,23.629719013376075,11308.983986978665
Anuanurunga,Polynesia,Anous_stolidus,441.1397091392027,21.5935962753992,10352.085578363576
Apataki,Polynesia,Anous_stolidus,505.51807848344345,20.126076406756578,13068.492172656379
Aratika,Polynesia,Anous_stolidus,471.49415316789066,21.716987864915485,11246.137588601368
Arno,Micronesia,Anous_stolidus,392.466266550664,13.137654204208262,10525.14370669861
Arutua,Polynesia,Anous_stolidus,473.59043745069044,17.57641499008663,10641.6774330825
Aur,Micronesia,Anous_stolidus,505.07957114218414,19.790282791747714,12407.230794766541
Butaritari,Micronesia,Anous_stolidus,832.8703752976476,32.28109312806886,23534.293492262266
Etal,Micronesia,Anous_stolidus,40.18108196601827,1.4084377020561254,1183.132949632568
Fakahina,Polynesia,Anous_stolidus,1223.422409600597,50.505514114110234,25923.72801952603
Fakaofo,Polynesia,Anous_stolidus,517.0564308770419,20.784611308009477,11979.595361146423
Hao,Polynesia,Anous_stolidus,1021.3466187607075,35.358872319049006,25853.53699832982
Hereheretui,Polynesia,Anous_stolidus,1265.3402549281834,64.16734121575296,27798.379555001753
Kapingamarangi,Micronesia,Anous_stolidus,359.9300584019857,13.819671439019716,8929.410667912667
Kauehi,Polynesia,Anous_stolidus,467.76346757164606,18.305626685718504,10304.76301505348
Kaukura,Polynesia,Anous_stolidus,474.95031129397404,19.56578600615376,11554.423380922608
Lae,Micronesia,Anous_stolidus,386.91412685985387,17.483864260839404,9493.860077378924
Likiep,Micronesia,Anous_stolidus,957.4427446032021,39.681616546164214,24654.310460512224
Losap,Micronesia,Anous_stolidus,83.21692299178291,2.7747820703840955,2299.5106223490657
Lukunor,Micronesia,Anous_stolidus,60.27905764785852,1.7609385962998771,1681.4391195609676
Maiana,Micronesia,Anous_stolidus,559.1639828753255,20.199210808518643,15960.648781174588
Majuro,Micronesia,Anous_stolidus,392.0613268004229,13.554460453406323,11636.362629835197
Manihi,Polynesia,Anous_stolidus,574.4275061754853,22.786636106275736,13184.667819971044
Manihiki,Polynesia,Anous_stolidus,724.2575132763922,29.906159696874784,16788.21426448425
Marakei,Micronesia,Anous_stolidus,547.5909312534027,21.386911466704344,16750.164270481706
