atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,711.8794868498551,217.2944680753225,1914.960097335052
Addu,Indian_Ocean,Anous_stolidus,1141.3497612054632,347.53372004648224,3252.389932554511
Ahe,Polynesia,Anous_stolidus,427.7106874166176,147.41157418869503,1204.5165470083662
Ailuk,Micronesia,Anous_stolidus,1241.8799291768148,455.16516078243046,3808.467955889559
Anaa,Polynesia,Anous_stolidus,794.3232873529038,256.4038865424988,2102.872491212338
Ant,Micronesia,Anous_stolidus,14.671551159069026,4.188610057045788,51.68095177674024
Anuanuraro,Polynesia,Anous_stolidus,516.2855086446523,182.54530541035,1415.061494001868
Anuanurunga,Polynesia,Anous_stolidus,450.40015210656657,154.5647762950175,1230.5394812737627
Apataki,Polynesia,Anous_stolidus,519.269287600388,175.91965085979518,1518.3924059943995
Aratika,Polynesia,Anous_stolidus,468.923224924929,177.2844521212651,1384.6641331307665
Arno,Micronesia,Anous_stolidus,411.0622531097687,125.25088414987437,1142.4604094165027
Arutua,Polynesia,Anous_stolidus,492.31261338802443,159.14823825822822,1355.735938037334
Aur,Micronesia,Anous_stolidus,551.6817584155697,197.39366237659578,1656.260015887459
Butaritari,Micronesia,Anous_stolidus,849.407891105131,280.5505242554699,2533.5640194036005
Etal,Micronesia,Anous_stolidus,46.37300393563172,14.501314894747663,136.61424131046377
Fakahina,Polynesia,Anous_stolidus,1141.0366222446826,399.30858797884696,3201.644879832254
Fakaofo,Polynesia,Anous_stolidus,481.4955379819262,170.59303626254905,1423.8644879543463
Hao,Polynesia,Anous_stolidus,982.3661422905166,332.45058667542355,3009.951711765385
Hereheretui,Polynesia,Anous_stolidus,1246.2953429688712,490.8696995672511,3775.0187650098865
Kapingamarangi,Micronesia,Anous_stolidus,375.447933757784,129.37418188274134,1130.7141480770142
Kauehi,Polynesia,Anous_stolidus,470.3727676463596,172.89579622873345,1432.2579022656066
Kaukura,Polynesia,Anous_stolidus,491.9779472847188,163.68797399282727,1352.6221037094765
Lae,Micronesia,Anous_stolidus,431.05668308281906,147.42190243448087,1152.6438952829776
Likiep,Micronesia,Anous_stolidus,1027.6608701272983,371.1885941663489,3139.8280335433697
Losap,Micronesia,Anous_stolidus,94.49303641095196,29.868187724536273,276.9218759969487
Lukunor,Micronesia,Anous_stolidus,66.9729063156624,22.279568884078117,219.8196958449586
