atoll,region,species,nbirds
2.0,3.0,3.0,6.42167143656664
3.0,1.0,3.0,6.495819658115589
4.0,4.0,3.0,5.646171863590955
8.0,3.0,3.0,6.828519448074561
11.0,4.0,3.0,6.472084287437733
13.0,3.0,3.0,1.9376378729427217
14.0,4.0,3.0,6.133512342084492
15.0,4.0,3.0,5.921737129365313
16.0,4.0,3.0,5.927532281156039
18.0,4.0,3.0,5.889916226325667
20.0,3.0,3.0,5.291743912162331
21.0,4.0,3.0,5.870032030665462
24.0,3.0,3.0,5.832614353031556
35.0,3.0,3.0,6.2140015416200205
47.0,3.0,3.0,3.2041418600332854
50.0,4.0,3.0,6.934298908748955
51.0,4.0,3.0,5.5470410281390174
58.0,4.0,3.0,6.555042137621448
59.0,4.0,3.0,7.0237024248918
69.0,3.0,3.0,5.309467348596421
71.0,4.0,3.0,5.832043592992093
72.0,4.0,3.0,5.916157805353874
79.0,3.0,3.0,5.732756320277834
83.0,3.0,3.0,6.682562592931864
86.0,3.0,3.0,3.8265407096569604
87.0,3.0,3.0,3.5193914482064854
89.0,3.0,3.0,6.270368724129265
90.0,3.0,3.0,5.3098800577010055
96.0,4.0,3.0,6.051522143304396
97.0,4.0,3.0,5.971460490894959
99.0,3.0,3.0,6.224874754386745
100.0,4.0,3.0,5.5111874056191255
103.0,4.0,3.0,6.466101729175972
104.0,4.0,3.0,5.8437728700981895
105.0,4.0,3.0,5.303185910741682
108.0,3.0,3.0,5.590899488085032
110.0,3.0,3.0,4.684625224321972
112.0,4.0,3.0,6.4976049298426
113.0,4.0,3.0,5.890191393427894
116.0,3.0,3.0,4.15292433276171
119.0,3.0,3.0,6.117292967875118
122.0,4.0,3.0,6.7489489090530705
123.0,4.0,3.0,6.6393421634917855
124.0,3.0,3.0,2.736817434333595
126.0,4.0,3.0,5.807626664229687
129.0,2.0,3.0,5.031144182575188
130.0,4.0,3.0,6.293624713312226
132.0,3.0,3.0,6.628226514215379
133.0,2.0,3.0,5.086113752367368
135.0,2.0,3.0,3.5189211879029965
137.0,4.0,3.0,6.189987218454668
138.0,2.0,3.0,5.789303293843939
139.0,3.0,3.0,4.778697732902587
140.0,4.0,3.0,6.107114676841825
143.0,3.0,3.0,6.822256907323517
