atoll,region,species,nbirds
2.0,3.0,3.0,6.880993556224395
3.0,1.0,3.0,6.624881008950149
4.0,4.0,3.0,5.922202736557516
8.0,3.0,3.0,7.363047491096429
11.0,4.0,3.0,6.718426023270629
13.0,3.0,3.0,3.111679372951392
14.0,4.0,3.0,6.188520188239533
15.0,4.0,3.0,5.9566739731050315
16.0,4.0,3.0,6.294375653784556
18.0,4.0,3.0,6.137680313963538
20.0,3.0,3.0,6.08860509155157
21.0,4.0,3.0,6.228249090412563
24.0,3.0,3.0,6.554885950255112
35.0,3.0,3.0,6.757520114915468
47.0,3.0,3.0,4.11114845589844
50.0,4.0,3.0,6.81569170437361
51.0,4.0,3.0,5.7514666322801915
58.0,4.0,3.0,6.736755233822351
59.0,4.0,3.0,7.0762425105253275
69.0,3.0,3.0,5.860811431867173
71.0,4.0,3.0,6.111186310883049
72.0,4.0,3.0,6.258379220436462
79.0,3.0,3.0,6.36599010675965
83.0,3.0,3.0,7.263105365634642
86.0,3.0,3.0,4.728024734847208
87.0,3.0,3.0,4.464922163988477
89.0,3.0,3.0,6.774799397574969
90.0,3.0,3.0,6.077832985466842
96.0,4.0,3.0,6.339679727339687
97.0,4.0,3.0,6.07241774910186
99.0,3.0,3.0,6.632675880074417
100.0,4.0,3.0,5.622764788909953
103.0,4.0,3.0,6.7070110616424765
104.0,4.0,3.0,6.0883493813621845
105.0,4.0,3.0,5.531103457890733
108.0,3.0,3.0,6.314607193939965
110.0,3.0,3.0,5.358194084139917
112.0,4.0,3.0,6.701842056323135
113.0,4.0,3.0,6.067835598554937
116.0,3.0,3.0,4.9360082685786955
119.0,3.0,3.0,6.856055825212024
122.0,4.0,3.0,6.71261117952828
123.0,4.0,3.0,6.688280649084537
124.0,3.0,3.0,3.930099641301525
126.0,4.0,3.0,5.965651521468852
129.0,2.0,3.0,5.208377538123266
130.0,4.0,3.0,6.182956426122876
132.0,3.0,3.0,7.0667153814620685
133.0,2.0,3.0,5.270670451452525
135.0,2.0,3.0,3.7129588374121316
137.0,4.0,3.0,6.388744931584134
138.0,2.0,3.0,5.7876056933341005
139.0,3.0,3.0,5.448997761577634
140.0,4.0,3.0,6.12227009830772
143.0,3.0,3.0,7.134247632308818
144.0,2.0,3.0,5.752973122941295
145.0,3.0,3.0,5.687904516575118
146.0,3.0,3.0,3.414884249937954
147.0,4.0,3.0,7.12344759509572
148.0,4.0,3.0,6.439300099304463
149.0,4.0,3.0,6.369286640849641
150.0,3.0,3.0,5.143211359585528
153.0,4.0,3.0,5.814565211565679
154.0,4.0,3.0,6.406324766281418
158.0,2.0,3.0,5.340065414092075
159.0,4.0,3.0,5.815690030108569
160.0,4.0,3.0,5.812818388837409
162.0,4.0,3.0,6.4565261145779
165.0,4.0,3.0,6.468186829077367
170.0,3.0,3.0,6.951916503225102
175.0,3.0,3.0,4.934046922087966
176.0,3.0,3.0,4.690255514876191
179.0,1.0,3.0,6.124105285537101
182.0,3.0,3.0,7.469831286500618
185.0,4.0,3.0,5.976661431187543
186.0,4.0,3.0,5.874465151265064
187.0,4.0,3.0,6.342858676723445
190.0,3.0,3.0,6.101827526762614
191.0,4.0,3.0,7.2066047825290775
193.0,4.0,3.0,7.418916592067601
197.0,4.0,3.0,7.372151154758318
200.0,4.0,3.0,5.749139302685024
201.0,4.0,3.0,7.116388222908097
203.0,4.0,3.0,4.8290455765173
204.0,4.0,3.0,6.625627258212162
205.0,3.0,3.0,6.67030554233896
206.0,3.0,3.0,6.79325345397908
207.0,3.0,3.0,6.077301464377676
210.0,4.0,3.0,6.7533968340539845
211.0,4.0,3.0,5.53658018812304
212.0,4.0,3.0,6.228973101951381
213.0,2.0,3.0,5.855026745143258
216.0,3.0,3.0,6.766616063755518
217.0,3.0,3.0,6.89812963201966
2.0,3.0,2.0,7.375224621941564
4.0,4.0,2.0,6.099633188016724
