atoll,region,species,mean,lower005,upper095
Abaiang,Micronesia,Anous_stolidus,0.8349252292653025,0.6138734334750192,0.9590780879715174
Abaiang,Micronesia,Anous_minutus,0.8487433341496622,0.6803828022630352,0.9533795814386901
Abaiang,Micronesia,Anous_tenuirostris,0.10332981239160112,0.02136611973985192,0.26159149723005637
Abaiang,Micronesia,Anous_ceruleus,0.051582091076922895,0.013307685075436013,0.11934603691368857
Abaiang,Micronesia,Gygis_alba,0.9336437346537576,0.8382032881482255,0.9848873722072308
Abaiang,Micronesia,Onychoprion_fuscatus,0.24592842406569515,0.09086833214268575,0.4591481083929014
Abaiang,Micronesia,Onychoprion_lunatus,0.2287918596471963,0.08195576060632273,0.438038528221308
Abaiang,Micronesia,Onychoprion_anaethetus,0.10437273419288967,0.021906013248770725,0.2599927680006876
Abaiang,Micronesia,Sternula_nereis,0.07011287900659248,0.014274199014221977,0.17898501040090103
Abaiang,Micronesia,Sternula_saundersi,0.027963825074609924,0.004789742012915023,0.07615557607835889
Abaiang,Micronesia,Hydroprogne_caspia,0.0229179041337025,0.004020098319410592,0.06197387128209627
Abaiang,Micronesia,Sterna_dougallii,0.02016773410312599,0.003635701860174273,0.0542137909150231
Abaiang,Micronesia,Sterna_sumatrana,0.3929887858489791,0.15631472318963113,0.6607849226660963
Abaiang,Micronesia,Thalasseus_bergii,0.6392002485485031,0.3449049832591958,0.8705737629391131
Abaiang,Micronesia,Thalasseus_bengalensis,0.0780302361406315,0.018877472738489734,0.18755896975505343
Abaiang,Micronesia,Phaethon_lepturus,0.11345762237966474,0.032196139643244165,0.24761731053671324
Abaiang,Micronesia,Phaethon_rubricauda,0.4835172293825704,0.26471735193711815,0.7078832542789213
Abaiang,Micronesia,Phoebastria_immutabilis,0.052268536544336476,0.01011468256122644,0.13731744124965764
Abaiang,Micronesia,Phoebastria_nigripes,0.07736688304501303,0.022253288782483064,0.1705621167063522
Abaiang,Micronesia,Phoebastria_albatrus,0.062352588604575127,0.011599688389853468,0.16450330962220638
Abaiang,Micronesia,Nesofregetta_fuliginosa,0.12067423488577474,0.030617396313095967,0.27298801674811807
Abaiang,Micronesia,Hydrobates_tristrami,0.03062165475925445,0.005087562749837751,0.0805951939086946
Abaiang,Micronesia,Pterodroma_neglecta,0.021694144753818912,0.004997903522032698,0.053319626016212776
Abaiang,Micronesia,Pterodroma_heraldica,0.039119007066239615,0.009208082705878605,0.09443756874419194
Abaiang,Micronesia,Pterodroma_ultima,0.036633335804633564,0.006228389753564114,0.10005934994632783
Abaiang,Micronesia,Pterodroma_hypoleuca,0.021343424521488838,0.0036994611058749232,0.05781735029295901
Abaiang,Micronesia,Pterodroma_alba,0.08639418783407725,0.022142394226315743,0.20004731167352593
Abaiang,Micronesia,Bulweria_bulwerii,0.036208251973277206,0.006481599383331322,0.09617240934463607
Abaiang,Micronesia,Ardenna_pacifica,0.11040855051531732,0.03693253772593156,0.22261040687194925
Abaiang,Micronesia,Puffinus_nativitatis,0.038114752528007216,0.009025433836646212,0.09115052253297327
