atoll,region,species,mean,lower005,upper095
Abaiang,Micronesia,Anous_stolidus,0.83316720266022,0.6123066738022983,0.9589072078513747
Abaiang,Micronesia,Anous_minutus,0.8486911829485356,0.6809674757250623,0.9534668894804855
Abaiang,Micronesia,Anous_tenuirostris,0.10613132744544423,0.021735778261443708,0.2718030636952767
Abaiang,Micronesia,Anous_ceruleus,0.051874446684058606,0.013344239014964792,0.12182417982872944
Abaiang,Micronesia,Gygis_alba,0.9382518938732585,0.8472360813157018,0.9866439667199423
Abaiang,Micronesia,Onychoprion_fuscatus,0.24517273715571142,0.09303477490238131,0.4510973029302768
Abaiang,Micronesia,Onychoprion_lunatus,0.2282981655031314,0.08318979667304913,0.4373692121702695
Abaiang,Micronesia,Onychoprion_anaethetus,0.11315998543996371,0.02350543737298775,0.2872119147171454
Abaiang,Micronesia,Sternula_nereis,0.07002317814844308,0.014484871970322761,0.17845843128735048
Abaiang,Micronesia,Sternula_saundersi,0.028337168933278378,0.004772520458761812,0.07784914344970187
Abaiang,Micronesia,Hydroprogne_caspia,0.022726559452992647,0.0041363908902332484,0.06082826640471693
Abaiang,Micronesia,Sterna_dougallii,0.019998164128895827,0.0035349205522185335,0.05340834491034599
Abaiang,Micronesia,Sterna_sumatrana,0.39194912920446506,0.15618940302757528,0.6592267747815628
Abaiang,Micronesia,Thalasseus_bergii,0.6384415581450914,0.34651617113603744,0.8686326915135719
Abaiang,Micronesia,Thalasseus_bengalensis,0.07766464656891157,0.018937459302649853,0.18505720788197752
Abaiang,Micronesia,Phaethon_lepturus,0.113023252253686,0.032296524601239135,0.24735120490194115
Abaiang,Micronesia,Phaethon_rubricauda,0.48329183005248066,0.2619476253996846,0.711194425131222
Abaiang,Micronesia,Phoebastria_immutabilis,0.05266524360265655,0.009711424800474926,0.13897451583826562
Abaiang,Micronesia,Phoebastria_nigripes,0.0770868697175361,0.022025563671328515,0.16959892986980768
Abaiang,Micronesia,Phoebastria_albatrus,0.062295730712450606,0.01141401741618765,0.16534144074368196
Abaiang,Micronesia,Nesofregetta_fuliginosa,0.12334957412745302,0.03159217878239682,0.2782970425524528
Abaiang,Micronesia,Hydrobates_tristrami,0.030342373492210323,0.004972571598353499,0.0804967206666627
Abaiang,Micronesia,Pterodroma_neglecta,0.02168209125055784,0.004954992381314325,0.05336190883282724
Abaiang,Micronesia,Pterodroma_heraldica,0.03891863415475303,0.00928868084521466,0.0942890185565145
Abaiang,Micronesia,Pterodroma_ultima,0.03645473790114067,0.00623399594723154,0.0991611665321127
Abaiang,Micronesia,Pterodroma_hypoleuca,0.02127234228546538,0.003685285299577117,0.057008587612555214
Abaiang,Micronesia,Pterodroma_alba,0.08596447942453878,0.022297029325354326,0.19629003674042925
Abaiang,Micronesia,Bulweria_bulwerii,0.03606883579532711,0.006474332977066341,0.09520445125252103
Abaiang,Micronesia,Ardenna_pacifica,0.10986925997694556,0.03674821489629261,0.22221560464579299
Abaiang,Micronesia,Puffinus_nativitatis,0.038015517743318225,0.008987805876584255,0.09131744610604753
Abaiang,Micronesia,Puffinus_bailloni,0.10131187632034573,0.02371674497771121,0.23774750205015208
Abaiang,Micronesia,Fregata_ariel,0.3484004251946304,0.1284319644878966,0.6339395311790604
Abaiang,Micronesia,Fregata_minor,0.3640000589548494,0.14253891354485584,0.6278927429580121
