species,nbirds,lower,upper,ratio_nbirds,ratio_lower,ratio_upper
Anous_stolidus,502965.74328810186,449352.0928495137,658362.2628697923,0.06796834368758133,0.06072325579047482,0.08896787336078274
Anous_minutus,879332.1960284208,754626.880012869,1.2574795899035982e6,0.6764093815603237,0.5804822153945146,0.967291992233537
Anous_tenuirostris,103223.5995036598,101874.12649419338,110604.84904563727,0.08601966625304984,0.08489510541182782,0.09217070753803105
Anous_ceruleus,5934.746590618636,5786.200180775761,6580.360919802676,0.029673732953093182,0.028931000903878804,0.03290180459901338
Gygis_alba,166896.75080491687,125955.77596272877,287902.43698182655,0.8344837540245843,0.6297788798136439,1.4395121849091328
Onychoprion_fuscatus,2.119890382209917e7,2.0628370074800085e7,2.2996598083232436e7,0.9216914705260509,0.8968856554260907,0.9998520905753233
Onychoprion_lunatus,93687.43509673212,90303.50318908773,109610.5080924354,0.669195964976658,0.645025022779198,0.7829322006602528
Onychoprion_anaethetus,215.64237994315005,183.73395777188546,364.7685207688511,0.0003080605427759286,0.0002624770825312649,0.0005210978868126445
Sternula_nereis,355.3914772348877,133.53698904048113,1658.7506211586917,0.05686718573244063,0.021367627656689515,0.265421333092038
Sternula_saundersi,10.0,10.0,10.0,0.0011111111111111111,0.0011111111111111111,0.0011111111111111111
Hydroprogne_caspia,74.82015222498511,59.95641544218783,145.38315510542472,0.0002078337561805142,0.00016654559845052176,0.0004038420975150687
Sterna_dougallii,868.0,868.0,868.0,0.0041333333333333335,0.0041333333333333335,0.0041333333333333335
Sterna_sumatrana,4949.487388910638,3791.7664255316413,8765.997840847462,0.04871398865103037,0.037319433732583104,0.08627695875955889
Thalasseus_bergii,29233.518704813843,27850.041765139293,33997.59707496563,0.04677362992770215,0.044560066824222866,0.054396155319945017
Thalasseus_bengalensis,2630.0,2630.0,2630.0,0.005844444444444445,0.005844444444444445,0.005844444444444445
Phaethon_lepturus,8411.67168817883,8253.31063272293,9143.993351855552,0.021029179220447076,0.020633276581807327,0.02285998337963888
Phaethon_rubricauda,44540.360366036555,42856.254807704645,49440.52740172616,0.6362908623719508,0.6122322115386378,0.706293248596088
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6,1.00200125,1.00200125,1.00200125
Phoebastria_nigripes,135402.0,135402.0,135402.0,0.9685407725321888,0.9685407725321888,0.9685407725321888
Phoebastria_albatrus,4.0,4.0,4.0,0.002306805074971165,0.002306805074971165,0.002306805074971165
Nesofregetta_fuliginosa,904.2769976632122,828.0730132938551,1665.026460103508,0.9051821798430553,0.8289019152090641,1.6666931532567648
Hydrobates_tristrami,5680.0,5680.0,5680.0,0.284,0.284,0.284
Pterodroma_neglecta,60482.662518532765,60328.26399170761,61413.856310844705,0.3456152143916158,0.34473293709547204,0.35093632177625544
Pterodroma_heraldica,115143.200463602,102048.7036606418,226697.34410200635,0.7676213364240133,0.6803246910709453,1.511315627346709
Pterodroma_ultima,531147.9212428717,528269.28698475,542913.6915606824,0.590164356936524,0.5869658744274999,0.6032374350674249
Pterodroma_hypoleuca,842950.0,842950.0,842950.0,0.84295,0.84295,0.84295
Pterodroma_alba,6252.0,6252.0,6252.0,0.25008,0.25008,0.25008
Bulweria_bulwerii,4694.178726949921,3704.7830721807245,10433.65738252375,0.006258904969266561,0.004939710762907633,0.013911543176698333
Ardenna_pacifica,758842.3262798749,757947.3131549958,761958.308463695,0.14593121659228364,0.14575909868365303,0.14653044393532597
Puffinus_nativitatis,24963.997285084642,24344.865920153887,27983.529218148236,0.16642664856723094,0.16229910613435924,0.18655686145432157
Puffinus_bailloni,12394.0,12394.0,12394.0,0.27345335804430326,0.27345335804430326,0.27345335804430326
Fregata_ariel,212853.07785138424,208866.63078093596,226108.36449935054,0.7095114420236842,0.6962232629752249,0.7536958044908426
Fregata_minor,61535.15996604174,59190.52918558259,68317.9618557544,0.5127929997170145,0.4932544098798549,0.5693163487979533
Sula_dactylatra,103029.7134160384,102765.35151628016,103901.31939182857,0.9121709908458469,0.9098304693783105,0.9198877325527097
Sula_granti,150.0,150.0,150.0,0.00428577551107873,0.00428577551107873,0.00428577551107873
Sula_leucogaster,60978.40737538613,58964.2440628247,67371.38633348019,0.30489203687693067,0.2948212203141235,0.33685693166740094
Sula_sula,334515.813850622,313316.1786008559,401653.4989264076,0.23893986703615855,0.2237972704291828,0.28689535637600544
