atoll,lower,median,upper
Abemama,917.4478544788814,7045.083338705111,85717.10113844911
Addu,335.6711154676869,2973.576320969655,40027.388412725995
Ahe,354.28463432399076,2548.739253087301,23594.04825222282
Ailuk,6594.745829697941,40799.757578702796,653004.4109147047
Anaa,229.4912861031149,2258.1298549851426,27603.584133843953
Ant,15479.86146055332,15639.551886989273,19737.72581208301
Anuanuraro,473.6030351344885,2495.590918830916,18489.519449783642
Anuanurunga,897.4613188593263,4162.681211010469,33075.10436988286
Apataki,8156.837790416359,125066.90578430757,3.575762058524785e6
Aratika,868.336126458213,4214.85445352382,30856.8971271275
Arno,813.6071157128215,5897.658416118556,73689.73350909501
Arutua,217.89150719082582,2408.3287620682704,32555.160023143857
Aur,911.7898257870513,5815.53300425518,63088.0786430868
Butaritari,5988.876973506937,18315.960206437794,273508.87385810027
Etal,44.97108573462551,584.148127403774,10877.521251851585
Fakahina,568.5330386588025,4163.289341452251,40965.78008741749
Fakaofo,1094.984844302478,3610.316501605432,27048.858245229207
Hao,1228.6224694778457,7724.011231980472,70694.89707640941
Hereheretui,600.2058408573837,4083.834241246238,35756.99559392879
Kapingamarangi,1277.8458093741779,6683.4962781036775,55907.152137351164
Kauehi,107279.92446526694,110683.03983683922,138959.01929875487
Kaukura,1101.3186456239353,5407.593269813491,40777.35822079527
Lae,615.3447276902806,3870.213113300221,36254.4030250047
Likiep,1037.8800192206284,5845.540735148732,47868.2430898669
Losap,105.38913279407114,1358.203688777739,24605.766342741426
Lukunor,423.4101444610303,2348.1938952712826,22247.35014355352
Maiana,1134.225475133635,8717.895497331538,135089.43483929936
Majuro,1405.3450347395335,7896.054497060659,84883.88386703344
Manihi,868.9325858677356,5340.282938320346,59075.417238223235
Manihiki,1038.04891569005,5030.262525864151,36911.9585517439
Marakei,757.6815259052564,6140.479376493004,86143.27883390701
Maria_Est,1839.4036384872284,7276.659995646209,50489.15006857548
Marutea_Sud,6341.939787809806,61098.707676756545,1.3516863548343764e6
Mataiva,1559.7916233507617,6120.917811076024,35312.168856842254
Matureivavao,1947.1318657094278,18712.986366590936,2.608817809065206e6
Mili,1879.6176223655377,9909.731538486485,92917.9846243675
Mokil,264.14165254527484,2109.992528204518,24939.268480452534
Moruroa,2358.070792652738,10063.30295927749,75406.42776600546
Motu_One,504.13270139889505,2614.7360415506037,19741.320586060647
Namoluk,552.0529066812617,2812.403148865191,26201.218725264887
Namu,2054.1753222083653,11374.951364090655,106197.91694453386
Napuka,338.2253369206926,3353.1749792249484,39587.0981716498
