atoll,median,lower,upper
Abemama,6887.6504052197815,135.12441805084197,55390.572637799494
Addu,2933.5227602180103,45.85924033368856,24934.538836572716
Ahe,2520.4722784593396,83.37878458461164,16249.822903276483
Ailuk,43371.991476314535,1884.3494193428505,438558.7099086688
Anaa,2240.953911979569,15.151765183706358,17741.50455139513
Ant,15637.923781607731,15470.543333205493,17900.674573380933
Anuanuraro,2494.1515506402047,121.08131983481407,12949.600047906952
Anuanurunga,4131.002948446916,279.924757769014,21080.01825987927
Apataki,129461.35266581576,675.2138008776401,2.0973092443318064e6
Aratika,4216.886876210443,291.200534565962,21625.322238602108
Arno,5736.413860216839,107.9195924251823,45052.00973656527
Arutua,2338.8586786643937,18.627211077012696,20077.575985003645
Aur,5738.095424673686,229.3501205758662,39722.67951639168
Butaritari,18642.2430083392,4772.079790973347,164055.9306346161
Etal,577.5277213623181,4.41871805763254,6399.5137442242485
Fakahina,4110.141578835366,145.04064107681413,27101.558659035953
Fakaofo,3596.2187366230937,768.5489978845137,18388.16932065288
Hao,7720.107442300788,274.91723919698165,47160.2880276334
Hereheretui,4050.9156211380423,119.85297460783329,24297.28519629937
Kapingamarangi,6572.693768326306,383.79106925960957,38336.24338741403
Kauehi,110664.57567902369,106683.0198569103,128360.46906010824
Kaukura,5404.580754785842,347.96456279319426,27686.877593438276
Lae,3822.939293971731,119.44599157767556,24217.670181858808
Likiep,5901.665411039841,247.2532909768717,33125.538263910006
Losap,1344.5614382909398,7.374852241456323,14544.568946471842
Lukunor,2340.333217799709,111.96031038323368,14507.100678514564
Maiana,8594.317944888244,175.5852441874655,78345.85644725397
Majuro,7862.523725192115,431.9692558729179,52605.83093142729
Manihi,5445.540993042361,181.05975533100653,37739.67861445904
Manihiki,5025.656343159217,406.26598991571717,25382.89971981549
Marakei,6061.634123598328,107.92648174994568,53323.43376448658
Maria_Est,7163.929471971403,761.7878460211034,34013.33017272413
Marutea_Sud,62315.706743615716,1178.1817356409288,796306.6601328229
Mataiva,6081.959180882106,710.8091994006218,25129.486388471967
Matureivavao,18581.226536984926,404.7144513081298,1.1533883968307865e6
Mili,9758.943612136154,467.2659820589648,60188.36227432296
Mokil,2095.886848789536,35.25530363467854,16364.672975594347
Moruroa,10276.398908194475,885.9718402112023,52929.46229536418
Motu_One,2615.6272227129766,149.48223229724317,13416.002479614714
Namoluk,2800.908610891168,111.05096719926381,17409.893847900057
Namu,11354.594350771182,437.40001018623434,68389.97749004287
Napuka,3294.3320255430535,47.42586863430874,25482.407415929494
Nengonengo,6856.3503718592165,520.4979895778306,34860.99524274375
Ngcheangel,3565.2337569785523,23.80486680714094,56666.326759738295
Niau,2095.538636502747,53.02468058231803,13052.418942995611
Ninigo,9440.610204665532,154.5084027722938,111450.3359530825
Niutao,3337.4081145190135,69.94812639546512,23017.693703665933
Nonouti,49891.006014303726,1276.688375288559,562131.1017718781
Nuguria,13969.55325331779,469.5259159212075,132866.09988361603
Nukapu,1826.7767537339437,40.05766360316807,19251.72481263941
Nukulaelae,4259.201697559707,169.876683540908,28177.097157240692
Nukumanu,16312.28699244914,473.54361052791114,138527.93194531545
Nukuoro,4303.2076051665335,189.3260188999942,30255.134829820432
Nukutepipi,3326.7750061995184,253.98623023978155,14354.813603140825
Onotoa,39484.32857644982,1668.291579973838,377896.789470835
Ontong_Java,36013.34859665463,1032.4448039404624,323120.1805038254
Oroluk,5329.702897053838,351.282479273204,30569.460629199388
Pakin,1553.6567028483828,33.780998567625446,13724.138678491285
Palmerston,3529.4332486093317,61.55380483613153,28842.574637862952
Paraoa,3203.502953415427,714.2694832381025,19022.54562857651
Pinaki,1935.0634958098954,36.77503278336422,12400.440202393766
Pingelap,2184.1733511985485,34.29868359826156,16853.124793711682
Pukapuka,8496.835726538271,580.8381248672621,44351.38987552995
Pukarua,5782.220199061033,212.76086168605897,34286.524022735
Qelelevu,215012.3794462146,214597.72824051027,219016.93114159853
Rakahanga,2519.9969363389673,103.1046981791382,14612.915531532022
Rangiroa,137156.63899824192,1104.0223854072553,2.6977489840890015e6
Raroia,6734.814828954426,330.2975653518907,36269.3837008385
Reao,6669.864373415964,181.79531246810913,43371.13613165938
Rongelap,9968.395461038683,695.5888230210505,50593.45612346267
