atoll,median,lower,upper
Abemama,7006.416717607954,153.7164823420706,55693.69391396034
Addu,2950.228638260773,38.77722650848239,25709.99865219745
Ahe,2521.01291909063,55.45921343755865,16401.429408680902
Ailuk,41038.291534904725,1468.864680033288,389631.7794333288
Anaa,2243.889516322296,15.379592984423414,17810.532988005525
Ant,15637.63384024901,15470.396744250707,17915.7512124863
Anuanuraro,2485.789495592219,171.63517658957306,13079.106540121365
Anuanurunga,4148.647876857391,283.9330269007103,21540.51594301568
Apataki,126187.38899969705,707.5713778699661,2.115491234545644e6
Aratika,4216.567873841523,245.4061271833,20990.652676762937
Arno,5822.115402863799,156.0456063607305,45485.58015027876
Arutua,2360.583923486808,26.239567657984015,20525.536667269695
Aur,5805.040711048206,190.7387888259064,40304.233227521116
Butaritari,18163.861452175697,4614.951851884947,152821.43592521118
Etal,585.7839614619212,3.517901604142236,6321.082798048393
Fakahina,4131.982915048796,92.8469558386231,27301.953122381088
Fakaofo,3586.8611609715954,724.7083634324199,18292.281220225002
Hao,7609.318400708504,276.41132123170354,46428.960108098894
Hereheretui,4075.8712813775473,113.62023205751211,24352.48817893018
Kapingamarangi,6605.548078453405,255.75625339416803,37811.05704442071
Kauehi,110661.35568657627,106718.25361767646,128348.4636429703
Kaukura,5369.831091136035,333.20030531737984,27554.87932622851
Lae,3840.6267507249577,115.35111001674,24664.60520101957
Likiep,5842.768908104957,247.1051154751625,33554.11854701754
Losap,1350.1666906345067,7.283067940353087,15090.097992268455
Lukunor,2312.9162895096188,137.3189545188394,14332.668380463756
Maiana,8692.335646970185,166.06047097422567,79195.74695433743
Majuro,7872.836706412768,367.94588687696233,53889.9962103874
Manihi,5196.297941243965,169.9464801392569,35115.57842799907
Manihiki,5006.912367484634,336.1222675901185,25526.53051249328
Marakei,6124.155470150574,106.6326868161809,53873.16365601064
Maria_Est,7251.007928335521,758.2132663291336,35194.0387670287
Marutea_Sud,61155.205906393974,1026.9995043962335,765801.9160447847
Mataiva,6067.598659684009,754.0308601619328,25537.239278038232
Matureivavao,18719.299675247523,381.24248881453735,1.0236434916819577e6
Mili,9768.846767001596,745.7741495880928,62012.05106850905
Mokil,2112.5178508756344,33.50654891741771,15945.860410584335
Moruroa,10104.865551718827,911.1444869884727,51277.717554128416
Motu_One,2617.491673581574,122.92400221598723,13600.636331553591
Namoluk,2808.4434257268604,138.50696782137845,17198.454507140967
Namu,11354.254637759415,475.91260777298714,69808.87776544249
Napuka,3339.3262529231743,22.235204828520963,25675.734707958214
Nengonengo,7967.478825854834,580.1249178755185,52771.952732715996
Ngcheangel,3468.558919236825,29.9775318176283,55089.06313174574
Niau,2109.4751876151076,63.46958461467944,13065.171234767213
Ninigo,9658.57475763232,185.38191212844,113109.8660345049
Niutao,3370.6497216498465,73.38362719019165,22854.69221389565
Nonouti,48072.37658384614,1382.30609142302,516645.56485826964
Nuguria,13880.281619618949,368.7418652178879,135641.3485279914
Nukapu,1838.229774962752,33.83534129191296,18433.918919310032
Nukulaelae,4320.997191968787,153.4047720000505,28216.6836549727
Nukumanu,16247.637073630947,586.0273210770038,136427.1810678177
Nukuoro,4309.516820540538,147.93639935753427,30372.515170190494
Nukutepipi,3311.374396459729,294.19584932843503,14383.513587593545
Onotoa,38706.2379780185,1361.6534919090345,354923.7420425795
Ontong_Java,34726.1189223104,671.6023652808906,312410.83948529453
Oroluk,5357.943849099893,308.87547288895166,30410.598474855487
Pakin,1571.9633810339265,44.4085990734269,14060.89197185615
Palmerston,3555.063349068889,50.98264456565667,28922.618708600123
Paraoa,3258.7541438263997,688.0440829020351,20317.63080104073
Pinaki,1953.2719929749878,28.373510323372642,12510.682293239204
Pingelap,2179.440555278385,36.98660704775888,16997.28777980445
Pukapuka,8361.553525789106,569.5082450718871,43598.8007010071
Pukarua,5801.300092672105,303.0291420585824,33756.7214515009
Qelelevu,215024.7293353175,214594.81650259407,219052.00460914
Rakahanga,2525.7590894057294,89.76746869933001,14525.45752750418
Rangiroa,127859.75224813048,1364.1928848774426,2.61567201503814e6
Raroia,6691.401975272091,350.11008249549104,36109.57056191122
Reao,6646.212119748388,236.79702391953094,43489.050853942696
Rongelap,9929.142827194,709.8835199328732,51233.707457979865
Sapwuahfik,2756.7694185826967,88.47319036635827,19327.52222190441
Satawan,3161.2520969096777,175.34961154055028,20212.763002660264
St_Joseph,58905.4359798334,58184.15236722918,65656.24258032755
Tabiteuea,19848.02653344343,754.6993590726536,169746.90228098282
Taiaro,2991.224712133946,167.183019650569,14923.025826431098
Takapoto,3204.7245650107207,160.65099072308809,17365.43694450889
Takaroa,46867.318254645645,84.7956383353799,692739.5405177311
Tarawa,8127.520799632165,117.13719959024039,92852.74979872991
Tatakoto,2723.9289740941413,12.676420686351955,25672.080839478105
Temitangi,5728.627804041808,97.87305299734098,38524.79111151493
Teraina,11628.88841230119,4345.1638498549855,58103.057643315595
Tikehau,5989.385098972304,247.87922785589168,47801.68720562844
Tongareva,34935.095540771305,1995.6767487172638,246242.8325472997
Tupai,1145.387954815974,17.09426658401349,8702.367044032613
Tureia,2900.3088835222065,37.714461521788394,22970.54284165596
Ujae,7761.5852274516365,687.5199235078303,39762.078984049556
Ujelang,26585.793375500376,770.7211220694903,237067.35555820508
Ulithi,7979.746230484391,198.38749808700024,87658.579241458
Vairaatea,3287.412127394081,75.25522955939974,19976.686363232635
Vaitupu,5883.437276961593,235.06325797714717,36527.56502148219
Vanavana,2654.552844698209,59.53266563781937,15679.50608968058
Wailagilala,10826.747478555852,390.758866953537,70824.51087242199
Wotho,8028.136511072638,585.5841635684142,40442.593170925466
Wotje,5967.472136946032,140.33839691477073,40799.18717966061
Aranuka,38278.244452793166,670.0229427391569,509425.1221760372
Beautemps-Beaupre,67560.93714596995,696.095706810811,941522.7507840361
Egum,4837.722488618227,4.06126618154149,75505.38435169868
Fangatau,312.29626340168875,0.2640867268348155,4149.532394550948
Reitoru,5165.249343398681,4547.772751752078,9667.742134132852
Rongerik,43415.382171430116,4228.264933006385,495898.3854880237
Takume,2259.8319825295885,47.41566343275587,14536.820953598673
Tetiaroa,42513.015782095565,31727.605766153534,138151.58391416713
Cocos,85225.87262060074,83518.00293538673,214422.55958765856
Scilly,1397.5239284593374,591.9800437512423,7369.985573796337
Tabuaeran,54698.21770518257,10322.658925194717,742230.2127291614
Puka-Puka,2710.4185164065602,38.589911698100224,21035.005065481637
Utirik,649.9566206140155,4.159356290541112,7429.025625782171
Astove,83797.77994781618,253.2870348944645,1.228695106996333e6
Bikini,43893.73292116567,12680.231513644849,460952.91245592973
Birnie,32148.84950469582,4902.671682172504,394041.3342688719
Funafuti,7016.5273626881935,4205.830453718891,50727.68904566723
Huon,61654.48127482655,6340.189769221158,1.096557521153259e6
Jaluit,21296.00918397356,3713.5457927148527,319773.3514224284
Jemo,10038.325035465428,5626.926213626521,72608.67401477658
Kuria,18498.34262402585,2503.3799983903596,302231.37033192953
Oeno,42418.60374680486,31729.47467619063,197609.26996115828
Bikar,57450.96765073034,56628.518755036705,65569.40747714436
Bokaak,42296.53756855463,41111.26087630893,98220.23183922819
Starbuck,3.004612485469008e6,3.000077895038911e6,3.0430270371358087e6
Cosmoledo,2.3701378635936934e6,2.370098006332345e6,2.37182366855476e6
Conflict,42.18630631641959,0.014010224711796455,961.2501867054382
Faadhippolhu,581.1423102280738,510.0313302753668,2158.114686422846
Takuu,4239.642710129457,1203.4867355311403,39122.34543287236
Kilinailau,18.04529444396542,4.894643126461733e-8,1151.6830296856388
Atafu,61093.829866539156,61070.03378734765,61425.11153282873
Chesterfield,629045.0769605024,628996.0150580425,630173.0415377773
Erikub,6327.634465006927,6131.752423972698,8847.442701862868
Morane,6261.124061681328,2923.1867032511745,127129.85721297566
Alphonse,125.29881937607553,0.028620106304052286,3646.096994515998
St_Francois,199.91791183779617,24.03262522797833,5387.237925481096
Ahunui,2230.7453673033806,1711.1243806937898,14803.277133673637
Ailinginae,8225.87306104945,7950.279878170573,10316.652849997097
Kwajalein,3407.3526825153435,3114.3778421771085,7842.118391440427
Raraka,6627.780582429239,6153.3554298435665,11986.327904171278
Tenararo,2664.0442495237603,2660.0015104091876,2728.002717745791
Abaiang,7404.800896824889,100.5793545408851,79706.70914396498
Ailinglaplap,6224.983850388857,132.34594149387308,47474.158273138426
Amanu,4360.092307356557,86.50654725509466,29990.59218726116
Beru,6744.27904083957,148.7305684857152,49184.88566360616
Eauripik,4747.775042332605,22.24281082722943,43167.580250146704
Ebon,5265.264582338366,106.81031187060239,37782.05602534346
Elato,137.79174267854825,0.23446347553086472,2168.1442107363064
Faraulep,3917.291482281015,96.52343540830067,29371.693478179106
Hikueru,3115.6997331639914,97.61590000475825,18633.426669143977
Hiti,562.5210579650798,5.218081795257344,4653.804916822095
Ifalik,4139.310996977809,69.93589515191198,34123.96514379441
Katiu,1338.9022649326957,14.203869540076976,10577.123194927835
Lamotrek,2099.5660464103676,9.929316506004174,20943.50411124666
Lib,3102.6426138261495,66.90225078238586,23234.346800005973
Makemo,2513.7290079206914,29.322327943513883,21511.80071446228
Maloelap,6622.249263899195,137.46300840438178,47870.42962694878
Manuae,3813.530686281717,98.25589233730196,26463.754270325222
Marokau,1674.712482734328,16.513523070226626,14028.269268024773
Marutea_Nord,2374.248288325818,83.54901408349139,14113.425607399951
Motutunga,810.0792744705902,10.7499997012094,6282.931695917915
Murilo,3078.916478601501,18.646972185225223,36689.279541392105
Namonuito,9237.201915865928,105.84983353071667,95276.4454886171
Namorik,4103.593310438445,82.85281261320696,31684.87371000283
Nanumanga,1247.6053970188311,10.259112930582754,11218.562522841967
Nanumea,1483.2292165931779,18.46894010968355,12870.501857562067
Ngulu,10039.995542345312,38.029224600330025,126145.62009984275
Nihiru,2816.204892350406,108.81442961490343,16779.690110878855
Nikunau,4831.946614198299,60.79414973272692,35071.99565142619
Nomwin,163.18138853929665,0.2862158474280917,2509.3575429590987
Nui,1756.0683557547636,20.084042572663886,14513.992740772595
Nukufetau,1525.7466735758092,17.94950435670581,13164.781988388095
Olimarao,2349.9546187487854,48.961154414676,20748.784081767546
