atoll,median,lower,upper
Abemama,6805.190797550311,179.79475580758333,54518.98149230689
Addu,2305.5314970682894,46.83137385519517,19351.253119074136
Ahe,2584.2979501003274,72.39169747301506,16761.95291316085
Ailuk,39034.81393772205,2042.6500017984868,316742.57232220983
Anaa,2344.664837622176,25.230558972728858,18602.039486271842
Ant,15617.737643281172,15470.743785106413,17287.102402811845
Anuanuraro,2619.607284349112,128.577634704214,14065.17673311127
Anuanurunga,4148.838640808921,252.1924678979903,19725.680823331913
Apataki,72032.96248177887,690.702526641942,1.0309426731996157e6
Aratika,4323.598117944831,335.65424178707076,22482.2531563906
Arno,5086.338351482042,131.75512481011972,39821.32266907019
Arutua,2431.727457297644,19.438528575097664,21122.32290989187
Aur,5536.049636904032,192.32929444808408,38712.77064322914
Butaritari,20773.70140348889,4716.660097404171,174491.55407656956
Etal,661.9061947979415,3.8492877810445734,7169.444474744228
Fakahina,3603.196602935484,86.22044081756331,23999.951302032154
Fakaofo,3206.93844603425,727.7807329371009,15970.522005715407
Hao,6820.506611705021,335.18638371814336,41171.125228228564
Hereheretui,4135.513247842973,106.90297902914897,25141.524388200167
Kapingamarangi,5819.992320960757,307.85438961091245,32328.614750928155
Kauehi,110824.98716825427,106746.00884303365,129194.99747220421
Kaukura,5876.120583286315,378.7709862420593,29990.317120124953
Lae,3870.2664787640733,133.92098474509274,24940.28576991011
Likiep,5984.56028662064,213.1578704894793,34450.110344790526
Losap,1377.3987140512422,10.808926950810203,14653.310724071871
Lukunor,2187.7434187969475,103.97290057901239,13446.303870245065
Maiana,9154.372107942052,227.36432819607074,78893.70868100024
Majuro,6954.808816198465,367.38916005186877,46350.76137088306
Manihi,5481.42252979352,228.77814496183848,32552.206376386675
Manihiki,4397.436139898049,318.22632404918716,22610.434876613926
Marakei,6347.880676397027,89.76482160130608,54930.04291370279
Maria_Est,6695.569229196228,836.230763328597,29288.226402773103
Marutea_Sud,47918.821409358316,739.8122164806942,577142.0892792877
Mataiva,6447.357155035148,714.0956930119811,27428.022626024973
Matureivavao,18874.00380360594,444.04933078218704,612676.9357453003
Mili,8813.359904339986,447.3050882507008,52523.49913332983
Mokil,2064.6162435025662,25.62422673275904,16046.122031108574
Moruroa,9703.644029794865,1092.2017097250662,42858.33715324845
Motu_One,2762.984333476323,172.72775800176453,14549.667284715033
Namoluk,2731.8688076091403,183.36430083147383,16762.679862035715
Namu,11388.543039096949,607.6183471757187,68593.00760480044
Napuka,2731.5449978893753,26.436253551965557,21560.377382559425
Nengonengo,7028.670072162116,523.6617393692004,33031.88186361191
Ngcheangel,2594.736279120306,40.59240209925232,34757.94749685358
Niau,2339.2707100663893,61.291977259661124,14718.227188065584
Ninigo,5606.572443162355,181.98902068842423,57283.14953816736
Niutao,3045.1369288473807,91.7060905227203,21054.23539191183
Nonouti,51278.40469446918,1543.9517167551567,499773.1953251047
Nuguria,8612.421433262476,361.0931922224059,69910.05850829597
Nukapu,1423.8211538839323,26.195913556132236,12820.375259928987
Nukulaelae,4003.8929077253288,136.67595353978103,26213.06380947177
Nukumanu,10184.209873269898,640.6720552864858,73870.20859433798
Nukuoro,3916.1762425948136,126.18241568491479,26792.242479309316
Nukutepipi,3488.8638452029086,296.0676130972283,15470.837248633952
Onotoa,44167.99050669485,1493.5823956737004,413557.7723653991
Ontong_Java,28885.491031399477,746.9614333940527,232289.41254065608
Oroluk,5585.305065960942,304.4037990954495,32091.573147898675
Pakin,1456.015122119436,32.98184835009567,13495.3324965394
Palmerston,3281.275138982408,70.4422556484889,26950.09123895059
Paraoa,3275.6096604332533,711.9639534087156,18081.65597213292
Pinaki,2069.615438325451,29.08627674759083,13241.637254953606
Pingelap,1953.7373978318305,38.7772316177563,15670.198157957322
Pukapuka,9071.900610639059,598.9105508957335,53979.661853896076
Pukarua,5024.12605611157,223.05911380811818,28206.61018295205
Qelelevu,214990.86602349798,214595.11992010736,218752.7475359707
Rakahanga,2199.3815160748327,91.28036913209644,12905.563201623778
Rangiroa,74142.39859818612,991.5791937019997,1.1979289392058507e6
Raroia,6188.592235654613,303.33271296202105,33013.3933426884
Reao,5477.520212890655,217.59306423546704,33558.31485050824
Rongelap,10791.543913476362,767.6252205256175,53688.5333868198
Sapwuahfik,2365.677463906889,93.94938418975785,16722.714250138608
Satawan,2879.2293597281373,154.70235094401377,18345.87426419336
St_Joseph,59007.41140943722,58185.84840618099,66172.82623809917
Tabiteuea,18859.86386802743,1074.8849575581403,108298.01082271895
Taiaro,3148.6521554672195,120.28807552400488,16350.583508752883
Takapoto,3437.2140616567585,102.02811890840773,18843.568403397265
Takaroa,36061.65946182911,50.248696967430746,502601.7711588826
Tarawa,8208.585822124529,224.10698908549605,87102.7782691571
Tatakoto,2587.746218893562,15.24660052367061,24207.899212635795
Temitangi,5227.4182996185355,136.3068240905142,35928.44723517656
Teraina,10400.512690924932,4285.367295259229,48340.79427157319
Tikehau,6328.002547955262,253.69936430232192,39819.82434118828
Tongareva,37067.0516364277,1919.4349945357349,282873.24295993143
Tupai,1162.3918920604308,27.2219843568291,8465.517345131779
Tureia,2552.412776639017,29.9525417999599,20630.954983479915
Ujae,8190.855553911754,706.9383617995168,41824.8085939307
Ujelang,26505.779890148347,1101.5258420119512,232423.48786462776
Ulithi,7914.05509857695,201.17946252862356,79979.921651379
Vairaatea,3358.2532215540477,115.09141983127066,20424.093870336317
Vaitupu,6741.360514666434,303.1215521595223,48074.66750366821
Vanavana,2519.531828972807,72.51374336120485,15418.269405157465
Wailagilala,8886.396153592472,392.4848272626565,54131.7315663214
Wotho,8315.953080154439,660.8145499238145,41779.879908618845
Wotje,5799.460844936524,205.79424200287846,38695.737611012155
Aranuka,39015.43198565521,856.2987808464279,475750.7136228722
Beautemps-Beaupre,63193.81609945325,514.9522143524875,804535.1164567492
Egum,3153.3523089480054,3.258317106948293,49188.47330765
Fangatau,325.7783930850744,0.5005526625144685,4266.904205792705
