atoll,median,lower,upper
Abemama,7030.508877022356,132.13986117590522,55892.82132753365
Addu,2957.686849183601,73.02037241586937,25463.1622041387
Ahe,2535.246031588913,65.02096664702152,15954.775862730161
Ailuk,40717.14797352305,1587.6340833344705,372685.7281054557
Anaa,2249.305033075762,18.462799887168693,17930.597280169506
Ant,15638.543696114444,15470.610606633873,17921.99019744056
Anuanuraro,2496.0750762236976,123.45770166469882,12963.374931170189
Anuanurunga,4169.15725422059,267.8898757232424,21451.87728495094
Apataki,124954.91097268739,823.0538744810046,2.084954072083114e6
Aratika,4221.365958588695,281.019596833897,21358.987069995987
Arno,5882.623232480619,156.94015874524902,46306.84439734948
Arutua,2398.967798082138,28.138478457017897,20838.94049602296
Aur,5774.997115592239,176.60177772567374,41103.66272314161
Butaritari,18301.917079158666,4638.058031727485,159426.3082168429
Etal,581.2619803185808,4.090935453348138,6634.860175135768
Fakahina,4148.534621733265,94.58524769559648,27337.746971642937
Fakaofo,3611.622160212882,768.9775444251013,18333.907780724592
Hao,7678.894858083257,324.81682383358475,47772.29238894898
Hereheretui,4068.948444510218,125.55572263973298,24518.043711962837
Kapingamarangi,6601.818115938553,338.8104766383523,37961.605010377665
Kauehi,110673.85206012914,106720.51977296035,128437.43568288868
Kaukura,5387.435416317173,309.46852539872896,28075.858628034417
Lae,3853.0176506039516,174.53488673445236,24394.64870535295
Likiep,5859.725189713356,299.8591625349268,33080.861544396685
Losap,1352.2754778219132,15.264249447999408,15005.799528059972
Lukunor,2334.4286115440555,123.877376750035,14239.316012122981
Maiana,8711.546479991517,250.38808142625174,81423.77263965434
Majuro,7909.590925264165,275.70484155466085,53900.94867441702
Manihi,5315.8486443101365,153.68269142575608,36819.88158016785
Manihiki,5030.404369606769,385.354086177981,25774.443577512
Marakei,6126.246291028176,58.1710976286194,53768.01480015182
Maria_Est,7231.1673645312985,863.6734819736469,35505.29201252229
Marutea_Sud,60989.46364733526,828.9257756035126,791821.5229664585
Mataiva,6109.31578117091,789.2322937135657,25460.77056004873
Matureivavao,18656.480662611255,421.42798977712073,1.1468535198394214e6
Mili,9822.493353585423,591.6078106312737,60743.14359571166
Mokil,2101.201967936378,41.588950870902075,16163.783872593545
Moruroa,10039.321537821053,834.3815777516929,49851.33691470037
Motu_One,2613.7302195747907,153.72398316985337,13380.492173618619
