atoll,median,lower,upper
Abemama,7305.645625602299,116.80341399076043,61789.40482596883
Addu,3634.7641295508465,42.14437339185987,34812.71569774042
Ahe,2587.040607567823,78.20045342027504,17393.844057919883
Ailuk,51783.94755234716,1047.5550421859066,2.2461837780457563e6
Anaa,2248.894421550445,17.163165504030196,18789.744191391444
Ant,15654.837938734356,15470.258186954685,18900.141404333004
Anuanuraro,2525.135172376298,153.45706038509383,13972.308196733917
Anuanurunga,4587.529954085483,235.35738001320246,32165.172196756248
Apataki,254191.9385818771,1095.792334967407,4.912426198873436e6
Aratika,4313.630175469436,300.58819094656224,22735.07593170109
Arno,6662.0868166705495,130.2466125091252,55918.40210422835
Arutua,2408.512749781312,17.61228490428992,22036.723009631154
Aur,6121.358510552542,212.1498730102814,46002.75586618116
Butaritari,17254.525116286983,4632.186700415981,160420.2579411168
Etal,532.1210686485666,2.6362950479032827,6566.960158001419
Fakahina,4836.508412329391,81.58316080932737,34211.56012580569
Fakaofo,4031.103164667559,738.5753609937033,22013.947564856557
Hao,8891.350199598997,301.9193273141359,58668.83805859182
Hereheretui,4190.969981433116,112.12089008163852,26346.891081368118
Kapingamarangi,7555.841498521632,361.5648533664745,47236.88785747985
Kauehi,110748.71763424386,106711.96183137251,129791.76525390602
Kaukura,5237.819873348137,264.34279679394933,29241.417776433052
Lae,3942.675070204553,124.39729796851697,26215.755344050467
Likiep,6059.76049487613,234.9181878336143,36995.71491861255
Losap,1315.8311945711012,4.72886143738481,15783.21757837742
Lukunor,2538.783505840019,85.67911912252465,16561.71642721906
Maiana,8811.321567483832,177.85100576467337,86243.18679582789
Majuro,8998.586234071961,318.4108331365051,66713.83302658334
Manihi,5142.995064133232,148.79211168849847,44043.48024556659
Manihiki,5761.344383412877,331.46052921743336,31375.822987997202
Marakei,6082.995847632473,111.92261420617862,57474.79748894231
Maria_Est,9902.365955574925,690.181622944483,74913.79260296079
Marutea_Sud,80340.45935456306,929.7163741590131,1.1672977014064319e6
Mataiva,6114.760733348379,611.7119248512909,26493.61339138264
Matureivavao,21419.61794037562,331.57198145978583,8.381149688736337e6
Mili,11158.765795847274,531.3913542873671,76322.10479089657
Mokil,2161.34741722945,43.60869771268166,16995.481929495378
Moruroa,11806.761666637245,714.8235706461173,96067.3597361794
Motu_One,2556.4298191189323,119.5740130167714,14153.863025450177
Namoluk,2925.6535648599965,168.82166196219114,18830.82144414052
Namu,11427.021684400264,441.3603199427773,77157.20360406188
Napuka,3970.2134342025897,23.410072703911034,32300.819594881246
Nengonengo,12715.870808802432,202.60978685960941,1.209067588086043e6
Ngcheangel,6587.366362372861,16.361885036801098,141122.28511729406
Niau,2013.3469941313642,33.27350872903059,13214.03306673248
Ninigo,15312.228783027793,146.97436882627102,203335.66617986292
Niutao,3662.997433090218,94.77667582260445,27841.825030774562
Nonouti,48415.432012296485,1191.2489920991127,572661.6370070548
Nuguria,24057.414976832653,326.791912116432,346680.3852706284
Nukapu,2509.418305417157,26.668021493832,37080.33960907883
Nukulaelae,4526.82966262665,135.11639130156183,33403.21514030088
Nukumanu,27077.509835977853,476.8403421689355,311285.7088776508
Nukuoro,4738.250251450826,133.29112166696927,35848.45144639774
Nukutepipi,3372.8340751964533,296.0832020173176,15317.867805352398
Onotoa,35219.58817820701,1351.9404241425023,340479.2624293207
Ontong_Java,44358.1718782752,771.3832678456341,567065.3228355465
Oroluk,5227.735618910433,328.9783687116925,31280.5134445628
Pakin,1616.9255525932049,23.823242854626038,15378.049528710884
Palmerston,3684.4849235152587,42.735165076117084,31323.33336518366
Paraoa,3689.6324181714617,677.0281628721857,35013.20003111877
Pinaki,1940.8483528987565,44.505921924696494,13535.495172130315
Pingelap,2333.167895670671,42.77204109977792,19640.204980594022
Pukapuka,8169.324722575099,611.9231557515863,40512.02204463689
Pukarua,6908.6531589137285,226.39386321975888,45635.836078071196
Qelelevu,215080.69647718314,214595.6810723129,220448.96615283893
Rakahanga,2892.125621127081,104.0105321301351,17634.443250396682
Rangiroa,253450.1876671362,1397.5171808613477,6.641762428243488e6
Raroia,7408.958096445909,380.27888138295333,41572.95376652247
Reao,8280.912058097854,240.33446284578147,60054.27044986661
Rongelap,9909.481715587111,556.8667003906943,57609.710159807495
Sapwuahfik,3068.5019698395845,88.04058846165461,22813.85073170157
Satawan,3538.087372488138,187.59435745690044,24388.88108874183
St_Joseph,58837.63322154232,58185.07212941919,66224.5238759489
Tabiteuea,27703.33421972274,533.9319504094135,4.25078747353187e7
Taiaro,2990.0181871730456,131.7297338295713,15889.679680410132
Takapoto,3168.8965256734823,117.70500489118604,18589.445465527577
Takaroa,63739.68401342538,120.68293967590866,1.0845964054394942e6
Tarawa,8372.997007051086,143.75350886362466,105867.76226459205
Tatakoto,2930.56185934326,26.204489601758638,29506.72532128056
Temitangi,6290.53655839943,130.0727282425305,43317.42868590772
Teraina,13153.983980789908,4339.7982816544445,72702.66308931724
Tikehau,6066.667607463186,186.42621233333463,81675.41824255773
Tongareva,34775.82794781437,2040.4545159881836,235813.2669291459
Tupai,1148.7444077915698,11.446100430632416,9601.846764526133
Tureia,3276.470901094207,27.50459970304874,27947.59756497471
Ujae,7697.893541488313,642.3960923272082,41023.53409760968
Ujelang,28185.376977984983,712.4377898519421,280985.8795655689
Ulithi,8653.246804786557,149.83938436832764,114707.8608764209
Vairaatea,3398.6415926925356,109.79090268801018,21580.759634552764
Vaitupu,5575.077003879904,234.07879659772925,32830.23471726581
Vanavana,2856.5255305531605,55.44673483206241,17959.987991619484
Wailagilala,13165.772293445169,452.1553779568238,94824.00557878557
Wotho,8093.592313700421,668.6120721525034,43043.85130349931
Wotje,6375.808113917775,177.80673159414437,48066.91016019056
Aranuka,38165.612597390675,752.7739825718064,579416.3046988824
Beautemps-Beaupre,53239.66793793008,247.79661786652696,754178.6932185425
Egum,6158.3135984350465,4.180680989742924,109155.32222762673
Fangatau,323.2771984285219,0.4154345286359817,4606.332648654413
Reitoru,5107.565731048356,4549.226538844134,9440.913842793623
Rongerik,52827.70786221803,4220.012200759562,702250.0504708679
Takume,2472.825575292105,54.39053826024237,16883.596498598148
Tetiaroa,43335.139854822526,31638.514468544,159558.43644527742
Cocos,85092.64564855697,83518.00000123016,1.5950221307989967e6
Scilly,1392.3973111330738,584.9817449978531,8070.618364309266
Tabuaeran,57809.74297947415,10285.794573629832,893771.4442568608
Puka-Puka,3233.401010994651,29.51130907801913,25928.44640366975
Utirik,760.9670760305495,4.334416069224466,9460.839432560702
Astove,123307.34713479201,47.86632021198841,2.0743465706387572e6
Bikini,49247.601955778824,12724.763938077125,576770.9341698001
Birnie,30443.71157854941,4904.227215704714,396035.4163378762
Funafuti,6812.730460124866,4203.738010061043,54525.6866181076
Huon,44464.18267287605,6349.909260460348,909292.5913498205
Jaluit,29951.51532319328,3726.07241419151,507074.74317759695
Jemo,9067.7803683469,5633.254743736973,61160.61332781437
Kuria,14597.074944121538,2494.1781408176707,257749.28400268944
Oeno,39997.27300649805,31728.098921386405,174914.44036120092
Bikar,57145.136026706365,56625.46542586359,63760.197420067765
Bokaak,42318.523834881686,41110.114039999986,6.8624262113677785e6
Starbuck,3.0051487508873083e6,3.000079306330578e6,3.0545460775228385e6
Cosmoledo,2.3701526980605186e6,2.37009800008209e6,2.386923451947186e6
Conflict,46.39759898917301,0.0018649476012447188,1707.4737767094966
Faadhippolhu,608.6341640576147,510.01788648050217,3557.9466399976036
Takuu,6304.970977137244,1211.519091270167,99081.53711524559
Kilinailau,21.256885186116293,1.8794034166311995e-13,18081.246774942923
Atafu,61087.74426778647,61070.01627268103,61371.44743376423
Chesterfield,629019.9307108386,628996.0062968195,629702.1635270912
Erikub,6322.603168182577,6131.232774875238,10844.739913171736
Morane,5560.510810487677,2923.0108621328613,310039.3095104245
Alphonse,242.96516152408543,0.06566532901097508,8368.17015796859
St_Francois,413.1403062067004,24.051075236625667,16309.489715749702
Ahunui,2393.708524780198,1711.0104419844843,33961.116054165235
Ailinginae,8213.822599970572,7948.328988327753,10442.946614050434
Kwajalein,3466.180661101078,3114.135725318567,9200.797720659684
Raraka,6619.7296838923585,6153.293665398956,12028.665408972418
Tenararo,2663.74004760906,2660.0008770107293,2728.855646977902
Abaiang,7468.691009856171,69.6907539701615,88499.45082346519
Ailinglaplap,6832.346821388392,64.4653127349223,56534.87355909629
Amanu,5005.083448290006,85.02220644690325,38242.031346840384
Beru,7323.576664758002,99.60082028639341,55980.297815793056
Eauripik,4999.291942617803,80.61362345336148,48714.415458837684
Ebon,5972.874381998968,164.9752290720378,45298.875458386225
Elato,123.87320393844507,0.17574666351633272,2109.3305493362627
Faraulep,3998.9928829453893,49.57872447587451,31821.51422277975
Hikueru,3267.7764596372235,85.60115153413494,20400.342392891747
Hiti,524.8390631959797,4.5119259011725275,4592.981295527199
Ifalik,4231.418341361807,65.29711567214828,37463.27354802923
Katiu,1341.8792607615019,9.749220217222145,11168.52251836875
Lamotrek,2100.360433619642,15.44842872397107,22905.572711795212
Lib,2997.2582750477704,55.36160238789506,22959.569904649357
Makemo,2661.4413003344253,16.20822391709912,23873.61545244981
Maloelap,7251.603966894892,47.51593868972331,57014.82782702746
Manuae,3566.8656966417466,76.03789936595832,26448.49736932443
Marokau,1759.6932523959372,3.1170773144813335,15615.173254230229
Marutea_Nord,2313.8627331684625,45.49304146511292,14692.439135194507
Motutunga,740.0650250875826,4.044990793431998,6210.345167656139
Murilo,2862.029295811285,18.04125915237177,39079.61259262808
Namonuito,9159.792249332935,87.43691697865921,102102.95030278977
Namorik,4203.71528065316,58.868477366316355,33952.71405587972
Nanumanga,1340.7726832903786,4.678868678487922,13210.332995956102
Nanumea,1595.3007232167433,18.684862069927526,15149.515180291544
Ngulu,10307.681308076279,16.841842670359704,148347.49397225477
Nihiru,2909.2027939525447,69.67706335078964,18069.07091125367
Nikunau,5323.20386388756,90.15168706221881,41834.94087790529
Nomwin,136.1607016109018,0.0973200659611171,2332.397017125178
Nui,2018.5076905629553,14.64802230053129,18145.928093707196
Nukufetau,1675.468075739657,12.889824809276444,15369.538147310745
Olimarao,2161.049665026035,31.87898871936077,20604.39666490154
Pulap,2432.305110710441,17.393940522624888,26696.702893868984
Pulusuk,2664.9513388915575,38.12682720098795,25590.28673115308
Puluwat,537.5328166178833,3.0615008729124993,4694.499798912702
Ravahere,1098.7481147624262,7.982646782274422,9151.900458066042
Rekareka,2175.573773023493,66.4703991843193,13860.723020906016
Taenga,2110.376472105977,15.955924419478897,17373.829897194948
Tauere,4268.607755634264,221.1922239814529,23575.282564116707
Tenaruga,202.04517026715655,0.4266862950345921,2941.1041055733376
Tepoto,397.32022601785104,2.6675676023931048,3610.7890256925016
Tuanake,740.1268169680841,6.256883925797525,6378.096870713413
Vahitahi,5470.8824814428335,214.55733496049538,30437.545552369687
West_Fayu,2840.9876961844957,26.235104285863375,27012.511967366234
Woleai,6516.626352574647,84.12632766987433,62417.64244911761
Abariringa,9715.0,9715.0,9715.0
Aldabra,47473.0,47473.0,47473.0
Bellona,104443.0,104443.0,104443.0
Byramgore,1450.0,1450.0,1450.0
Caroline,1.044527e6,1.044527e6,1.044527e6
Cherbaniani,9360.0,9360.0,9360.0
Clipperton,92892.0,92892.0,92892.0
Diego_Garcia,22064.0,22064.0,22064.0
Ducie,678490.0,678490.0,678490.0
Egmont,754.0,754.0,754.0
Enderbury,427098.0,427098.0,427098.0
Eniwetok,26535.0,26535.0,26535.0
Faaite,1310.0,1310.0,1310.0
Fakarava,945.0,945.0,945.0
Fangataufa,842.0,842.0,842.0
Farquhar,617728.0,617728.0,617728.0
French_Frigate_Shoals,360280.0,360280.0,360280.0
Glorioso,540600.0,540600.0,540600.0
Great_Chagos_Bank,194160.0,194160.0,194160.0
Haraiki,533.0,533.0,533.0
Johnston,384544.0,384544.0,384544.0
Kademat,16360.0,16360.0,16360.0
Kiritimati,1.29659e6,1.29659e6,1.29659e6
Kure,102232.0,102232.0,102232.0
Laysan,1.68497e6,1.68497e6,1.68497e6
Lisianski,1.56239e6,1.56239e6,1.56239e6
Malden,573740.0,573740.0,573740.0
Manra,10970.0,10970.0,10970.0
Maria,1515.0,1515.0,1515.0
Maupihaa,547611.0,547611.0,547611.0
McKean,91852.0,91852.0,91852.0
Midway,1.797636e6,1.797636e6,1.797636e6
Nikumaroro,2189.0,2189.0,2189.0
Nukunonu,44930.0,44930.0,44930.0
Numa_Miombilou,815.0,815.0,815.0
Nupani,1317.0,1317.0,1317.0
Orona,1.207022e6,1.207022e6,1.207022e6
Palmyra,910055.0,910055.0,910055.0
Pearl_and_Hermes,130180.0,130180.0,130180.0
Peros_Banhos,339152.0,339152.0,339152.0
Rawaki,1.255328e6,1.255328e6,1.255328e6
Rose,136824.0,136824.0,136824.0
Saloman,6118.0,6118.0,6118.0
Sorol,2023.0,2023.0,2023.0
Suheli_Par,1900.0,1900.0,1900.0
Surprise,98329.0,98329.0,98329.0
Suwarrow,188260.0,188260.0,188260.0
Swains,12913.0,12913.0,12913.0
Tahanea,2560.0,2560.0,2560.0
Taka,76903.0,76903.0,76903.0
Tekokota,2341.0,2341.0,2341.0
Temoe,5370.0,5370.0,5370.0
Toau,2925.0,2925.0,2925.0
Tubbataha,28178.0,28178.0,28178.0
Vahanga,500.0,500.0,500.0
Wake,57283.0,57283.0,57283.0
Helen,93260.0,93260.0,93260.0
Manuhangi,193.0,193.0,193.0
Europa,3.020434e6,3.020434e6,3.020434e6
Kavaratti,2.0,2.0,2.0
Ouvéa,2012.0,2012.0,2012.0
Bangaram,446.0,446.0,446.0
Peremul_Par,140.0,140.0,140.0
Bitra_Par,4.0,4.0,4.0
