species,median,lower,upper
Anous_stolidus,677184.2982753399,547239.2819718432,812964.5738380945
Anous_minutus,1.288512362332453e6,900068.609128227,1.6857716372211527e6
Anous_tenuirostris,103338.5456208018,101620.00107956263,117114.93731466691
Anous_ceruleus,6375.560521620329,5750.178804391995,7629.101954305909
Gygis_alba,300900.83222751645,192173.01366728597,412005.400650749
Onychoprion_fuscatus,2.299092728592594e7,2.0904203272694565e7,2.5571668607896365e7
Onychoprion_lunatus,104434.29192886583,89242.92710316494,142073.4035100251
Onychoprion_anaethetus,219.2635954952334,175.00212794616914,478.7215578113855
Hydroprogne_caspia,86.10652683015476,55.00375623656156,245.2689584493637
Sterna_sumatrana,9065.580823604518,4481.312823935394,14586.043493900866
Thalasseus_bergii,33938.658553392466,28533.141504080402,40940.80806141412
Phaethon_lepturus,9189.173985769285,8249.29515645912,11563.57976512198
Phaethon_rubricauda,48691.42719457915,43257.34236826467,55269.69182147109
Nesofregetta_fuliginosa,1157.820196074003,820.0000000007383,7298.887498330796
Pterodroma_neglecta,60405.7574662592,60297.030542177985,60883.770905503705
Pterodroma_heraldica,111993.47443857083,100000.04967280282,222144.24175496772
Pterodroma_ultima,533402.7972251084,527471.2956717297,555149.7628047884
Ardenna_pacifica,761023.105720138,757694.3277757913,767300.3875089055
Puffinus_nativitatis,27017.936803196615,24215.066463047828,41418.781940682755
Fregata_ariel,225616.4541986506,210317.3751572744,245272.91200217308
Fregata_minor,68637.0959503283,61351.75728866741,76633.61831500405
Sula_dactylatra,103579.68336976385,102694.75591347383,104780.16626148864
Sula_leucogaster,67275.43899409074,60515.11746025797,74902.48282974519
Sula_sula,405531.71036904695,336567.2767156372,481372.50198063627
Sternula_nereis,87.0,87.0,87.0
Sternula_saundersi,10.0,10.0,10.0
Sterna_dougallii,868.0,868.0,868.0
Thalasseus_bengalensis,2630.0,2630.0,2630.0
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6
Phoebastria_nigripes,135402.0,135402.0,135402.0
Phoebastria_albatrus,4.0,4.0,4.0
Hydrobates_tristrami,5680.0,5680.0,5680.0
Pterodroma_hypoleuca,842950.0,842950.0,842950.0
Pterodroma_alba,6252.0,6252.0,6252.0
Bulweria_bulwerii,3630.0,3630.0,3630.0
Puffinus_bailloni,12394.0,12394.0,12394.0
Sula_granti,150.0,150.0,150.0
