species,median,lower,upper
Anous_stolidus,680842.2062539319,546169.4513138807,818293.2270594302
Anous_minutus,1.2996379006371987e6,910204.5542270936,1.7079978521440234e6
Anous_tenuirostris,103327.87262060074,101620.00293538673,117410.2079679955
Anous_ceruleus,6394.457378031268,5752.980282631705,7671.193598044453
Gygis_alba,297955.210350167,184784.7777078448,402229.2918104855
Onychoprion_fuscatus,2.289959488167537e7,2.0897854215361886e7,2.546415461161586e7
Onychoprion_lunatus,102373.54955348771,89164.35902949946,134570.57261642822
Onychoprion_anaethetus,214.86359369346903,175.00633234472775,449.882177320248
Hydroprogne_caspia,74.39609185386958,55.003854863518384,173.18634072080513
Sterna_sumatrana,9195.671141366296,4506.907776531854,14769.072498439677
Thalasseus_bergii,34138.26015684972,28617.862009420598,41560.93728306631
Phaethon_lepturus,9016.598916833118,8235.066565609333,10800.725883452487
Phaethon_rubricauda,48531.981073711286,43219.06513584533,55016.62588050758
Nesofregetta_fuliginosa,917.804222074855,820.0,2670.316468051697
Pterodroma_neglecta,60587.636829173214,60297.10323838826,62541.99077101303
Pterodroma_heraldica,112229.59368916841,100000.07608681133,216349.49400982895
Pterodroma_ultima,533691.8972216158,527480.2118607834,555529.4296777807
Ardenna_pacifica,760989.6219321387,757694.8443685282,767065.4016783969
Puffinus_nativitatis,26436.517659749345,24215.166624381356,37096.94340625686
Fregata_ariel,226124.26886162502,210281.34910555842,246889.18071865724
Fregata_minor,68262.32360463339,61024.24379893816,75765.39301474008
Sula_dactylatra,103562.97983662464,102707.24024831744,104746.08053673901
Sula_leucogaster,67256.40556028267,60535.486304585065,74804.04862204319
Sula_sula,403773.1177418229,334968.7525625504,478017.3735052218
Sternula_nereis,87.0,87.0,87.0
Sternula_saundersi,10.0,10.0,10.0
Sterna_dougallii,868.0,868.0,868.0
Thalasseus_bengalensis,2630.0,2630.0,2630.0
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6
Phoebastria_nigripes,135402.0,135402.0,135402.0
Phoebastria_albatrus,4.0,4.0,4.0
Hydrobates_tristrami,5680.0,5680.0,5680.0
Pterodroma_hypoleuca,842950.0,842950.0,842950.0
Pterodroma_alba,6252.0,6252.0,6252.0
Bulweria_bulwerii,3630.0,3630.0,3630.0
Puffinus_bailloni,12394.0,12394.0,12394.0
Sula_granti,150.0,150.0,150.0
