species,median,lower,upper
Anous_stolidus,689840.7370800159,551976.1241085797,829121.7422361621
Anous_minutus,1.223679435563366e6,896111.3121760172,1.5559975869166595e6
Anous_tenuirostris,103690.80504557132,101620.0290847609,113959.61128073455
Anous_ceruleus,6430.335126283988,5765.878634722999,7492.584699737858
Gygis_alba,269093.63688193343,181571.0567468768,357652.69863568817
Onychoprion_fuscatus,2.2452851731742494e7,2.0891402896010265e7,2.4275885546285577e7
Onychoprion_lunatus,106729.91664107241,89621.86928167228,137348.0964364322
Onychoprion_anaethetus,211.75315586763827,175.00656257204253,362.176723119779
Hydroprogne_caspia,74.82521160608415,55.007186314871745,164.94806868628115
Sterna_sumatrana,8840.803599496969,4770.489861822903,13372.899564236235
Thalasseus_bergii,33312.31404679734,28843.845326331746,38605.18155097659
Phaethon_lepturus,8941.51605401627,8277.464915515367,9876.219474873888
Phaethon_rubricauda,48162.27253650211,43231.526739825604,53710.02189659955
Nesofregetta_fuliginosa,910.7816771686048,820.0000683658619,1482.8467076366237
Pterodroma_neglecta,60496.062570628405,60297.59584806774,61138.829311542424
Pterodroma_heraldica,111858.28675682742,100000.35474302521,186119.67915170002
Pterodroma_ultima,533057.7717122438,527502.2702208225,548155.4290143431
Ardenna_pacifica,761905.1100069887,757772.2921686718,768689.3997687981
Puffinus_nativitatis,25617.3257349933,24221.565806087667,29249.71522006142
Fregata_ariel,226282.0245668518,211281.46122208246,243847.89752429293
Fregata_minor,69460.5982809841,61599.63543897172,77765.549214102
Sula_dactylatra,103865.29160156613,102751.95000286723,105337.72561289603
Sula_leucogaster,66515.86228852725,60448.750680075456,72980.00652397587
Sula_sula,403437.33727316285,337489.21321851265,472543.04108500696
Sternula_nereis,87.0,87.0,87.0
Sternula_saundersi,10.0,10.0,10.0
Sterna_dougallii,868.0,868.0,868.0
Thalasseus_bengalensis,2630.0,2630.0,2630.0
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6
Phoebastria_nigripes,135402.0,135402.0,135402.0
Phoebastria_albatrus,4.0,4.0,4.0
Hydrobates_tristrami,5680.0,5680.0,5680.0
Pterodroma_hypoleuca,842950.0,842950.0,842950.0
Pterodroma_alba,6252.0,6252.0,6252.0
Bulweria_bulwerii,3630.0,3630.0,3630.0
Puffinus_bailloni,12394.0,12394.0,12394.0
Sula_granti,150.0,150.0,150.0
