species,median,lower,upper
Anous_stolidus,681903.4398083203,538267.8561170744,812836.4113972753
Anous_minutus,1.301494190854774e6,907796.5586510694,1.7122322313296902e6
Anous_tenuirostris,103217.39392309156,101620.00208818953,116543.76278509352
Anous_ceruleus,6394.029784503855,5747.117284103876,7691.492794840373
Gygis_alba,299116.6465961429,187922.14515216064,405349.0497387755
Onychoprion_fuscatus,2.290442167995892e7,2.085107874689496e7,2.5408235420204513e7
Onychoprion_lunatus,103125.28502856848,89182.36228499639,138417.33175754262
Onychoprion_anaethetus,215.3637209467007,175.00218547532506,454.99905732192417
Hydroprogne_caspia,74.38116734151876,55.00212881110632,175.00881511977758
Sterna_sumatrana,9321.822152586477,4615.98040019461,15286.853584353275
Thalasseus_bergii,34129.61214289857,28553.63096697566,41429.27344687989
Phaethon_lepturus,8974.63845582166,8240.886764980256,10611.665759674444
Phaethon_rubricauda,48570.023960915176,43326.08520645641,55126.98189807814
Nesofregetta_fuliginosa,902.6725677768546,820.0,2379.126651519547
Pterodroma_neglecta,60587.349708832466,60297.070251973586,62516.522718280634
Pterodroma_heraldica,112204.37754260862,100000.13815245549,222609.092564055
Pterodroma_ultima,533205.3479170578,527469.644018309,554645.6166188429
Ardenna_pacifica,761009.9146551846,757722.9618084738,767126.7904741357
Puffinus_nativitatis,26018.22511373106,24214.621704338864,34662.23597784699
Fregata_ariel,226228.315775341,210260.6824848997,247025.50635339497
Fregata_minor,68395.79967958083,61195.17131694772,76147.00931743952
Sula_dactylatra,103552.62474028103,102703.99514259119,104714.25352709634
Sula_leucogaster,67307.64831700054,60476.367889389236,74912.47411855988
Sula_sula,403859.63836667547,335160.6564298456,476473.98744763446
Sternula_nereis,87.0,87.0,87.0
Sternula_saundersi,10.0,10.0,10.0
Sterna_dougallii,868.0,868.0,868.0
Thalasseus_bengalensis,2630.0,2630.0,2630.0
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6
Phoebastria_nigripes,135402.0,135402.0,135402.0
Phoebastria_albatrus,4.0,4.0,4.0
Hydrobates_tristrami,5680.0,5680.0,5680.0
Pterodroma_hypoleuca,842950.0,842950.0,842950.0
Pterodroma_alba,6252.0,6252.0,6252.0
Bulweria_bulwerii,3630.0,3630.0,3630.0
Puffinus_bailloni,12394.0,12394.0,12394.0
Sula_granti,150.0,150.0,150.0
