species,median,lower,upper
Anous_stolidus,697600.5124453432,545734.4346525762,849163.6594172145
Anous_minutus,1.4111129068081446e6,913487.88523926,1.9426864552284554e6
Anous_tenuirostris,103194.64564855697,101620.00000123016,151264.16007470773
Anous_ceruleus,6571.587808744131,5740.1885378960715,8915.424677091423
Gygis_alba,337893.8873164521,199591.97099158244,476598.64662628085
Onychoprion_fuscatus,2.377902707119499e7,2.0847019979386214e7,2.798732166328204e7
Onychoprion_lunatus,100053.33100471509,89036.70569501861,140430.30787021358
Onychoprion_anaethetus,229.6980605186024,175.0000820899021,1173.8740948123175
Hydroprogne_caspia,74.0094219665975,55.00015251762501,232.53757588526506
Sterna_sumatrana,10637.916773164949,4392.828908151222,19829.660662639966
Thalasseus_bergii,35927.07773536278,28464.800851320295,47684.89717808306
Phaethon_lepturus,9300.1068116854,8216.7780957045,16721.8390570212
Phaethon_rubricauda,49239.28949085434,43117.98585315334,57036.799152606516
Nesofregetta_fuliginosa,892.0727589321849,820.0,36674.17602017319
Pterodroma_neglecta,61341.14980847888,60297.014846325386,91272.2699236304
Pterodroma_heraldica,113940.00793220809,100000.00118010446,458169.3860095514
Pterodroma_ultima,534862.3146944809,527469.1007315717,573442.5786962266
Ardenna_pacifica,761393.2787092675,757668.7503216458,770380.002998699
Puffinus_nativitatis,28080.8673205636,24214.012050500452,112472.98968782708
Fregata_ariel,232184.32382872078,209221.2455388246,272378.3044943449
Fregata_minor,68485.05982267243,60794.382723374656,76596.31889729621
Sula_dactylatra,103338.60077470857,102672.10413707307,104342.21005559596
Sula_leucogaster,68728.92099820368,60606.763842892266,78389.7405491134
Sula_sula,412973.6147221499,333922.7081177592,504133.5041960197
Sternula_nereis,87.0,87.0,87.0
Sternula_saundersi,10.0,10.0,10.0
Sterna_dougallii,868.0,868.0,868.0
Thalasseus_bengalensis,2630.0,2630.0,2630.0
Phoebastria_immutabilis,1.603202e6,1.603202e6,1.603202e6
Phoebastria_nigripes,135402.0,135402.0,135402.0
Phoebastria_albatrus,4.0,4.0,4.0
Hydrobates_tristrami,5680.0,5680.0,5680.0
Pterodroma_hypoleuca,842950.0,842950.0,842950.0
Pterodroma_alba,6252.0,6252.0,6252.0
Bulweria_bulwerii,3630.0,3630.0,3630.0
Puffinus_bailloni,12394.0,12394.0,12394.0
Sula_granti,150.0,150.0,150.0
