atoll,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Abemama,1489.3082460119804,33.744515284960634,11090.393745739666,248.2180410019967,5.624085880826773,1848.3989576232777,217.0134872760314,4.917057941522836,1616.0288029506369,327826.9549402844,8704.229568912133,2.3850054234972065e6
Addu,728.3717293513798,14.735534906697705,6231.439875515454,121.39528822522996,2.4559224844496175,1038.5733125859092,106.13416627691532,2.14717794354738,908.0098104322517,157805.8269447728,2792.379675466565,1.4099719754428924e6
Ahe,1497.2876529259167,20.827339967067964,12287.819553519834,249.54794215431951,3.4712233278446605,2047.969925586639,218.1762008549193,3.0348409666299028,1790.5108492271756,290368.5621254967,4554.983119966668,2.255461144853343e6
Ailuk,11730.027960037947,508.749693420379,109513.58918293014,1955.0046600063254,84.79161557006319,18252.26486382169,1507.0641934128519,51.804126477023175,12385.719054175455,2.828226255105474e6,119534.38856266625,2.635934921879018e7
Anaa,515.3536905967521,6.222748471534219,4204.572046622225,85.89228176612536,1.0371247452557033,700.7620077703707,75.09439491552672,0.9067433487092718,612.6662125078099,115440.33416182717,1356.0567435726005,947520.6348083571
Ant,3396.8124278566975,3360.988167856523,3855.7207679996245,566.1354046427828,560.1646946427538,642.6201279999374,494.9640966305472,489.743990173379,561.8335976228024,705915.8777009821,698089.5518680143,805448.8193993304
Anuanuraro,984.0258410275402,64.43566312641369,5232.706601449621,164.00430683792337,10.739277187735613,872.1177669082705,143.3866225497273,9.389196626991707,762.480104782659,209379.75998592327,12548.296336047146,1.1223350169739048e6
Anuanurunga,3316.779379359968,144.86257796882853,22927.32274167319,552.7965632266614,24.143762994804753,3821.220456945531,483.30213813530963,21.108547075457867,3340.838456643807,649535.1839563604,25347.306899967905,4.38247024126946e6
Apataki,33996.865476264546,188.05060638536682,577630.1696882888,5666.14424604409,31.341767730894468,96271.69494804816,4953.828969398548,27.40165978758202,84168.96758315066,7.940327627893412e6,42260.94111283506,1.353937194243787e8
Aratika,2163.03163384441,102.13421825811307,13848.375927710656,360.5052723074017,17.022369709685513,2308.062654618443,315.18460950304257,14.882414660467902,2017.906206609267,421903.88300913235,29083.484733171248,2.5824111469296427e6
Arno,1234.266209091626,39.44311784197682,9111.774889364227,205.71103484860436,6.573852973662803,1518.6291482273714,179.8502190390655,5.747425742688051,1327.7157695930734,270467.00139831024,9863.825193246936,1.9641548984474235e6
Arutua,518.5956821736436,5.0551709562510565,4347.063043534138,86.43261369560724,0.8425284927085094,724.5105072556896,75.5667994024452,0.7366106250537253,633.4291863435458,114241.06876140731,1072.2883015878008,954777.1338353362
Aur,1220.0176100007286,54.18093672970754,8307.893581351229,203.33626833345477,9.030156121617924,1384.648930225205,177.77399460010616,7.89493649490024,1210.5787789968936,267514.4877703454,9728.956421196453,1.7897509541671032e6
Butaritari,8802.965405996714,1094.422179750333,65410.27263438275,1467.1609009994522,182.4036966250555,10901.712105730461,1282.7178163023782,159.47294619219133,9531.211155295772,1.8066446805018778e6,240412.85376677732,1.383645028677796e7
Etal,119.14181447938682,0.9752718992844593,1280.6994929933505,19.8569690798978,0.1625453165474099,213.44991549889173,17.36066439556779,0.14211104818144976,186.6162118361739,25817.2465665397,221.1802593398726,272715.20653582324
Fakahina,924.4398962033397,28.033975273678877,6177.44327857161,154.07331603388997,4.672329212279813,1029.5738797619351,134.70409916105808,4.084950682736064,900.1417348775774,205151.96618974986,3283.7472049828843,1.3796839696851366e6
