atoll,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Abemama,1489.3082460119804,204.35849356105132,17281.517836993415,248.2180410019967,34.059748926841884,2880.252972832235,217.0134872760314,29.777951918896047,2518.164027676183,327826.9549402844,45369.37069950412,3.7169452278979267e6
Addu,728.3717293513798,87.87064397136186,9836.322487474004,121.39528822522996,14.64510732856031,1639.3870812456678,106.13416627691532,12.8040081215413,1433.2927053176402,157805.8269447728,18326.504476436286,2.2547507287302664e6
Ahe,1497.2876529259167,187.09869496100362,19795.57980060236,249.54794215431951,31.18311582683393,3299.263300100394,218.1762008549193,27.262952694317665,2884.4987709449156,290368.5621254967,37399.22401691933,3.620444365238147e6
Ailuk,11730.027960037947,1934.444879114488,200310.77679938477,1955.0046600063254,322.4074798524147,33385.12946656413,1507.0641934128519,235.3148353936408,20851.07567191609,2.828226255105474e6,484131.7933425515,4.7884825929770365e7
Anaa,515.3536905967521,52.232167744797756,6484.317773634696,85.89228176612536,8.705361290799626,1080.719628939116,75.09439491552672,7.610973014241957,944.8577327296271,115440.33416182717,11651.643796295384,1.473095121161108e6
Ant,3396.8124278566975,3363.0249507372937,4215.124340771428,566.1354046427828,560.5041584562155,702.5207234619047,494.9640966305472,490.0407785360055,614.2038325124081,705915.8777009821,698539.0669738214,880774.9153444503
Anuanuraro,984.0258410275402,199.3976290269806,7550.154046390397,164.00430683792337,33.23293817116344,1258.3590077317328,143.3866225497273,29.0550830867886,1100.1653039026005,209379.75998592327,42171.538810510014,1.624725553596061e6
Anuanurunga,3316.779379359968,597.744698864323,36177.68722419874,552.7965632266614,99.62411647738719,6029.614537366456,483.30213813530963,87.09994183451563,5271.605852668958,649535.1839563604,119339.38226069516,6.931192065096113e6
Apataki,33996.865476264546,2037.3271380145657,993613.3390513184,5666.14424604409,339.55452300242763,165602.2231752198,4953.828969398548,296.86766868212237,144783.65797604926,7.940327627893412e6,468507.47300015786,2.3292489487003186e8
Aratika,2163.03163384441,413.65549930875096,21395.766395434584,360.5052723074017,68.94258321812516,3565.9610659057644,315.18460950304257,60.27551561356085,3117.668817620467,421903.88300913235,83069.71852739998,3.9259583694179617e6
Arno,1234.266209091626,180.16008538437868,14302.694709914853,205.71103484860436,30.026680897396446,2383.782451652476,179.8502190390655,26.25189815600946,2084.1069434447354,270467.00139831024,40022.5756825348,3.0623697060929476e6
Arutua,518.5956821736436,48.17713191150199,6798.744920474385,86.43261369560724,8.029521985250332,1133.1241534123974,75.5667994024452,7.020096364247433,990.6742598405532,114241.06876140731,10686.680156236951,1.4894542047292474e6
Aur,1220.0176100007286,200.4852616728915,12422.389345753734,203.33626833345477,33.41421027881526,2070.3982242922893,177.77399460010616,29.213566700907055,1810.1195903812581,267514.4877703454,44487.86842674199,2.6930608502176534e6
Butaritari,8802.965405996714,1981.8477585908156,104904.53768491808,1467.1609009994522,330.3079597651359,17484.089614153014,1282.7178163023782,288.7835305375188,15286.08977694521,1.8066446805018778e6,410270.5964647504,2.2381116320131995e7
Etal,119.14181447938682,9.429213954039414,2077.41419590135,19.8569690798978,1.5715356590065688,346.2356993168917,17.36066439556779,1.3739711761600288,302.7089256884824,25817.2465665397,2067.0365961726493,444620.7737583015
Fakahina,924.4398962033397,122.97562440112786,9356.977278360506,154.07331603388997,20.495937400187973,1559.4962130600843,134.70409916105808,17.919305269878627,1363.445260561102,205151.96618974986,27060.477759771617,2.1006839213667363e6
Fakaofo,1952.921446483516,1357.357448016298,7042.338604554254,325.48690774725276,226.2262413360497,1173.7231007590426,284.56855363045514,197.7863709966605,1026.169339520763,374038.8829201574,244037.12858662818,1.4829710922123347e6
Hao,3494.4988787401453,496.5788303938676,39723.642771745195,582.4164797900244,82.76313839897793,6620.607128624201,509.1984080449926,72.35862957167782,5788.302232454299,691595.9190398853,100758.53936976357,7.457277466928363e6
Hereheretui,904.8405447674736,130.05271492150072,8407.856728757712,150.80675746124564,21.67545248691679,1401.3094547929522,131.8481936661176,18.950538459990103,1225.144837618981,200989.10297143442,28739.199252274964,1.9221690510643036e6
Kapingamarangi,3712.4217539207757,738.5182216512687,33393.29942174347,618.7369589867958,123.08637027521145,5565.5499036239125,540.9528841427415,107.61265515489914,4865.88077288262,723960.5832551853,146153.45355151372,6.214681983833486e6
Kauehi,31681.157672707395,29898.678828159464,51770.81980604633,5280.192945451235,4983.113138026579,8628.469967674391,4616.397260880221,4356.664629246094,7543.7480288810375,7.341427277157651e6,6.995681924181694e6,1.0983994124240112e7
Kaukura,3371.161442146844,666.6355498615142,30603.848474557424,561.8602403578074,111.10592497691901,5100.641412426238,491.2263815699687,97.13832297982063,4459.417920578368,652995.3363686156,130526.57256453803,5.5722502258496955e6
Lae,848.8942375131232,143.07700744249232,7390.371018791159,141.4823729188539,23.846167907082048,1231.7285031318597,123.69601746619797,20.84836394162031,1076.8826341667116,188814.86220796313,32271.073265754687,1.6045460437542421e6
Likiep,4813.668879886289,852.2286682868963,46385.834414327444,802.2781466477148,142.03811138114938,7730.972402387909,701.4203224977163,124.18189166466202,6759.078728944857,935969.4912817309,168780.0928036749,8.585046996472439e6
Losap,273.83718837478654,22.234382137033776,4674.2473161073085,45.63953139579776,3.7057303561722956,779.0412193512183,39.90199030604032,3.2398671113963498,681.1046089184937,59227.28295470607,4835.098988050028,999659.429701226
Lukunor,1121.5411223136207,201.50131993710946,11922.69819291856,186.92352038560347,33.58355332285158,1987.1163654864267,163.4245635371276,29.36162090512166,1737.307450968133,224273.68816059298,41352.25620936061,2.2274167547329813e6
Maiana,2261.9968055343797,310.12600901015514,30475.24638741694,376.99946758906333,51.687668168359195,5079.207731236157,329.6052488064382,45.189789884336896,4440.678759309326,478272.0688997451,66068.22491362138,6.382252033326213e6
Majuro,3865.8093730616893,661.5913825662185,40989.66482519941,644.3015621769482,110.2652304277031,6831.610804199902,563.3036515032748,96.40331574536327,5972.779731671914,759337.8576872861,132354.85748091686,7.640872709280308e6
Manihi,1072.501848058932,182.78131048419957,10754.830389310728,178.75030800982205,30.463551747366598,1792.4717315517883,156.2788407171587,26.63384809912622,1567.1324281567063,248957.80169083047,42352.70542490745,2.6038213707050546e6
Manihiki,2664.6123186590635,521.0445369916546,26734.904749786394,444.10205310984395,86.84075616527578,4455.8174582977335,388.2720807188921,75.92363253306966,3895.657549254589,523062.7992963855,103961.77870560336,4.968665540035718e6
Marakei,1330.1482521680787,171.17554336212118,17369.3012028531,221.69137536134647,28.529257227020196,2894.883533808851,193.8216024587772,24.942722032766223,2530.9553181300234,295042.20658389316,38551.491178076765,3.746415132626963e6
Maria_Est,6209.934277487633,1475.1868832446396,54690.790754356014,1034.9890462479389,245.8644805407733,9115.13179239267,904.8761375767693,214.95580298707603,7969.229509920446,1.2712531836459562e6,306715.2660537491,1.0789677339740096e7
Marutea_Sud,20686.443462030555,2385.3369511453598,382150.5102738894,3447.7405770050927,397.5561585242267,63691.751712314915,3014.3103330387376,347.5776700240382,55684.7886399096,4.564978312219662e6,514154.60813248507,8.886256284249803e7
Mataiva,4897.018839601378,1217.2755305042679,32468.038569144286,816.1698066002299,202.8792550840447,5411.339761524047,713.5656023419151,177.3744344449076,4731.057048646738,958951.1055290514,243750.77979151715,6.076825902538242e6
Matureivavao,7611.826452456126,1212.8958477536166,558016.1774821073,1268.6377420760214,202.1493079589362,93002.69624701788,1109.1518545007498,176.7362521012413,81310.92871882135,2.8105787234430276e6,307707.5567643946,3.9447545576269233e8
Mili,5522.9727128388695,1124.1181964915895,49704.84001399547,920.4954521398116,187.35303274859828,8284.140002332577,804.7760238708067,163.80008006020302,7242.705259182195,1.0823382721731644e6,227087.43081952565,9.260982248388657e6
Mokil,430.35641644144846,54.715664449229465,4903.993554649879,71.72606940690807,9.119277408204908,817.332259108313,62.70907782432535,7.972853962602008,714.5819179632682,93206.14412485692,11902.897608423382,1.0505804705747056e6
Moruroa,7096.245315378916,1563.0112250237808,53313.03729544214,1182.7075525631526,260.50187083729674,8885.506215907028,906.1748606076748,194.46228661603996,6941.462247510259,1.4893297559604002e6,330817.6393815736,1.1370440319228156e7
Motu_One,2796.6588175349425,487.48828016502716,25090.664998608972,466.1098029224905,81.24804669417121,4181.777499768162,407.513141983663,71.0340065383325,3656.068328368736,538026.5517460321,95521.91701914462,4.629484695831063e6
Namoluk,1130.7092350201965,242.48348387603502,8441.221986615705,188.45153917003282,40.41391397933917,1406.8703311026177,164.76048853151437,35.33330765050794,1230.0066323354317,236275.9829388694,51126.79574965302,1.70175220108899e6
Namu,5901.3497903665375,1032.1878463721328,60210.922435095345,983.558298394423,172.03130772868883,10035.153739182559,859.9109694534097,150.40451475708218,8773.591554828177,1.1617777212755622e6,208113.79980844105,1.1280716044851545e7
Napuka,762.0194731426745,77.34485232913164,8897.958529449288,127.00324552377913,12.89080872152194,1482.993088241548,111.03712322936116,11.270249910816325,1296.559671434039,169717.99164270447,17167.138706643753,1.9786816228322058e6
Nengonengo,5376.256393161404,1022.9136716094868,67616.81555958795,896.0427321935674,170.48561193491446,11269.469259931326,783.397360146376,149.05313500595378,9852.73598153996,1.0874524844489181e6,205760.626466728,1.6202686994493164e7
