species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Anous_stolidus,180832.4806997562,136854.5083207559,259610.9327724853,30138.74678329269,22809.084720125964,43268.48879541419,26349.875759107344,19941.656926738728,37829.02163256212,4.214117888167441e7,3.189255765110095e7,6.0499699585321195e7
Anous_minutus,240620.90893612336,157348.28134062263,435486.67290810816,40103.48482268721,26224.713556770417,72581.1121513513,35061.903873549425,22927.8924239193,63456.62948089575,5.069007633415872e7,3.3147561562583048e7,9.17412073199379e7
Anous_tenuirostris,19247.54524162342,18927.45399582029,42144.41086438002,3207.9242069372376,3154.575665970049,7024.068477396669,2804.6423066365555,2758.0004393909567,6141.042725952516,4.0508709883354306e6,3.983504042318855e6,8.869784128202215e6
Anous_ceruleus,657.9100737563006,592.3740418303915,1203.6585214632619,109.65167895938345,98.72900697173195,200.60975357721037,95.86689646163236,86.3173603809999,175.39024169893247,118266.64767605712,106485.81757929942,216370.99652149258
Gygis_alba,58135.678569457625,32145.313890855217,107218.68410939472,9689.279761576267,5357.552315142537,17869.78068489912,8471.198877263829,4684.031452667479,15623.293970226083,1.2321889079716802e7,6.813216976947603e6,2.2725059126827374e7
Onychoprion_fuscatus,6.374171941421789e6,5.742280624531224e6,8.705351072393017e6,1.062361990236965e6,957046.7707552046,1.4508918453988363e6,928807.9114643177,836732.3195745499,1.2684940134058394e6,1.4942953189487567e9,1.3461612168894832e9,2.0407929809280994e9
Onychoprion_lunatus,15592.818316150551,13302.014945691195,45079.77327689337,2598.803052691759,2217.002490948533,7513.295546148899,2272.096383210509,1938.2936063721452,6568.7669632044635,4.386240261012364e6,3.7418401423266856e6,1.2680883756569894e7
Onychoprion_anaethetus,44.038562724405935,35.1487540421612,433.0804601287911,7.3397604540676555,5.858125673693532,72.18007668813183,6.417047711270579,5.121675589000631,63.10600990448098,9163.025655745805,7313.338926870409,90110.28338949592
Hydroprogne_caspia,65.86044258715471,42.070814641513095,875.046243605052,10.97674043119245,7.011802440252183,145.841040600842,9.596807348413972,6.130318704906193,127.506738353879,19739.92127581298,12609.611117231736,262271.90834014455
Sterna_sumatrana,1582.6745244629687,692.4865183709136,4574.199630508765,263.77908741049475,115.41441972848561,762.3666050847944,230.61828785031832,100.90517839119029,666.5262318741344,336333.04855572764,147159.8223181489,972059.9419855594
