species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Anous_stolidus,181809.27324445173,137410.01313435024,264896.0922948503,30301.545540741936,22901.668855725016,44149.348715808366,26492.208387048682,20022.60191386247,38599.14487724962,4.236881049518219e7,3.202201242398645e7,6.1731352505130254e7
Anous_minutus,242698.52744996175,156806.55366736755,439602.2733804405,40449.75457499361,26134.42561122791,73267.04556340675,35364.64257128016,22848.954962959277,64056.33126400705,5.112775501106742e7,3.3033439239502158e7,9.260821469276275e7
Anous_tenuirostris,19245.557318791725,18927.45434148084,43309.36683466452,3207.592886465288,3154.5757235801407,7218.227805777419,2804.35263788108,2758.000489758637,6310.793453051114,4.050452606727549e6,3.9835041150671598e6,9.114962735836215e6
Anous_ceruleus,659.8600877437646,592.1951035315514,1211.7464057244006,109.97668129062744,98.69918392192524,201.95773428740014,96.15104135694853,86.29128651459747,176.5687619769841,118617.18436248002,106453.65143138825,217824.88360501995
Gygis_alba,57566.568389930886,32004.57622998315,107538.32941647175,9594.428064988475,5334.096038330528,17923.054902745283,8388.271393961364,4663.523964940408,15669.87085782872,1.2201265863839347e7,6.783387552241871e6,2.279280812564482e7
Onychoprion_fuscatus,6.348850281217462e6,5.738103345210247e6,8.598569486794231e6,1.058141713536244e6,956350.5575350417,1.433094914465705e6,925118.1838345444,836123.6303020646,1.2529344109328734e6,1.4883591693344908e9,1.3451819384839675e9,2.0157602041256273e9
Onychoprion_lunatus,15285.134117194611,13305.964973478458,39824.38011028372,2547.52235286577,2217.660828913077,6637.396685047289,2227.262399934072,1938.869181849718,5802.9811017842,4.299689081246484e6,3.7429512801955e6,1.1202548241626032e7
Onychoprion_anaethetus,43.15483300677157,35.14959848544064,381.74468122740626,7.192472167795261,5.858266414240106,63.624113537901025,6.288275666700999,5.121798636449921,55.62565355027918,8979.14958045007,7313.514628686174,79428.93890341905
Hydroprogne_caspia,56.90346268309309,42.07089007847783,530.4298948814735,9.48391044718218,7.011815013079637,88.40498248024558,8.291647419536421,6.130329697149626,77.29121325415755,17055.304057499598,12609.63372746159,158982.2958362599
Sterna_sumatrana,1605.3857699757518,712.3564629307054,4608.0967458185805,267.5642949959587,118.72607715511761,768.0161243030971,233.92764076789535,103.80051316990281,671.465525819279,341159.39934468956,151382.37024264762,979263.3940871618
Thalasseus_bergii,14611.249996994844,12000.618060318233,25383.7586781356,2435.208332832475,2000.103010053039,4230.626446355935,2129.0678567049636,1748.6614887892283,3698.7762645283315,3.919072266006347e6,3.2188409222209724e6,6.808506093793467e6
Phaethon_lepturus,7588.65672059916,6920.431424728055,15869.596623959755,1264.7761200998596,1153.4052374546752,2644.932770659959,1105.7756935730197,1008.4057218889449,2312.4269366341346,1.035105555652442e6,943958.5000337415,2.1646397032078444e6
Phaethon_rubricauda,54671.7601555283,48209.39279676827,76527.28794194726,9111.96002592138,8034.898799461373,12754.54799032454,7966.456479805552,7024.797236100517,11151.119100112312,1.1413023329199318e7,1.006396946267721e7,1.5975482042596733e7
Nesofregetta_fuliginosa,28.52895000928568,25.488811714908728,1216.8903574586727,4.754825001547612,4.248135285818121,202.81505957644538,0.0,0.0,0.0,22486.203440833946,20090.0,959139.5454125929
Pterodroma_neglecta,35158.98818362205,34990.39162465485,48621.706279867845,5859.83136393701,5831.731937442475,8103.617713311309,5123.166849613498,5098.599922449705,7084.877200780742,1.0624042117995523e7,1.057309705285138e7,1.4692091042789157e7
Pterodroma_heraldica,21699.76017583967,19335.164614954465,216300.93537700502,3616.626695973279,3222.527435825744,36050.15589616752,3161.9650541937813,2817.409701036222,31518.13629779216,1.5476460969736323e7,1.3790010492371282e7,1.54267741069638e8
Pterodroma_ultima,241961.26515678182,239145.05742253037,304319.78293692047,40326.8775261303,39857.509570421724,50719.96382282009,35257.21292284534,34846.85122442584,44343.73979937983,6.724517904992357e7,6.646250669445871e7,8.457567899873216e7
Ardenna_pacifica,81525.75632230379,81169.90295653002,84081.61516989708,13587.626053717293,13528.317159421664,14013.602528316176,0.0,0.0,0.0,1.0334239065838441e8,1.0289130943937053e8,1.0658220805365604e8
Puffinus_nativitatis,12195.918793799236,11171.146273131068,62338.46734540296,2032.6531322998726,1861.8577121885116,10389.744557567163,0.0,0.0,0.0,3.2939901004047683e6,3.017209761397917e6,1.6836967987566903e7
Fregata_ariel,331723.740839715,306524.2293960997,434299.0907519403,55287.290139952485,51087.371566016605,72383.18179199003,48336.887950929886,44664.959140574516,63283.58179528272,6.365511230589175e7,5.881952915788907e7,8.333849523757586e7
Fregata_minor,145314.22211045393,127910.9332087576,188998.7898265934,24219.037018409002,21318.488868126264,31499.798304432243,21174.358078951875,18638.450267561824,27539.82366044648,3.045489436458916e7,2.6807520298926644e7,3.9610287937466845e7
Sula_dactylatra,366624.80126215576,363433.4708561781,380280.82145044743,61104.13354369265,60572.24514269638,63380.13690840791,53422.47104105698,52957.44861047167,55412.34826849375,6.278350308125614e7,6.223699640280115e7,6.51220595090201e7
Sula_leucogaster,169690.12185406746,150664.58656911316,223838.310717253,28281.686975677898,25110.764428185525,37306.38511954217,24726.274898735537,21953.98261435649,32616.43956165687,3.0338019420132305e7,2.6936542347414188e7,4.001889410716372e7
Sula_sula,827913.8553460841,663420.0047021362,1.2562421204227111e6,137985.6425576806,110570.0007836893,209373.6867371186,120638.87606471503,96669.77211373985,183052.42326159508,1.457156615962577e8,1.1676418298490006e8,2.2110289678140587e8
Sternula_nereis,11.25353284031296,11.25353284031296,11.25353284031296,1.8755888067188269,1.8755888067188269,1.8755888067188269,1.63980049958846,1.63980049958846,1.63980049958846,2201.535,2201.535,2201.535
Sternula_saundersi,0.8908731998621068,0.8908731998621068,0.8908731998621068,0.14847886664368448,0.14847886664368448,0.14847886664368448,0.12981295197990697,0.12981295197990697,0.12981295197990697,148.75,148.75,148.75
Sterna_dougallii,133.16267725217966,133.16267725217966,133.16267725217966,22.193779542029947,22.193779542029947,22.193779542029947,19.40370439960332,19.40370439960332,19.40370439960332,34025.6,34025.6,34025.6
Thalasseus_bengalensis,820.1063727203859,820.1063727203859,820.1063727203859,136.68439545339768,136.68439545339768,136.68439545339768,119.50121431068479,119.50121431068479,119.50121431068479,192384.5,192384.5,192384.5
Phoebastria_immutabilis,8.833650783814851e6,8.833650783814851e6,8.833650783814851e6,1.4722751306358087e6,1.4722751306358087e6,1.4722751306358087e6,1.287189114213021e6,1.287189114213021e6,1.287189114213021e6,1.76522961013e9,1.76522961013e9,1.76522961013e9
Phoebastria_nigripes,754589.3174222915,754589.3174222915,754589.3174222915,125764.88623704859,125764.88623704859,125764.88623704859,109954.4433958196,109954.4433958196,109954.4433958196,1.5110050788e8,1.5110050788e8,1.5110050788e8
Phoebastria_albatrus,25.81058587448651,25.81058587448651,25.81058587448651,4.301764312414418,4.301764312414418,4.301764312414418,3.760971084568034,3.760971084568034,3.760971084568034,6175.4,6175.4,6175.4
Hydrobates_tristrami,158.46524035020502,158.46524035020502,158.46524035020502,26.41087339170084,26.41087339170084,26.41087339170084,0.0,0.0,0.0,177130.8,177130.8,177130.8
Pterodroma_hypoleuca,112594.81400656205,112594.81400656205,112594.81400656205,18765.802334427015,18765.802334427015,18765.802334427015,0.0,0.0,0.0,5.192572e7,5.192572e7,5.192572e7
Pterodroma_alba,1133.1133275525808,1133.1133275525808,1133.1133275525808,188.85222125876345,188.85222125876345,188.85222125876345,165.11079915766175,165.11079915766175,165.11079915766175,566743.8,566743.8,566743.8
Bulweria_bulwerii,747.7497874272892,747.7497874272892,747.7497874272892,124.62496457121487,124.62496457121487,124.62496457121487,108.95782616797644,108.95782616797644,108.95782616797644,125779.5,125779.5,125779.5
Puffinus_bailloni,769.0391550627068,769.0391550627068,769.0391550627068,128.17319251045117,128.17319251045117,128.17319251045117,0.0,0.0,0.0,928310.6,928310.6,928310.6
Sula_granti,380.5006619703311,380.5006619703311,380.5006619703311,63.41677699505519,63.41677699505519,63.41677699505519,55.44438217281968,55.44438217281968,55.44438217281968,90935.25,90935.25,90935.25
