species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Anous_stolidus,184212.20351923548,139173.34773073962,267253.01216005435,30702.033919872563,23195.55795512325,44542.16869334237,26842.34965566003,20279.54495505064,38942.58177189362,4.2928789068489395e7,3.2432939699701197e7,6.2280608818293646e7
Anous_minutus,228513.80137222883,158471.10879945414,388413.40180539194,38085.633562038114,26411.851466575674,64735.566967565304,33297.72534281051,23091.504425063325,56597.38140592855,4.813954899506284e7,3.3384100481207814e7,8.182458072233547e7
Anous_tenuirostris,19313.156085808507,18927.459211989317,31451.98821465871,3218.8593476347514,3154.5765353315537,5241.9980357764525,2814.2027439320964,2758.0011994613005,4583.003996993127,4.064679557786396e6,3.983505140122628e6,6.61943873802178e6
Anous_ceruleus,663.562402531478,593.1159387411068,1050.5342379623426,110.59373375524635,98.85265645685115,175.08903966039048,96.69052151172963,86.42546535941841,153.07784610308423,119282.71659256799,106619.18179433652,188845.2047608394
Gygis_alba,51990.355304254415,30515.963817778513,90399.87038635903,8665.05921737573,5085.993969629752,15066.645064393171,7575.737487191362,4446.611870590588,13172.552542012312,1.1019384430315169e7,6.467875331911275e6,1.91603022985388e7
Onychoprion_fuscatus,6.224991960241096e6,5.738594565928021e6,7.727941257385953e6,1.037498660040183e6,956432.4276546709,1.2879902095643256e6,907070.2570637023,836195.2081780832,1.126071440361953e6,1.4593230983046036e9,1.3452970952174046e9,1.8116590754291766e9
Onychoprion_lunatus,15935.572198983253,13336.547090424114,33904.96808222739,2655.928699830543,2222.7578484040196,5650.828013704566,2322.040520423274,1943.3254331760847,4940.438206267419,4.482656498925041e6,3.7515539913856303e6,9.537425052696873e6
Onychoprion_anaethetus,42.530109094058986,35.14964472603986,210.61367761013736,7.088351515676496,5.858274121006643,35.10227960168955,6.1972444679914505,5.121805374365807,30.68942159462002,8849.164383708605,7313.524249885657,43822.01443470695
Hydroprogne_caspia,57.231684222669166,42.073438211223014,487.5563738086995,9.538614037111525,7.012239701870502,81.25939563478323,8.339473986731791,6.130700996492496,71.04392875498193,17153.67976069479,12610.397462684348,146132.09475123815
Sterna_sumatrana,1543.4327821856027,731.0749529721782,3724.582341469007,257.2387970309338,121.84582549536306,620.7637235781682,224.9002054041879,106.52806457594599,542.7248554711983,327993.8135413376,155360.2233783988,791508.3702558278
