species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Anous_stolidus,182092.6606424328,144676.5428116307,290978.13232939236,30348.776773738784,24112.75713527176,48496.35538823202,26533.501979325923,21081.43909540905,42399.67071085429,4.2434851059271775e7,3.3715403599035926e7,6.78095078809864e7
Anous_minutus,243045.17700681477,172910.62240182224,529853.8182067041,40507.52950113578,28818.437066970357,88308.96970111734,35415.15436385017,25195.547835694102,77207.2706529769,5.1200781468226835e7,3.64259809643643e7,1.116209335655582e8
Anous_tenuirostris,19224.9798690534,18928.822929983387,71642.59218242145,3204.1633115089007,3154.8038216638984,11940.432030403575,2801.354209490639,2758.199912654722,10439.349146581408,4.0461218417851888e6,3.9837921505226083e6,1.5078021355851594e7
Anous_ceruleus,659.8159632956938,598.3536089063639,1637.3468966409478,109.96932721594897,99.725601484394,272.891149440158,96.14461179451536,87.18866872635589,238.58483351053812,118609.2525025465,107560.71121725779,294331.3019101891
Gygis_alba,57790.964194273205,36700.50335068775,122822.70081299882,9631.827365712194,6116.750558447957,20470.450135499792,8420.969068308383,5347.787631100223,17897.022118465542,1.2248826678112052e7,7.778691890843928e6,2.603233905803419e7
Onychoprion_fuscatus,6.350188497888904e6,5.833699232542228e6,9.855266835640127e6,1.058364749648151e6,972283.2054237053,1.642544472606688e6,925313.1811209545,850053.3167418675,1.4360531674789903e6,1.4886728870889304e9,1.3675924552167604e9,2.3103674069079328e9
Onychoprion_lunatus,15397.373827621566,13458.565462219092,65699.83318390444,2566.228971270262,2243.0942437031827,10949.972197317407,2243.617329167714,1961.1052530662107,9573.404263940361,4.331261971199876e6,3.7858776065332503e6,1.848128078004699e7
Onychoprion_anaethetus,43.25528235570194,35.23646558701237,808.4093057526228,7.209213725950322,5.87274426450206,134.73488429210386,6.302912571830852,5.1344564141075155,117.79678455252507,9000.049898362622,7331.588912475206,168204.29075560533
Hydroprogne_caspia,56.89204734647453,42.27152603099021,1082.4539408890987,9.482007891079085,7.045254338498368,180.40899014818308,8.289984041914858,6.159565221658573,157.72900281526864,17051.882613043177,12669.769034060102,324436.86587086204
Sterna_sumatrana,1627.409288995467,863.4447372288674,6632.022491035952,271.2348814992446,143.90745620481124,1105.3370818393257,237.13678211076814,125.81623313906356,966.3804201223816,345839.60186095827,183490.03300607498,1.4093664288032602e6
