species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Anous_stolidus,186284.3416839253,136832.2176714306,280493.21352936066,31047.390280654192,22805.369611905076,46748.86892156006,27144.28978822912,19938.40886069418,40871.8682571354,4.341167988947372e7,3.1887363040945888e7,6.536610370380441e7
Anous_minutus,263515.72571103065,158884.4481493075,542555.1338664815,43919.287618505114,26480.741358217903,90425.8556444136,38398.005746464485,23151.73387318481,79058.033791973,5.551318175383243e7,3.347117605285542e7,1.1429663894455041e8
Anous_tenuirostris,19220.742839776056,18927.453794973135,300455.9383082523,3203.4571399626766,3154.5756324955228,50075.98971804206,2800.7368137959393,2758.000410124657,43780.72243920248,4.0452301094234325e6,3.983504000048222e6,6.323446592732066e7
Anous_ceruleus,678.1386209550166,591.8798244292118,1968.0264871933728,113.02310349250277,98.64663740486866,328.0044145322289,98.81448476773096,86.24534584539943,286.7695738481772,121902.95385220362,106396.97650877592,353774.63343761116
Gygis_alba,65282.93816336423,33959.719329998414,131124.39527944106,10880.489693894044,5659.953221666405,21854.06587990683,9512.656703804505,4948.416245228348,19106.697597861406,1.383675468560872e7,7.197781208704981e6,2.7791887770740543e7
Onychoprion_fuscatus,6.5926704593731575e6,5.726976640435278e6,1.0748825777336827e7,1.0987784098955267e6,954496.1067392138,1.791470962889472e6,960646.2669372314,834502.3104634264,1.5662574704119377e6,1.5455178644923186e9,1.3425735082418344e9,2.519844175977384e9
Onychoprion_lunatus,14938.708191221787,13293.843906335276,62201.282506530326,2489.784698536965,2215.64065105588,10366.880417755056,2176.7831935780323,1937.1029692088543,9063.615450951562,4.202239902198033e6,3.739541639190782e6,1.749714285673161e7
Onychoprion_anaethetus,46.13429978184759,35.14834313687919,3414.4996470045116,7.6890499636412635,5.858057189479865,569.083274500752,6.722426539640647,5.121615714230967,497.5413771349431,9599.081949072395,7313.253430537009,710448.886872917
Hydroprogne_caspia,56.607709842415915,42.068058259008104,1206.501117514502,9.434618307069318,7.011343043168017,201.08351958575034,8.248552005609174,6.1299170605983235,175.80444855211317,16966.659985842478,12608.784964665534,361616.7177649931
Sterna_sumatrana,1857.1738753249851,680.185035644875,7853.395127349571,309.5289792208309,113.3641726074792,1308.8991878915945,270.6167646902122,99.11267662253896,1144.351861413794,394666.71228441957,144545.64288766362,1.668919467564211e6
Thalasseus_bergii,15376.86783219167,12006.209818577654,37236.410317752016,2562.8113053652796,2001.0349697629424,6206.068386292003,2240.629312690787,1749.476287849887,5425.876932015293,4.124428524019647e6,3.2203407599978372e6,9.987659029306114e6
Phaethon_lepturus,7827.265991285155,6912.9766705775055,148001.05509608562,1304.5443318808586,1152.1627784295838,24666.84251601426,1140.544473015836,1007.3194577127219,21565.86802828677,1.0676522619814838e6,942941.6590141298,2.018759314234546e7
Phaethon_rubricauda,55468.55013365219,48009.01606707551,83255.58366419311,9244.758355608696,8001.502677845912,13875.930610698848,8082.560162332175,6995.599484059571,12131.527905353849,1.1579357513116764e7,1.0022139745029446e7,1.738004988210462e7
Nesofregetta_fuliginosa,27.72911535173369,25.488811714908728,1.3199392537648722e6,4.621519225288948,4.248135285818121,219989.87562747873,0.0,0.0,0.0,21855.78259383853,20090.0,1.0403615478326052e9
Pterodroma_neglecta,35596.251548263754,34990.34033076624,728544.6748143575,5932.708591377293,5831.723388461041,121424.1124690596,5186.882368461289,5098.592448197366,106159.3669015207,1.075617061891677e7,1.0573081553303156e7,2.201453941064953e8
Pterodroma_heraldica,22030.471333701447,19335.150131630402,1.639225350891063e6,3671.7452222835745,3222.5250219384,273204.2251485105,3210.154394339354,2817.4075906090015,238858.55112984058,1.5712327093851496e7,1.3790000162736405e7,1.169110025092072e9
Pterodroma_ultima,242491.9003303161,239140.01994136308,409991.16903784685,40415.31672171935,39856.66999022718,68331.86150630782,35334.53404813176,34846.11719145575,59741.57034551481,6.739265165150458e7,6.6461106692178026e7,1.139435667645944e8
Ardenna_pacifica,81569.00057045331,81166.80371951518,86140.52579020488,13594.833428408881,13527.800619919193,14356.754298367476,0.0,0.0,0.0,1.033972072487185e8,1.0288738083353136e8,1.0919209179166602e8
Puffinus_nativitatis,12954.504141158943,11170.61363530508,5.349651484461876e6,2159.0840235264905,1861.7689392175137,891608.5807436462,0.0,0.0,0.0,3.4988760681422246e6,3.0170659014923563e6,1.4448849101383398e9
Fregata_ariel,340613.8264262802,306002.50483721436,606024.6979389057,56768.971071046675,51000.41747286905,101004.11632315096,49632.300422115084,44588.93641913694,88306.45598538342,6.536104807940404e7,5.871941441993115e7,1.1629125521674654e8
Fregata_minor,145788.37444736573,127997.73554894648,194258.6262969632,24298.0624078943,21332.955924824415,32376.43771616054,21243.448848044736,18651.098608560776,28306.25697470036,3.055426701458618e7,2.682571229736051e7,4.071264228209779e7
Sula_dactylatra,365830.473703098,363391.19148283475,377482.7808652094,60971.74561718303,60565.19858047248,62913.79681086826,53306.72616816571,52951.28790178449,55004.633783216224,6.264747664065544e7,6.2229756174760275e7,6.4642902645927384e7
Sula_leucogaster,173405.3267034977,149960.85446292363,248984.54487530567,28900.887783916278,24993.4757438206,41497.42414588432,25267.633319652527,21851.438793168865,36280.60511040171,3.1002241683869716e7,2.681072572314121e7,4.451465928132204e7
Sula_sula,846778.9520832894,660684.607383857,1.4404030049555218e6,141129.82534721488,110114.10123064277,240067.16749258712,123387.79016070784,96271.18564736203,209887.29500780464,1.49035982949003e8,1.1628274372961055e8,2.5351584041867957e8
