species,lower,median,upper
Anous_stolidus,542041.8837,683013.446,1.09E+06
Anous_minutus,925639.6902,1.30E+06,2.82E+06
Anous_tenuirostris,101627.4118,103223.5995,384544.6238
Anous_ceruleus,5798.960549,6397.85292,15898.45968
Gygis_alba,189801.1695,299512.5203,634626.6358
Onychoprion_fuscatus,2.10E+07,2.29E+07,3.55E+07
Onychoprion_lunatus,90145.87467,103169.581,440109.6121
Onychoprion_anaethetus,175.4434985,215.64238,4037.170941
Sternula_nereis,87.75674609,566.0483334,45863.23082
Hydroprogne_caspia,55.28732081,74.82015223,1462.664148
Sterna_sumatrana,4957.001311,9369.835237,37397.17393
Thalasseus_bergii,29081.24865,34155.90736,73292.7932
Phaethon_lepturus,8302.792841,8986.400674,28703.7515
Phaethon_rubricauda,43707.61784,48578.04647,77497.1371
Nesofregetta_fuliginosa,820.0476505,904.2769994,132547.3559
Pterodroma_neglecta,60303.04279,60590.53629,121818.2554
Pterodroma_heraldica,100166.2178,138836.0306,2.54E+07
Pterodroma_ultima,527726.3443,533354.516,818346.4436
Bulweria_bulwerii,3631.378669,4694.17873,3.97E+07
Ardenna_pacifica,757969.3906,760996.9755,800925.3991
Puffinus_nativitatis,24258.2158,26034.8532,269420.6584
Fregata_ariel,211809.1763,226150.8324,336304.1569
Fregata_minor,61506.72013,68358.94535,97078.18177
Sula_dactylatra,102783.8122,103558.6241,109491.5635
Sula_leucogaster,60969.47354,67370.74076,99099.74349
Sula_sula,339442.5405,403780.105,708488.7246
Sternula_saundersi,10,10,10
Sterna_dougallii,868,868,868
Thalasseus_bengalensis,2630,2630,2630
Phoebastria_immutabilis,1.60E+06,1.60E+06,1.60E+06
Phoebastria_nigripes,135402,135402,135402
Phoebastria_albatrus,4,4,4
Hydrobates_tristrami,5680,5680,5680
Pterodroma_hypoleuca,842950,842950,842950
Pterodroma_alba,6252,6252,6252
Puffinus_bailloni,12394,12394,12394
Sula_granti,150,150,150
